bin_id	path	completeness_pct	scoreable	selection_reason	dataset	binset
s0__Otu104__X__Otu1010__c75__k10__genus	bins/marine/mixed/s0__Otu104__X__Otu1010__c75__k10__genus.fna	75.04114677609105	True	all_bins_kept	marine	mixed
s0__Otu104__X__Otu1469.1__c90__k10__phylum	bins/marine/mixed/s0__Otu104__X__Otu1469.1__c90__k10__phylum.fna	90.02725678712892	True	all_bins_kept	marine	mixed
s0__Otu104__X__Otu924__c90__k5__family	bins/marine/mixed/s0__Otu104__X__Otu924__c90__k5__family.fna	90.43905154228652	True	all_bins_kept	marine	mixed
s0__Otu105.0__X__Otu1136.0__c60__k5__family	bins/marine/mixed/s0__Otu105.0__X__Otu1136.0__c60__k5__family.fna	60.01325284215732	True	all_bins_kept	marine	mixed
s0__Otu1065__X__Otu1180.0__c75__k15__class	bins/marine/mixed/s0__Otu1065__X__Otu1180.0__c75__k15__class.fna	75.00152943889842	True	all_bins_kept	marine	mixed
s0__Otu107__X__Otu1089__c90__k20__class	bins/marine/mixed/s0__Otu107__X__Otu1089__c90__k20__class.fna	90.01650523891622	True	all_bins_kept	marine	mixed
s0__Otu107__X__Otu1301__c90__k10__genus	bins/marine/mixed/s0__Otu107__X__Otu1301__c90__k10__genus.fna	90.17010587096917	True	all_bins_kept	marine	mixed
s0__Otu107__X__Otu1334__c90__k10__family	bins/marine/mixed/s0__Otu107__X__Otu1334__c90__k10__family.fna	90.6729956010544	True	all_bins_kept	marine	mixed
s0__Otu107__X__Otu352.1__c90__k10__class	bins/marine/mixed/s0__Otu107__X__Otu352.1__c90__k10__class.fna	90.01537056940448	True	all_bins_kept	marine	mixed
s0__Otu107__X__Otu894.0__c90__k5__phylum	bins/marine/mixed/s0__Otu107__X__Otu894.0__c90__k5__phylum.fna	90.58014181267656	True	all_bins_kept	marine	mixed
s0__Otu1089__X__Otu122.0__c75__k15__phylum	bins/marine/mixed/s0__Otu1089__X__Otu122.0__c75__k15__phylum.fna	75.00412957837784	True	all_bins_kept	marine	mixed
s0__Otu1089__X__Otu1487__c75__k20__species	bins/marine/mixed/s0__Otu1089__X__Otu1487__c75__k20__species.fna	75.03267301634794	True	all_bins_kept	marine	mixed
s0__Otu1111__X__Otu368__c60__k20__genus	bins/marine/mixed/s0__Otu1111__X__Otu368__c60__k20__genus.fna	60.00320576385474	True	all_bins_kept	marine	mixed
s0__Otu1147__X__Otu2423__c60__k5__genus	bins/marine/mixed/s0__Otu1147__X__Otu2423__c60__k5__genus.fna	60.00542190938975	True	all_bins_kept	marine	mixed
s0__Otu1147__X__Otu394.0__c60__k5__class	bins/marine/mixed/s0__Otu1147__X__Otu394.0__c60__k5__class.fna	60.009517596338846	True	all_bins_kept	marine	mixed
s0__Otu116.0__X__Otu157.0__c60__k15__genus	bins/marine/mixed/s0__Otu116.0__X__Otu157.0__c60__k15__genus.fna	60.2606044992468	True	all_bins_kept	marine	mixed
s0__Otu116.0__X__Otu595.0__c75__k20__genus	bins/marine/mixed/s0__Otu116.0__X__Otu595.0__c75__k20__genus.fna	75.17102602146963	True	all_bins_kept	marine	mixed
s0__Otu1180.0__X__Otu137.0__c75__k2__genus	bins/marine/mixed/s0__Otu1180.0__X__Otu137.0__c75__k2__genus.fna	76.13447175705926	True	all_bins_kept	marine	mixed
s0__Otu1180.0__X__Otu79.1__c90__k5__genus	bins/marine/mixed/s0__Otu1180.0__X__Otu79.1__c90__k5__genus.fna	92.450295568768	True	all_bins_kept	marine	mixed
s0__Otu1180.0__X__Otu87.0__c60__k20__genus	bins/marine/mixed/s0__Otu1180.0__X__Otu87.0__c60__k20__genus.fna	62.02163261770075	True	all_bins_kept	marine	mixed
s0__Otu119.1__X__Otu119.0__c60__k2__species	bins/marine/mixed/s0__Otu119.1__X__Otu119.0__c60__k2__species.fna	60.0000624929277	True	all_bins_kept	marine	mixed
s0__Otu119.1__X__Otu368__c75__k2__class	bins/marine/mixed/s0__Otu119.1__X__Otu368__c75__k2__class.fna	75.00148978675851	True	all_bins_kept	marine	mixed
s0__Otu11__X__Otu499__c75__k10__class	bins/marine/mixed/s0__Otu11__X__Otu499__c75__k10__class.fna	99.99946016076412	True	all_bins_kept	marine	mixed
s0__Otu1278.0__X__Otu1446.0__c75__k15__phylum	bins/marine/mixed/s0__Otu1278.0__X__Otu1446.0__c75__k15__phylum.fna	75.06538744114941	True	all_bins_kept	marine	mixed
s0__Otu1278.0__X__Otu249.0__c60__k5__phylum	bins/marine/mixed/s0__Otu1278.0__X__Otu249.0__c60__k5__phylum.fna	60.035369907446096	True	all_bins_kept	marine	mixed
