dataset	genome	name_key_source	taxid	cami_novelty_category	sci_name	tax_species	tax_genus	tax_phylum	match_level	matched_accessions	n_matched_accessions	ncbi_name_key	in_train	in_val	in_test	in_kmer_selection	leaked
marine	Otu10	11_S11_contigs	662	known_strain	Vibrio		Vibrio	Pseudomonadota	none		0		False	False	False	False	False
marine	Otu1000	Bacillus_infantis_NRRL_B-14911_genomic	324767	known_strain	Bacillus infantis	Bacillus infantis	Bacillus	Bacillota	L2_ncbi_name_match	GCA_000473245.1;GCF_000473245.1	2	bacillus infantis nrrl b 14911	True	False	False	False	True
marine	Otu1002.0	Campylobacter_peloridis_LMG_23910_genomic	488546	known_strain	Campylobacter peloridis	Campylobacter peloridis	Campylobacter	Campylobacterota	L2_ncbi_name_match	GCA_000816785.1;GCF_000816785.1	2	campylobacter peloridis lmg 23910	True	False	False	False	True
marine	Otu1004	Candidatus_Ruthia_magnifica_str_Cm_Calyptogena_magnifica_genomic	386487	known_strain	Candidatus Ruthturnera calyptogenae	Candidatus Ruthturnera calyptogenae	Candidatus Ruthturnera	Pseudomonadota	L2_ncbi_name_match	GCA_000015105.1;GCF_000015105.1	2	candidatus ruthia magnifica str cm calyptogena magnifica	False	False	False	False	False
marine	Otu1010	Vibrio_coralliilyticus_strain_58_genomic	190893	known_strain	Vibrio coralliilyticus	Vibrio coralliilyticus	Vibrio	Pseudomonadota	L2_ncbi_name_match	GCA_000763535.2;GCA_000772065.1;GCA_000967465.2;GCA_000967485.1;GCA_001297935.1;GCA_001693615.1;GCA_002073995.1;GCA_002286405.1	78	vibrio coralliilyticus	True	False	True	False	True
marine	Otu1015	Altererythrobacter_epoxidivorans_CGMCC_17731_genomic	361183	known_strain	Altererythrobacter epoxidivorans	Altererythrobacter epoxidivorans	Altererythrobacter	Pseudomonadota	L2_ncbi_name_match	GCA_001281485.1;GCF_001281485.1	2	altererythrobacter epoxidivorans	False	False	False	False	False
marine	Otu1016.0	Phycisphaera_mikurensis_NBRC_102666_genomic	547188	known_strain	Phycisphaera mikurensis	Phycisphaera mikurensis	Phycisphaera	Planctomycetota	L2_ncbi_name_match	GCA_000284115.1;GCA_943333945.2;GCA_943368415.1;GCA_943369285.1;GCA_943369765.1;GCA_943373165.1;GCA_945870475.1;GCA_945877905.1	11	phycisphaera mikurensis nbrc 102666	True	False	False	False	True
marine	Otu1022	Methanococcus_maripaludis_C6_genomic	39152	known_strain	Methanococcus maripaludis	Methanococcus maripaludis	Methanococcus	Methanobacteriota	L2_ncbi_name_match	GCA_002945325.1;GCA_003052125.1;GCA_013760955.1;GCA_013761045.1;GCA_013761055.1;GCA_013761085.1;GCA_013761105.1;GCA_013761135.1	51	methanococcus maripaludis	True	True	True	True	True
marine	Otu1027	Pusillimonas_sp_T7-7_genomic	1007105	known_strain	Pusillimonas sp. T7-7	Pusillimonas sp. T7-7	Pusillimonas	Pseudomonadota	L2_ncbi_name_match	GCA_000209655.1;GCF_000209655.1	2	pusillimonas sp t7 7	True	False	False	False	True
marine	Otu1028	LF22_S6_contigs	1760	new_order	Actinomycetes			Actinomycetota	none		0		False	False	False	False	False
marine	Otu1030	Marinitoga_piezophila_KA3_genomic	149715	known_strain	Marinitoga piezophila	Marinitoga piezophila	Marinitoga	Thermotogota	L2_ncbi_name_match	GCA_000255135.1;GCF_000255135.1	2	marinitoga piezophila ka3	True	False	False	False	True
marine	Otu1031	Kosmotoga_olearia_TBF_1951_genomic	651457	known_strain	Kosmotoga olearia	Kosmotoga olearia	Kosmotoga	Thermotogota	L2_ncbi_name_match	GCA_055120495.1;GCF_055120495.1	2	kosmotoga olearia	False	False	False	False	False
marine	Otu1032	V36_S4_contigs	662	known_strain	Vibrio		Vibrio	Pseudomonadota	none		0		False	False	False	False	False
marine	Otu1038	Prosthecochloris_sp_CIB_2401_genomic	1868325	known_strain	Prosthecochloris sp. CIB 2401	Prosthecochloris sp. CIB 2401	Prosthecochloris	Chlorobiota	L2_ncbi_name_match	GCA_001687065.1;GCF_001687065.1	2	prosthecochloris sp cib 2401	True	False	False	False	True
marine	Otu104	Vibrio_natriegens_strain_CCUG_16374_genomic	662	known_strain	Vibrio		Vibrio	Pseudomonadota	L2_ncbi_name_match	GCA_001680045.1;GCA_001680065.1;GCA_001680085.1;GCA_013369295.1;GCA_022397855.1;GCA_022832815.1;GCA_024508015.1;GCA_025757485.1	41	vibrio natriegens	True	False	False	False	True
marine	Otu1040	Shewanella_baltica_OS155_genomic	62322	new_strain	Shewanella baltica	Shewanella baltica	Shewanella	Pseudomonadota	L2_ncbi_name_match	GCA_000015845.1;GCF_000015845.1	2	shewanella baltica os155	False	False	False	False	False
marine	Otu1046	Piscirickettsia_salmonis_strain_AY6532B_genomic	1238	known_strain	Piscirickettsia salmonis	Piscirickettsia salmonis	Piscirickettsia	Pseudomonadota	L2_ncbi_name_match	GCA_000756415.3;GCA_000756435.3;GCA_001029935.1;GCA_001514395.1;GCA_001534725.1;GCA_001746795.1;GCA_001932595.1;GCA_001932735.1	172	piscirickettsia salmonis	True	True	True	False	True
marine	Otu105.0	Nonlabens_dokdonensis_DSW-6_genomic	328515	known_strain	Nonlabens dokdonensis	Nonlabens dokdonensis	Nonlabens	Bacteroidota	L2_ncbi_name_match	GCA_000332115.1;GCF_000332115.1	2	nonlabens dokdonensis dsw 6	False	False	False	False	False
marine	Otu1057	Moritella_viscosa_06_09_139_genomic	80854	known_strain	Moritella viscosa	Moritella viscosa	Moritella	Pseudomonadota	L2_ncbi_name_match	GCA_000953735.1;GCA_049808435.1;GCA_052921585.1;GCA_900119985.1;GCA_900120015.1;GCA_900120025.1;GCA_900120035.1;GCA_900120065.1	26	moritella viscosa	True	False	False	False	True
marine	Otu106	Thermotoga_sp_RQ2_genomic	126740	known_strain	Thermotoga sp. RQ2	Thermotoga sp. RQ2	Thermotoga	Thermotogota	L2_ncbi_name_match	GCA_000019625.1;GCF_000019625.1	2	thermotoga sp rq2	True	False	False	True	True
marine	Otu1062.0	T-219_S4_contigs	669041	new_strain	Tenacibaculum dicentrarchi	Tenacibaculum dicentrarchi	Tenacibaculum	Bacteroidota	none		0		False	False	False	False	False
marine	Otu1065	Spongiibacter_sp_IMCC21906_genomic	1620392	known_strain	Spongiibacter sp. IMCC21906	Spongiibacter sp. IMCC21906	Spongiibacter	Pseudomonadota	L2_ncbi_name_match	GCA_001010805.1;GCF_001010805.1	2	spongiibacter sp imcc21906	False	False	False	False	False
marine	Otu1068.0	Cellulophaga_lytica_strain_DAU203_genomic	979	known_strain	Cellulophaga lytica	Cellulophaga lytica	Cellulophaga	Bacteroidota	L2_ncbi_name_match	GCA_000750195.1;GCA_001941605.1;GCA_030419145.1;GCA_030549105.1;GCA_034479065.1;GCA_040182395.1;GCA_049820655.1;GCA_055808755.1	19	cellulophaga lytica	True	True	False	False	True
marine	Otu1069	Nitrosopumilus_maritimus_SCM1_genomic	338192	known_strain	Nitrosopumilus maritimus	Nitrosopumilus maritimus	Nitrosopumilus	Nitrososphaerota	L2_ncbi_name_match	GCA_000018465.1;GCF_000018465.1	2	nitrosopumilus maritimus scm1	False	False	True	False	False
marine	Otu107	KCH3_S1_contigs	40269	new_strain	Aliivibrio salmonicida	Aliivibrio salmonicida	Aliivibrio	Pseudomonadota	none		0		False	False	False	False	False
