genome	taxid	ref_len	ref_len_source	fasta_basename	cami_novelty_category	sci_name	tax_species	tax_genus	tax_family	tax_order	tax_class	tax_phylum
Otu10	662	5712799	fai	11_S11_contigs	known_strain	Vibrio		Vibrio	Vibrionaceae	Vibrionales	Gammaproteobacteria	Pseudomonadota
Otu1000	324767	4884713	fai	Bacillus_infantis_NRRL_B-14911_genomic	known_strain	Bacillus infantis	Bacillus infantis	Bacillus	Bacillaceae	Bacillales	Bacilli	Bacillota
Otu1002.0	488546	1762793	fai	Campylobacter_peloridis_LMG_23910_genomic	known_strain	Campylobacter peloridis	Campylobacter peloridis	Campylobacter	Campylobacteraceae	Campylobacterales	Epsilonproteobacteria	Campylobacterota
Otu1004	386487	1160782	fai	Candidatus_Ruthia_magnifica_str_Cm_Calyptogena_magnifica_genomic	known_strain	Candidatus Ruthturnera calyptogenae	Candidatus Ruthturnera calyptogenae	Candidatus Ruthturnera	Candidatus Pseudothioglobaceae		Gammaproteobacteria	Pseudomonadota
Otu1010	190893	5490011	fai	Vibrio_coralliilyticus_strain_58_genomic	known_strain	Vibrio coralliilyticus	Vibrio coralliilyticus	Vibrio	Vibrionaceae	Vibrionales	Gammaproteobacteria	Pseudomonadota
Otu1015	361183	2786256	fai	Altererythrobacter_epoxidivorans_CGMCC_17731_genomic	known_strain	Altererythrobacter epoxidivorans	Altererythrobacter epoxidivorans	Altererythrobacter	Erythrobacteraceae	Sphingomonadales	Alphaproteobacteria	Pseudomonadota
Otu1016.0	547188	3884382	fai	Phycisphaera_mikurensis_NBRC_102666_genomic	known_strain	Phycisphaera mikurensis	Phycisphaera mikurensis	Phycisphaera	Phycisphaeraceae	Phycisphaerales	Phycisphaerae	Planctomycetota
Otu1022	39152	1744193	fai	Methanococcus_maripaludis_C6_genomic	known_strain	Methanococcus maripaludis	Methanococcus maripaludis	Methanococcus	Methanococcaceae	Methanococcales	Methanococci	Methanobacteriota
Otu1027	1007105	3924810	fai	Pusillimonas_sp_T7-7_genomic	known_strain	Pusillimonas sp. T7-7	Pusillimonas sp. T7-7	Pusillimonas	Alcaligenaceae	Burkholderiales	Betaproteobacteria	Pseudomonadota
Otu1028	1760	7112340	fai	LF22_S6_contigs	new_order	Actinomycetes					Actinomycetes	Actinomycetota
Otu1030	149715	2244793	fai	Marinitoga_piezophila_KA3_genomic	known_strain	Marinitoga piezophila	Marinitoga piezophila	Marinitoga	Petrotogaceae	Petrotogales	Thermotogae	Thermotogota
Otu1031	651457	2302126	fai	Kosmotoga_olearia_TBF_1951_genomic	known_strain	Kosmotoga olearia	Kosmotoga olearia	Kosmotoga	Kosmotogaceae	Kosmotogales	Thermotogae	Thermotogota
Otu1032	662	5940029	fai	V36_S4_contigs	known_strain	Vibrio		Vibrio	Vibrionaceae	Vibrionales	Gammaproteobacteria	Pseudomonadota
Otu1038	1868325	2399849	fai	Prosthecochloris_sp_CIB_2401_genomic	known_strain	Prosthecochloris sp. CIB 2401	Prosthecochloris sp. CIB 2401	Prosthecochloris	Chlorobiaceae	Chlorobiales	Chlorobiia	Chlorobiota
Otu104	662	5504684	fai	Vibrio_natriegens_strain_CCUG_16374_genomic	known_strain	Vibrio		Vibrio	Vibrionaceae	Vibrionales	Gammaproteobacteria	Pseudomonadota
Otu1040	62322	5342896	fai	Shewanella_baltica_OS155_genomic	new_strain	Shewanella baltica	Shewanella baltica	Shewanella	Shewanellaceae	Alteromonadales	Gammaproteobacteria	Pseudomonadota
Otu1046	1238	3489052	fai	Piscirickettsia_salmonis_strain_AY6532B_genomic	known_strain	Piscirickettsia salmonis	Piscirickettsia salmonis	Piscirickettsia	Piscirickettsiaceae	Thiotrichales	Gammaproteobacteria	Pseudomonadota
Otu105.0	328515	3914632	fai	Nonlabens_dokdonensis_DSW-6_genomic	known_strain	Nonlabens dokdonensis	Nonlabens dokdonensis	Nonlabens	Flavobacteriaceae	Flavobacteriales	Flavobacteriia	Bacteroidota
Otu1057	80854	5093989	fai	Moritella_viscosa_06_09_139_genomic	known_strain	Moritella viscosa	Moritella viscosa	Moritella	Moritellaceae	Alteromonadales	Gammaproteobacteria	Pseudomonadota
Otu106	126740	1877693	fai	Thermotoga_sp_RQ2_genomic	known_strain	Thermotoga sp. RQ2	Thermotoga sp. RQ2	Thermotoga	Thermotogaceae	Thermotogales	Thermotogae	Thermotogota
Otu1062.0	669041	2679753	fai	T-219_S4_contigs	new_strain	Tenacibaculum dicentrarchi	Tenacibaculum dicentrarchi	Tenacibaculum	Flavobacteriaceae	Flavobacteriales	Flavobacteriia	Bacteroidota
Otu1065	1620392	3481669	fai	Spongiibacter_sp_IMCC21906_genomic	known_strain	Spongiibacter sp. IMCC21906	Spongiibacter sp. IMCC21906	Spongiibacter	Spongiibacteraceae	Cellvibrionales	Gammaproteobacteria	Pseudomonadota
Otu1068.0	979	3952957	fai	Cellulophaga_lytica_strain_DAU203_genomic	known_strain	Cellulophaga lytica	Cellulophaga lytica	Cellulophaga	Flavobacteriaceae	Flavobacteriales	Flavobacteriia	Bacteroidota
Otu1069	338192	1645259	fai	Nitrosopumilus_maritimus_SCM1_genomic	known_strain	Nitrosopumilus maritimus	Nitrosopumilus maritimus	Nitrosopumilus	Nitrosopumilaceae	Nitrosopumilales	Nitrososphaeria	Nitrososphaerota
Otu107	40269	4759095	fai	KCH3_S1_contigs	new_strain	Aliivibrio salmonicida	Aliivibrio salmonicida	Aliivibrio	Vibrionaceae	Vibrionales	Gammaproteobacteria	Pseudomonadota
Otu1070.0	754476	3137191	fai	Methylophaga_sp_JAM1_genomic	known_strain	Methylophaga nitratireducenticrescens	Methylophaga nitratireducenticrescens	Methylophaga	Piscirickettsiaceae	Thiotrichales	Gammaproteobacteria	Pseudomonadota
Otu1078	1873524	2085946	fai	haloarchaeon_HSR6_genomic	new_strain	Halodesulfurarchaeum formicicum	Halodesulfurarchaeum formicicum	Halodesulfurarchaeum	Halobacteriaceae	Halobacteriales	Halobacteria	Methanobacteriota
Otu1079.0	221822	4160918	fai	Phaeobacter_gallaeciensis_210_Roseobacter_gallaeciensis_genomic	known_strain	Phaeobacter inhibens	Phaeobacter inhibens	Phaeobacter	Roseobacteraceae	Rhodobacterales	Alphaproteobacteria	Pseudomonadota
Otu108.0	90736	4566632	fai	2_S8_contigs	new_strain	Moritella marina	Moritella marina	Moritella	Moritellaceae	Alteromonadales	Gammaproteobacteria	Pseudomonadota
Otu108.1	80854	5175222	fai	Mv3632_S3_contigs	known_strain	Moritella viscosa	Moritella viscosa	Moritella	Moritellaceae	Alteromonadales	Gammaproteobacteria	Pseudomonadota
Otu1080	657445	1859830	fai	Francisella_noatunensis_subsp_orientalis_strain_FNO01_genomic	known_strain	Francisella noatunensis	Francisella noatunensis	Francisella	Francisellaceae	Thiotrichales	Gammaproteobacteria	Pseudomonadota
Otu1082	1219	1738790	fai	Prochlorococcus_marinus_str_MIT_9215_genomic	known_strain	Prochlorococcus marinus	Prochlorococcus marinus	Prochlorococcus	Prochlorococcaceae	Synechococcales	Cyanophyceae	Cyanobacteriota
Otu1084	1363	1950135	fai	Lactococcus_garvieae_ATCC_49156_genomic	known_strain	Lactococcus garvieae	Lactococcus garvieae	Lactococcus	Streptococcaceae	Lactobacillales	Bacilli	Bacillota
Otu1089	228	3850272	fai	Pseudoalteromonas_haloplanktis_TAC125_genomic	new_strain	Pseudoalteromonas haloplanktis	Pseudoalteromonas haloplanktis	Pseudoalteromonas	Pseudoalteromonadaceae	Alteromonadales	Gammaproteobacteria	Pseudomonadota
Otu1093	1276	2785024	fai	Kytococcus_sedentarius_DSM_20547_genomic	known_strain	Kytococcus sedentarius	Kytococcus sedentarius	Kytococcus	Kytococcaceae	Micrococcales	Actinomycetes	Actinomycetota
Otu11	54248	1667163	fai	Hyperthermus_butylicus_DSM_5456_genomic	known_strain	Hyperthermus butylicus	Hyperthermus butylicus	Hyperthermus	Pyrodictiaceae	Desulfurococcales	Thermoprotei	Thermoproteota
Otu110.0	363408	2884293	fai	Nonlabens_sp_MIC269_genomic	known_strain	Nonlabens		Nonlabens	Flavobacteriaceae	Flavobacteriales	Flavobacteriia	Bacteroidota
Otu1101.0	1238	3509728	fai	Piscirickettsia_salmonis_strain_PM22180B_genomic	known_strain	Piscirickettsia salmonis	Piscirickettsia salmonis	Piscirickettsia	Piscirickettsiaceae	Thiotrichales	Gammaproteobacteria	Pseudomonadota
Otu1106	80852	4635126	fai	Aliivibrio_wodanis_genomic	new_strain	Aliivibrio wodanis	Aliivibrio wodanis	Aliivibrio	Vibrionaceae	Vibrionales	Gammaproteobacteria	Pseudomonadota
Otu1108.0	1002672	1284727	fai	Candidatus_Pelagibacter_sp_IMCC9063_genomic	known_strain	Candidatus Pelagibacter sp. IMCC9063	Candidatus Pelagibacter sp. IMCC9063	Candidatus Pelagibacter	Candidatus Pelagibacteraceae	Candidatus Pelagibacterales	Alphaproteobacteria	Pseudomonadota
Otu1108.1	198252	1308759	fai	Candidatus_Pelagibacter_ubique_HTCC1062_genomic	known_strain	Candidatus Pelagibacter communis	Candidatus Pelagibacter communis	Candidatus Pelagibacter	Candidatus Pelagibacteraceae	Candidatus Pelagibacterales	Alphaproteobacteria	Pseudomonadota
Otu1111	662	5521305	fai	19_S5_contigs	known_strain	Vibrio		Vibrio	Vibrionaceae	Vibrionales	Gammaproteobacteria	Pseudomonadota
Otu1113	40269	3866601	fai	A4_S4_contigs	new_strain	Aliivibrio salmonicida	Aliivibrio salmonicida	Aliivibrio	Vibrionaceae	Vibrionales	Gammaproteobacteria	Pseudomonadota
Otu1119.0	2352	2526590	fai	Flexistipes_sinusarabici_DSM_4947_genomic	known_strain	Flexistipes sinusarabici	Flexistipes sinusarabici	Flexistipes	Flexistipitaceae	Deferribacterales	Deferribacteres	Deferribacterota
Otu1123	29494	4916408	fai	Vibrio_furnissii_NCTC_11218_genomic	known_strain	Vibrio furnissii	Vibrio furnissii	Vibrio	Vibrionaceae	Vibrionales	Gammaproteobacteria	Pseudomonadota
Otu1126	1248727	2597759	fai	endosymbiont_of_unidentified_scaly_snail_isolate_Monju_genomic	known_strain	endosymbiont of unidentified scaly snail isolate Monju	endosymbiont of unidentified scaly snail isolate Monju				Gammaproteobacteria	Pseudomonadota
Otu1127	662	5453748	fai	V-H1309-2-4_S3_contigs	known_strain	Vibrio		Vibrio	Vibrionaceae	Vibrionales	Gammaproteobacteria	Pseudomonadota
Otu1129	86304	5057531	fai	Saccharophagus_degradans_2-40_genomic	known_strain	Saccharophagus degradans	Saccharophagus degradans	Saccharophagus	Cellvibrionaceae	Cellvibrionales	Gammaproteobacteria	Pseudomonadota
Otu1132	80852	4344386	fai	VwK7F1_S12_contigs	new_strain	Aliivibrio wodanis	Aliivibrio wodanis	Aliivibrio	Vibrionaceae	Vibrionales	Gammaproteobacteria	Pseudomonadota
Otu1133	662	5339423	fai	B9-25K2_S3_contigs	known_strain	Vibrio		Vibrio	Vibrionaceae	Vibrionales	Gammaproteobacteria	Pseudomonadota
Otu1136.0	1774273	3809314	fai	Polaribacter_sp_LPB0003_genomic	known_strain	Polaribacter vadi	Polaribacter vadi	Polaribacter	Flavobacteriaceae	Flavobacteriales	Flavobacteriia	Bacteroidota
Otu1139	1547445	2015987	fai	Francisella_sp_FSC1006_genomic	known_strain							
Otu1140	511678	4516079	fai	ukjent2_S9_contigs	new_species	Aliivibrio		Aliivibrio	Vibrionaceae	Vibrionales	Gammaproteobacteria	Pseudomonadota
Otu1142.0	96345	2699386	fai	Flavobacterium_psychrophilum_v4-33_genomic	known_strain	Flavobacterium psychrophilum	Flavobacterium psychrophilum	Flavobacterium	Flavobacteriaceae	Flavobacteriales	Flavobacteriia	Bacteroidota
Otu1146.0	1763534	3027315	fai	Flavobacterium_sp_LPB0076_genomic	known_strain	Flavobacterium crassostreae	Flavobacterium crassostreae	Flavobacterium	Flavobacteriaceae	Flavobacteriales	Flavobacteriia	Bacteroidota
Otu1147	672	5127345	fai	Vibrio_vulnificus_strain_93U204_genomic	known_strain	Vibrio vulnificus	Vibrio vulnificus	Vibrio	Vibrionaceae	Vibrionales	Gammaproteobacteria	Pseudomonadota
Otu115	40269	4083467	fai	A6_S6_contigs	new_strain	Aliivibrio salmonicida	Aliivibrio salmonicida	Aliivibrio	Vibrionaceae	Vibrionales	Gammaproteobacteria	Pseudomonadota
Otu1153	32003	1352914	fai	Methylophilales_bacterium_MBRSF5_genomic	known_strain	Nitrosomonadales				Nitrosomonadales	Betaproteobacteria	Pseudomonadota
Otu1156	80852	4581842	fai	A-H1309-5II_S9_contigs	new_strain	Aliivibrio wodanis	Aliivibrio wodanis	Aliivibrio	Vibrionaceae	Vibrionales	Gammaproteobacteria	Pseudomonadota
