dataset	species	n_cami_genomes	n_train_genomes_same_species	n_val_genomes_same_species	species_seen_in_training
marine	unidentified	88	0	0	False
marine	Aliivibrio wodanis	22	1	0	True
marine	Aliivibrio salmonicida	19	1	0	True
marine	Piscirickettsia salmonis	15	18	4	True
marine	Vibrio anguillarum	14	18	2	True
marine	Alteromonas mediterranea	13	8	0	True
marine	Prochlorococcus marinus	13	12	1	True
marine	Moritella viscosa	9	1	0	True
marine	Shewanella baltica	9	16	5	True
marine	Flavobacterium psychrophilum	9	45	3	True
marine	Thermotoga maritima	6	7	2	True
marine	Francisella noatunensis	5	0	0	False
marine	Aeromonas salmonicida	5	12	2	True
marine	Methanococcus maripaludis	4	23	1	True
marine	Stutzerimonas stutzeri	4	49	7	True
marine	Alteromonas macleodii	4	13	2	True
marine	Psychrobacter sp. JCM 18900	4	0	0	False
marine	Vibrio parahaemolyticus	4	304	42	True
marine	Streptococcus agalactiae	3	392	45	True
marine	Streptococcus iniae	3	22	1	True
marine	Tenacibaculum dicentrarchi	3	9	3	True
marine	Cellulophaga lytica	3	3	1	True
marine	Vibrio coralliilyticus	3	4	1	True
marine	Methanosarcina siciliae	3	3	0	True
marine	Pseudoalteromonas haloplanktis	3	1	0	True
marine	Weissella ceti	3	1	0	True
marine	Thalassolituus oleivorans	3	1	0	True
marine	Cellulophaga baltica	2	3	2	True
marine	Moorena producens	2	1	0	True
marine	Vibrio alginolyticus	2	74	8	True
marine	Vibrio scophthalmi	2	1	0	True
marine	Candidatus Pseudothioglobus singularis	2	0	0	False
marine	Vibrio tasmaniensis	2	0	0	False
marine	Staphylococcus warneri	2	41	5	True
marine	Erythrobacter litoralis	2	1	0	True
marine	Shewanella frigidimarina	2	1	0	True
marine	Micrococcus luteus	2	62	6	True
marine	Salmonella enterica	2	2804	345	True
marine	Salinibacter ruber	2	88	5	True
marine	Rhodothermus marinus	2	1	1	True
marine	Haloquadratum walsbyi	2	2	0	True
marine	Helicobacter cetorum	2	1	0	True
marine	Psychrobacter sp. PAMC 21119	2	0	0	False
marine	Pseudomonas fluorescens	2	0	0	False
marine	Pseudoalteromonas sp. SM9913	2	0	0	False
marine	Lactococcus garvieae	2	20	1	True
marine	Marinobacter nauticus	2	5	1	True
marine	Phaeobacter gallaeciensis	2	2	1	True
marine	Thermosipho melanesiensis	2	5	2	True
marine	Candidatus Endolissoclinum faulkneri	2	0	0	False
marine	Archaeoglobus fulgidus	2	2	0	True
marine	Alteromonas australica	2	0	1	False
marine	Thermococcus barophilus	2	0	0	False
marine	Brucella ceti	2	0	0	False
marine	Flavobacterium frigidarium	2	1	0	True
marine	Yersinia ruckeri	2	34	1	True
marine	Aliivibrio fischeri	2	2	0	True
marine	Pseudodesulfovibrio piezophilus	1	1	0	True
marine	Campylobacter lari	1	0	0	False
marine	Pseudoalteromonas rubra	1	0	0	False
marine	Pseudoalteromonas piratica	1	0	0	False
marine	Pseudoalteromonas phenolica	1	0	0	False
marine	Campylobacter peloridis	1	0	0	False
marine	Pseudoalteromonas luteoviolacea	1	1	0	True
marine	Pseudomonas pohangensis	1	0	0	False
marine	Candidatus Aciduliprofundum boonei	1	0	0	False
marine	Pseudoalteromonas atlantica	1	10	0	True
marine	Pseudanabaena sp. PCC 7367	1	0	0	False
marine	Pseudalgibacter alginicilyticus	1	0	0	False
marine	Prosthecochloris sp. CIB 2401	1	0	0	False
marine	Prochlorococcus sp. MIT 0801	1	0	0	False
marine	Prochlorococcus sp. MIT 0604	1	0	0	False
marine	Candidatus Aquiluna sp. UB-MaderosW2red	1	0	0	False
marine	Polaribacter vadi	1	1	0	True
marine	Polaribacter sp. MED152	1	0	0	False
marine	Planococcus plakortidis	1	0	0	False
marine	Planococcus maritimus	1	0	0	False
marine	Planococcus kocurii	1	0	0	False
marine	Calyptogena okutanii thioautotrophic gill symbiont	1	0	0	False
marine	Rhodococcus erythropolis	1	0	0	False
marine	Rhodobacter xanthinilyticus	1	0	0	False
marine	Brucella pinnipedialis	1	0	0	False
marine	Renibacterium salmoninarum	1	1	0	True
marine	Brucella sp. 141012304	1	0	0	False
marine	Pyrolobus fumarii	1	1	0	True
marine	Pyrodictium delaneyi	1	2	0	True
marine	Pyrococcus yayanosii	1	0	0	False
marine	Pyrococcus sp. ST04	1	0	0	False
marine	Pyrococcus sp. NA2	1	0	0	False
marine	Pyrococcus horikoshii	1	2	0	True
marine	Pseudovibrio sp. FO-BEG1	1	0	0	False
marine	Pyrococcus abyssi	1	0	1	False
marine	Pyrobaculum aerophilum	1	3	0	True
marine	Pusillimonas sp. T7-7	1	0	0	False
marine	Psychromonas sp. CNPT3	1	0	0	False
marine	Psychromonas ingrahamii	1	0	0	False
marine	Psychroflexus torquis	1	1	0	True
marine	Psychrobacter sp. PRwf-1	1	0	0	False
marine	Brumicola nitratireducens	1	0	0	False
marine	Caldithrix abyssi	1	2	0	True
