bin_id	path	completeness_pct	scoreable	selection_reason	dataset	binset
s0__MIKI-NS09__X__MIKI-NS06__c90__k5__genus	bins/strain_madness/mixed/s0__MIKI-NS09__X__MIKI-NS06__c90__k5__genus.fna	90.00579499257731	True	all_bins_kept	strain_madness	mixed
s0__MIKI-NS09__X__SP132_S13__c75__k2__order	bins/strain_madness/mixed/s0__MIKI-NS09__X__SP132_S13__c75__k2__order.fna	75.11712552679522	True	all_bins_kept	strain_madness	mixed
s0__MIKI-NS09__X__spades_MRSA7129_S8_L001__c60__k20__class	bins/strain_madness/mixed/s0__MIKI-NS09__X__spades_MRSA7129_S8_L001__c60__k20__class.fna	60.14412960388137	True	all_bins_kept	strain_madness	mixed
s0__MIKI-NS23__X__MIKI-NS25__c75__k5__species	bins/strain_madness/mixed/s0__MIKI-NS23__X__MIKI-NS25__c75__k5__species.fna	75.20372935892566	True	all_bins_kept	strain_madness	mixed
s0__SP101_S82__X__MIKI-NS10__c90__k2__order	bins/strain_madness/mixed/s0__SP101_S82__X__MIKI-NS10__c90__k2__order.fna	90.008033454437	True	all_bins_kept	strain_madness	mixed
s0__SP101_S82__X__MIKI-NS12__c60__k2__family	bins/strain_madness/mixed/s0__SP101_S82__X__MIKI-NS12__c60__k2__family.fna	60.05933407211725	True	all_bins_kept	strain_madness	mixed
s0__SP101_S82__X__MIKI-NS12__c75__k10__family	bins/strain_madness/mixed/s0__SP101_S82__X__MIKI-NS12__c75__k10__family.fna	75.0004337971602	True	all_bins_kept	strain_madness	mixed
s0__SP101_S82__X__MIKI-NS12__c90__k5__family	bins/strain_madness/mixed/s0__SP101_S82__X__MIKI-NS12__c90__k5__family.fna	90.13221668472984	True	all_bins_kept	strain_madness	mixed
s0__SP101_S82__X__MIKI-NS20__c75__k20__phylum	bins/strain_madness/mixed/s0__SP101_S82__X__MIKI-NS20__c75__k20__phylum.fna	75.00896904939331	True	all_bins_kept	strain_madness	mixed
s0__SP101_S82__X__spades_MRSA8339_S5_L001__c90__k10__class	bins/strain_madness/mixed/s0__SP101_S82__X__spades_MRSA8339_S5_L001__c90__k10__class.fna	90.06721745618532	True	all_bins_kept	strain_madness	mixed
s0__SP11_S8__X__spades_VRE3783_S7_L001__c60__k10__order	bins/strain_madness/mixed/s0__SP11_S8__X__spades_VRE3783_S7_L001__c60__k10__order.fna	60.02280914573166	True	all_bins_kept	strain_madness	mixed
s0__SP121_S3__X__MIKI-NS20__c60__k20__phylum	bins/strain_madness/mixed/s0__SP121_S3__X__MIKI-NS20__c60__k20__phylum.fna	60.03150932050511	True	all_bins_kept	strain_madness	mixed
s0__SP121_S3__X__spades_VRE3056_S20_L001__c60__k20__order	bins/strain_madness/mixed/s0__SP121_S3__X__spades_VRE3056_S20_L001__c60__k20__order.fna	60.0102946482261	True	all_bins_kept	strain_madness	mixed
