dataset	genome	name_key_source	taxid	cami_novelty_category	sci_name	tax_species	tax_genus	tax_phylum	match_level	matched_accessions	n_matched_accessions	ncbi_name_key	in_train	in_val	in_test	in_kmer_selection	leaked
strain_madness	MIKI-NS02	MIKI-NS02	1351	new_strain	Enterococcus faecalis	Enterococcus faecalis	Enterococcus	Bacillota	none		0		False	False	False	False	False
strain_madness	MIKI-NS03	MIKI-NS03	816	new_species	Bacteroides		Bacteroides	Bacteroidota	none		0		False	False	False	False	False
strain_madness	MIKI-NS06	MIKI-NS06	508451	new_strain	Lactobacillus taiwanensis	Lactobacillus taiwanensis	Lactobacillus	Bacillota	none		0		False	False	False	False	False
strain_madness	MIKI-NS08	MIKI-NS08	31957	new_order	Propionibacteriaceae			Actinomycetota	none		0		False	False	False	False	False
strain_madness	MIKI-NS09	MIKI-NS09	97137	new_strain	Lactobacillus sp. ASF360	Lactobacillus sp. ASF360	Lactobacillus	Bacillota	none		0		False	False	False	False	False
strain_madness	MIKI-NS10	MIKI-NS10	1598	new_strain	Limosilactobacillus reuteri	Limosilactobacillus reuteri	Limosilactobacillus	Bacillota	none		0		False	False	False	False	False
strain_madness	MIKI-NS11	MIKI-NS11	97137	new_strain	Lactobacillus sp. ASF360	Lactobacillus sp. ASF360	Lactobacillus	Bacillota	none		0		False	False	False	False	False
strain_madness	MIKI-NS12	MIKI-NS12	1363	new_strain	Lactococcus garvieae	Lactococcus garvieae	Lactococcus	Bacillota	none		0		False	False	False	False	False
strain_madness	MIKI-NS13	MIKI-NS13	481743	new_strain	Paenibacillus sp. Y412MC10	Paenibacillus sp. Y412MC10	Paenibacillus	Bacillota	none		0		False	False	False	False	False
strain_madness	MIKI-NS14	MIKI-NS14	823	new_strain	Parabacteroides distasonis	Parabacteroides distasonis	Parabacteroides	Bacteroidota	none		0		False	False	False	False	False
strain_madness	MIKI-NS15	MIKI-NS15	1235803	new_strain	Parabacteroides sp. ASF519	Parabacteroides sp. ASF519	Parabacteroides	Bacteroidota	none		0		False	False	False	False	False
strain_madness	MIKI-NS20	MIKI-NS20	186802	new_genus	Eubacteriales			Bacillota	none		0		False	False	False	False	False
strain_madness	MIKI-NS23	MIKI-NS23	671267	new_strain	Phocaeicola sartorii	Phocaeicola sartorii	Phocaeicola	Bacteroidota	none		0		False	False	False	False	False
strain_madness	MIKI-NS24	MIKI-NS24	671267	new_strain	Phocaeicola sartorii	Phocaeicola sartorii	Phocaeicola	Bacteroidota	none		0		False	False	False	False	False
strain_madness	MIKI-NS25	MIKI-NS25	671267	new_strain	Phocaeicola sartorii	Phocaeicola sartorii	Phocaeicola	Bacteroidota	none		0		False	False	False	False	False
strain_madness	SP100_S81	SP100_S81	1313	new_strain	Streptococcus pneumoniae	Streptococcus pneumoniae	Streptococcus	Bacillota	none		0		False	False	False	False	False
strain_madness	SP101_S82	SP101_S82	1313	new_strain	Streptococcus pneumoniae	Streptococcus pneumoniae	Streptococcus	Bacillota	none		0		False	False	False	False	False
strain_madness	SP102_S82	SP102_S82	1313	new_strain	Streptococcus pneumoniae	Streptococcus pneumoniae	Streptococcus	Bacillota	none		0		False	False	False	False	False
strain_madness	SP103_S83	SP103_S83	1313	new_strain	Streptococcus pneumoniae	Streptococcus pneumoniae	Streptococcus	Bacillota	none		0		False	False	False	False	False
strain_madness	SP105_S84	SP105_S84	1313	new_strain	Streptococcus pneumoniae	Streptococcus pneumoniae	Streptococcus	Bacillota	none		0		False	False	False	False	False
