genome	taxid	ref_len	ref_len_source	fasta_basename	cami_novelty_category	sci_name	tax_species	tax_genus	tax_family	tax_order	tax_class	tax_phylum
MIKI-NS02	1351	2999969	fai	MIKI-NS02	new_strain	Enterococcus faecalis	Enterococcus faecalis	Enterococcus	Enterococcaceae	Lactobacillales	Bacilli	Bacillota
MIKI-NS03	816	4488719	fai	MIKI-NS03	new_species	Bacteroides		Bacteroides	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidota
MIKI-NS06	508451	1964761	fai	MIKI-NS06	new_strain	Lactobacillus taiwanensis	Lactobacillus taiwanensis	Lactobacillus	Lactobacillaceae	Lactobacillales	Bacilli	Bacillota
MIKI-NS08	31957	2548584	fai	MIKI-NS08	new_order	Propionibacteriaceae			Propionibacteriaceae	Propionibacteriales	Actinomycetes	Actinomycetota
MIKI-NS09	97137	2039692	fai	MIKI-NS09	new_strain	Lactobacillus sp. ASF360	Lactobacillus sp. ASF360	Lactobacillus	Lactobacillaceae	Lactobacillales	Bacilli	Bacillota
MIKI-NS10	1598	2092650	fai	MIKI-NS10	new_strain	Limosilactobacillus reuteri	Limosilactobacillus reuteri	Limosilactobacillus	Lactobacillaceae	Lactobacillales	Bacilli	Bacillota
MIKI-NS11	97137	2039212	fai	MIKI-NS11	new_strain	Lactobacillus sp. ASF360	Lactobacillus sp. ASF360	Lactobacillus	Lactobacillaceae	Lactobacillales	Bacilli	Bacillota
MIKI-NS12	1363	2252307	fai	MIKI-NS12	new_strain	Lactococcus garvieae	Lactococcus garvieae	Lactococcus	Streptococcaceae	Lactobacillales	Bacilli	Bacillota
MIKI-NS13	481743	7206778	fai	MIKI-NS13	new_strain	Paenibacillus sp. Y412MC10	Paenibacillus sp. Y412MC10	Paenibacillus	Paenibacillaceae	Bacillales	Bacilli	Bacillota
MIKI-NS14	823	5248953	fai	MIKI-NS14	new_strain	Parabacteroides distasonis	Parabacteroides distasonis	Parabacteroides	Tannerellaceae	Bacteroidales	Bacteroidia	Bacteroidota
MIKI-NS15	1235803	6804612	fai	MIKI-NS15	new_strain	Parabacteroides sp. ASF519	Parabacteroides sp. ASF519	Parabacteroides	Tannerellaceae	Bacteroidales	Bacteroidia	Bacteroidota
MIKI-NS20	186802	5363855	fai	MIKI-NS20	new_genus	Eubacteriales				Eubacteriales	Clostridia	Bacillota
