dataset	sample	genome	taxid	ref_len	span_bp	union_bp	n_contigs	cami_novelty_category	completeness_pct	completeness_pct_union	contamination_pct	excluded_non_genome	scoreable_by_magicc	bin_id
marine	0	Otu10	662	5712799	5711009	5711009	118	known_strain	99.96866684789715	99.96866684789715	0.0	False	True	s0__Otu10
marine	0	Otu1000	324767	4884713	3729072	3729072	7019	known_strain	76.34168066783043	76.34168066783043	0.0	False	True	s0__Otu1000
marine	0	Otu1002.0	488546	1762793	536947	536947	1868	known_strain	30.460014306841472	30.460014306841472	0.0	False	False	s0__Otu1002.0
marine	0	Otu1010	190893	5490011	1671039	1671039	5819	known_strain	30.43780786595874	30.43780786595874	0.0	False	False	s0__Otu1010
marine	0	Otu1016.0	547188	3884382	1995872	1995872	5699	known_strain	51.381970156385236	51.381970156385236	0.0	False	True	s0__Otu1016.0
marine	0	Otu1027	1007105	3924810	2596306	2596306	5983	known_strain	66.15112578698077	66.15112578698077	0.0	False	True	s0__Otu1027
marine	0	Otu1028	1760	7112340	3672178	3672178	10458	new_order	51.63108062887882	51.63108062887882	0.0	False	True	s0__Otu1028
marine	0	Otu1030	149715	2244793	1483730	1483730	3403	known_strain	66.0965175853631	66.0965175853631	0.0	False	True	s0__Otu1030
marine	0	Otu104	662	5504684	5487383	5487383	421	known_strain	99.68570402951377	99.68570402951377	0.0	False	True	s0__Otu104
marine	0	Otu1040	62322	5342896	2760075	2760075	7903	new_strain	51.65878205377758	51.65878205377758	0.0	False	True	s0__Otu1040
marine	0	Otu105.0	328515	3914632	3003058	3003058	5602	known_strain	76.71367321372738	76.71367321372738	0.0	False	True	s0__Otu105.0
marine	0	Otu1057	80854	5093989	4262738	4262738	6307	known_strain	83.68172762053472	83.68172762053472	0.0	False	True	s0__Otu1057
marine	0	Otu106	126740	1877693	964571	964571	2761	known_strain	51.3700056398996	51.3700056398996	0.0	False	True	s0__Otu106
marine	0	Otu1065	1620392	3481669	2912017	2912017	4334	known_strain	83.63853657541829	83.63853657541829	0.0	False	True	s0__Otu1065
marine	0	Otu107	40269	4759095	4748644	4748644	219	new_strain	99.78039942468054	99.78039942468054	0.0	False	True	s0__Otu107
marine	0	Otu108.0	90736	4566632	1185025	1185025	4283	new_strain	25.949649544784865	25.949649544784865	0.0	False	False	s0__Otu108.0
marine	0	Otu108.1	80854	5175222	4620138	4620138	5155	known_strain	89.27419925174225	89.27419925174225	0.0	False	True	s0__Otu108.1
marine	0	Otu1089	228	3850272	3217849	3217849	4761	new_strain	83.57458901604873	83.57458901604873	0.0	False	True	s0__Otu1089
marine	0	Otu1093	1276	2785024	2734088	2734088	877	known_strain	98.17107500689401	98.17107500689401	0.0	False	True	s0__Otu1093
marine	0	Otu11	54248	1667163	1667154	1667154	1	known_strain	99.99946016076413	99.99946016076413	0.0	False	True	s0__Otu11
marine	0	Otu1111	662	5521305	3668897	3668897	8514	known_strain	66.44981575913665	66.44981575913665	0.0	False	True	s0__Otu1111
marine	0	Otu1126	1248727	2597759	1988827	1988827	3771	known_strain	76.5593344109288	76.5593344109288	0.0	False	True	s0__Otu1126
marine	0	Otu1133	662	5339423	1627263	1627263	5686	known_strain	30.47638293501002	30.47638293501002	0.0	False	False	s0__Otu1133
marine	0	Otu1136.0	1774273	3809314	1159452	1159452	4018	known_strain	30.43729133382021	30.43729133382021	0.0	False	False	s0__Otu1136.0
marine	0	Otu1140	511678	4516079	1384175	1384175	4832	new_species	30.649928843140255	30.649928843140255	0.0	False	False	s0__Otu1140
marine	0	Otu1147	672	5127345	3919408	3919408	7286	known_strain	76.44127711320381	76.44127711320381	0.0	False	True	s0__Otu1147
marine	0	Otu1153	32003	1352914	1132644	1132644	1662	known_strain	83.71884687422852	83.71884687422852	0.0	False	True	s0__Otu1153
marine	0	Otu116.0	2745	5643878	5606654	5606654	535	known_strain	99.34045349669145	99.34045349669145	0.0	False	True	s0__Otu116.0
marine	0	Otu1179.0	314275	4947126	138126	138126	564	known_strain	2.79204532085902	2.79204532085902	0.0	False	False	s0__Otu1179.0
marine	0	Otu1179.1	226	4721861	1338973	1338973	4720	known_strain	28.35689148833479	28.35689148833479	0.0	False	False	s0__Otu1179.1
marine	0	Otu1180.0	28108	4674885	4671049	4671049	84	known_strain	99.91794450558677	99.91794450558677	0.0	False	True	s0__Otu1180.0
marine	0	Otu1182	1346	2149844	1104756	1104756	3110	known_strain	51.38772859798199	51.38772859798199	0.0	False	True	s0__Otu1182
marine	0	Otu1184	52133	3544508	1080027	1080027	3786	known_strain	30.47043482480502	30.47043482480502	0.0	False	False	s0__Otu1184
marine	0	Otu1187	43657	6221248	3211071	3211071	9207	known_strain	51.614579582746096	51.614579582746096	0.0	False	True	s0__Otu1187
marine	0	Otu119.0	28108	4653851	4194474	4194474	4439	known_strain	90.12909953498726	90.12909953498726	0.0	False	True	s0__Otu119.0
