dataset	bin_id	sample	dominant	contaminant	dominant_taxid	contaminant_taxid	distance_rank	target_completeness	target_contamination	ref_len	dominant_bp	contaminant_bp	completeness_pct	contamination_pct	n_contigs_dominant	n_contigs_contaminant	cont_shortfall_rel	scoreable_by_magicc	in_domain
marine	s0__Otu93__X__Otu523__c60__k2__species	0	Otu93	Otu523	39960	39960	species	60.0	2.0	3251353	3251308	65347	99.99861596080154	2.0098402111367175	1	93	-0.004920105568358757	True	True
marine	s0__Otu2019__X__Otu492__c60__k2__species	0	Otu2019	Otu492	1219	1219	species	60.0	2.0	2682675	1610467	54042	60.03213210694549	2.0144818138611646	3006	163	-0.007240906930582325	True	True
marine	s0__Otu1498__X__Otu1270__c60__k2__species	0	Otu1498	Otu1270	212663	212663	species	60.0	2.0	5295768	3178162	106089	60.013240761302235	2.003278844541528	2959	237	-0.0016394222707640793	True	True
marine	s0__Otu119.1__X__Otu119.0__c60__k2__species	0	Otu119.1	Otu119.0	28108	28108	species	60.0	2.0	4480507	2688307	89830	60.0000624929277	2.0049070339584336	4371	94	-0.0024535169792168077	True	True
marine	s0__Otu1301__X__Otu1507__c60__k5__species	0	Otu1301	Otu1507	80852	80852	species	60.0	5.0	4453751	2672347	223038	60.00216446765884	5.007868648247286	4987	652	-0.001573729649457256	True	True
marine	s0__RNODE_68_length_2493_cov_6.03116__X__RNODE_134_length_2327_cov_32.11800__c60__k5__species	0	RNODE_68_length_2493_cov_6.03116	RNODE_134_length_2327_cov_32.11800	32644	32644	species	60.0	5.0	24710	15965	2209	64.60946985026305	8.939700526102792	12	1	-0.7879401052205584	True	True
marine	s0__RNODE_24_length_2639_cov_14.02331__X__RNODE_89_length_4251_cov_3.70418__c60__k5__species	0	RNODE_24_length_2639_cov_14.02331	RNODE_89_length_4251_cov_3.70418	32644	32644	species	60.0	5.0	26170	18181	4200	69.47267863966374	16.048910966755827	7	1	-2.2097821933511654	True	True
marine	s0__RNODE_150_length_1379_cov_3.97642__X__RNODE_456_length_1695_cov_36.79753__c60__k5__species	0	RNODE_150_length_1379_cov_3.97642	RNODE_456_length_1695_cov_36.79753	32644	32644	species	60.0	5.0	13570	8766	1446	64.59837877671333	10.655858511422254	7	1	-1.1311717022844507	True	True
marine	s0__RNODE_265_length_1287_cov_4.20553__X__RNODE_540_length_1564_cov_3.03735__c60__k10__species	0	RNODE_265_length_1287_cov_4.20553	RNODE_540_length_1564_cov_3.03735	32644	32644	species	60.0	10.0	12650	8067	2669	63.77075098814229	21.09881422924901	8	2	-1.1098814229249012	True	True
marine	s0__RNODE_259_length_1574_cov_100.84149__X__RNODE_142_length_2406_cov_5.09941__c60__k10__species	0	RNODE_259_length_1574_cov_100.84149	RNODE_142_length_2406_cov_5.09941	32644	32644	species	60.0	10.0	15520	10655	2316	68.65335051546391	14.922680412371134	7	1	-0.49226804123711343	True	True
marine	s0__RNODE_24_length_2639_cov_14.02331__X__RNODE_323_length_1696_cov_4.05556__c60__k10__species	0	RNODE_24_length_2639_cov_14.02331	RNODE_323_length_1696_cov_4.05556	32644	32644	species	60.0	10.0	26170	18209	3304	69.5796713794421	12.625143293847918	7	2	-0.2625143293847918	True	True
marine	s0__RNODE_408_length_3585_cov_3.79764__X__RNODE_166_length_2298_cov_14.88049__c60__k15__species	0	RNODE_408_length_3585_cov_3.79764	RNODE_166_length_2298_cov_14.88049	32644	32644	species	60.0	15.0	35630	22524	6639	63.21639068200954	18.63317429132753	12	7	-0.24221161942183542	True	True
marine	s0__RNODE_266_length_6653_cov_7.97753__X__RNODE_158_length_1640_cov_4.51607__c60__k15__species	0	RNODE_266_length_6653_cov_7.97753	RNODE_158_length_1640_cov_4.51607	32644	32644	species	60.0	15.0	66310	40531	10729	61.123510782687376	16.180063338862915	22	7	-0.07867088925752767	True	True
marine	s0__RNODE_142_length_2406_cov_5.09941__X__RNODE_55_length_2901_cov_27.42654__c60__k20__species	0	RNODE_142_length_2406_cov_5.09941	RNODE_55_length_2901_cov_27.42654	32644	32644	species	60.0	20.0	23840	16368	5708	68.65771812080537	23.94295302013423	16	3	-0.19714765100671147	True	True
marine	s0__Otu47.0__X__Otu40.0__c60__k20__species	0	Otu47.0	Otu40.0	1263979	1263979	species	60.0	20.0	1518636	1518602	1481172	99.99776114882039	97.5330493943249	1	1	-3.8766524697162454	True	True
marine	s0__RNODE_134_length_2327_cov_32.11800__X__RNODE_25_length_1750_cov_3.28993__c60__k20__species	0	RNODE_134_length_2327_cov_32.11800	RNODE_25_length_1750_cov_3.28993	32644	32644	species	60.0	20.0	23050	15691	4999	68.07375271149675	21.68763557483731	7	3	-0.08438177874186543	True	True
marine	s0__Otu660__X__Otu2156__c60__k20__species	0	Otu660	Otu2156	1219	1219	species	60.0	20.0	2410873	1446977	482810	60.01879816979161	20.02635559815884	1716	716	-0.0013177799079420183	True	True
