dataset	sample	genome	taxid	ref_len	span_bp	union_bp	n_contigs	cami_novelty_category	completeness_pct	completeness_pct_union	contamination_pct	excluded_non_genome	scoreable_by_magicc	bin_id
strain_madness	0	MIKI-NS02	1351	2999969	1630185	1630185	4540	new_strain	54.340061513968976	54.340061513968976	0.0	False	True	s0__MIKI-NS02
strain_madness	0	MIKI-NS03	816	4488719	79983	79983	333	new_species	1.78186694243948	1.78186694243948	0.0	False	False	s0__MIKI-NS03
strain_madness	0	MIKI-NS06	508451	1964761	151365	151365	621	new_strain	7.703990459908355	7.703990459908355	0.0	False	False	s0__MIKI-NS06
strain_madness	0	MIKI-NS08	31957	2548584	50108	50108	206	new_order	1.9661113779259385	1.9661113779259385	0.0	False	False	s0__MIKI-NS08
strain_madness	0	MIKI-NS09	97137	2039692	1947712	1947712	1182	new_strain	95.49049562384909	95.49049562384909	0.0	False	True	s0__MIKI-NS09
strain_madness	0	MIKI-NS10	1598	2092650	141813	141813	580	new_strain	6.776718514801806	6.776718514801806	0.0	False	False	s0__MIKI-NS10
strain_madness	0	MIKI-NS11	97137	2039212	145403	145403	592	new_strain	7.13035231255995	7.13035231255995	0.0	False	False	s0__MIKI-NS11
strain_madness	0	MIKI-NS12	1363	2252307	441345	441345	1627	new_strain	19.59524167886527	19.59524167886527	0.0	False	False	s0__MIKI-NS12
strain_madness	0	MIKI-NS13	481743	7206778	702783	702783	2807	new_strain	9.751694862808318	9.751694862808318	0.0	False	False	s0__MIKI-NS13
strain_madness	0	MIKI-NS14	823	5248953	858505	858505	3328	new_strain	16.355737991938582	16.355737991938582	0.0	False	False	s0__MIKI-NS14
strain_madness	0	MIKI-NS15	1235803	6804612	6041944	6041944	7057	new_strain	88.7918958494621	88.7918958494621	0.0	False	True	s0__MIKI-NS15
strain_madness	0	MIKI-NS20	186802	5363855	692161	692161	2760	new_genus	12.904170601181427	12.904170601181427	0.0	False	False	s0__MIKI-NS20
strain_madness	0	MIKI-NS23	671267	5370360	5336685	5336685	613	new_strain	99.37294706500123	99.37294706500123	0.0	False	True	s0__MIKI-NS23
strain_madness	0	MIKI-NS24	671267	5364208	29760	29760	127	new_strain	0.5547883303555716	0.5547883303555716	0.0	False	False	s0__MIKI-NS24
strain_madness	0	MIKI-NS25	671267	5371711	658016	658016	2597	new_strain	12.249653788150553	12.249653788150553	0.0	False	False	s0__MIKI-NS25
strain_madness	0	SP100_S81	1313	2092705	513747	513747	1861	new_strain	24.549422876134	24.549422876134	0.0	False	False	s0__SP100_S81
strain_madness	0	SP101_S82	1313	2132333	2005703	2005703	1491	new_strain	94.06143411934252	94.06143411934252	0.0	False	True	s0__SP101_S82
strain_madness	0	SP102_S82	1313	2014786	756765	756765	2487	new_strain	37.560564744841386	37.560564744841386	0.0	False	False	s0__SP102_S82
strain_madness	0	SP103_S83	1313	2047626	64364	64364	271	new_strain	3.1433474667737173	3.1433474667737173	0.0	False	False	s0__SP103_S83
strain_madness	0	SP105_S84	1313	2024006	159365	159365	640	new_strain	7.873741481003515	7.873741481003515	0.0	False	False	s0__SP105_S84
strain_madness	0	SP106_S85	1313	2015226	153618	153618	622	new_strain	7.6228671126712335	7.6228671126712335	0.0	False	False	s0__SP106_S85
strain_madness	0	SP107_S86	1313	2073529	204481	204481	831	new_strain	9.861496993772453	9.861496993772453	0.0	False	False	s0__SP107_S86
strain_madness	0	SP109_S83	1313	2012505	44925	44925	186	new_strain	2.2322925905774147	2.2322925905774147	0.0	False	False	s0__SP109_S83
strain_madness	0	SP10_S7	1313	2082760	145361	145361	587	new_strain	6.979248689239278	6.979248689239278	0.0	False	False	s0__SP10_S7
strain_madness	0	SP110_S88	1313	2140902	174863	174863	713	new_strain	8.167725566139879	8.167725566139879	0.0	False	False	s0__SP110_S88
strain_madness	0	SP111_S89	1313	2099202	2067	2067	9	new_strain	0.09846598850420303	0.09846598850420303	0.0	False	False	s0__SP111_S89
strain_madness	0	SP112_S90	1313	2079727	322693	322693	1252	new_strain	15.516123029609174	15.516123029609174	0.0	False	False	s0__SP112_S90
strain_madness	0	SP113_S91	1313	2058653	39670	39670	161	new_strain	1.9269881811067722	1.9269881811067722	0.0	False	False	s0__SP113_S91
strain_madness	0	SP114_S92	1313	1987692	159122	159122	652	new_strain	8.005365016310375	8.005365016310375	0.0	False	False	s0__SP114_S92
strain_madness	0	SP115_S93	1313	2041665	975859	975859	2929	new_strain	47.797214528338394	47.797214528338394	0.0	False	False	s0__SP115_S93
strain_madness	0	SP116_S94	1313	2013236	794390	794390	2583	new_strain	39.45836454345144	39.45836454345144	0.0	False	False	s0__SP116_S94
