dataset	bin_id	sample	dominant	contaminant	dominant_taxid	contaminant_taxid	distance_rank	target_completeness	target_contamination	ref_len	dominant_bp	contaminant_bp	completeness_pct	contamination_pct	n_contigs_dominant	n_contigs_contaminant	cont_shortfall_rel	scoreable_by_magicc	in_domain
strain_madness	s0__spades_ESBL8075_S12_L001__X__spades_And8454_S5_L001__c60__k2__species	0	spades_ESBL8075_S12_L001	spades_And8454_S5_L001	573	573	species	60.0	2.0	5404977	3460754	108404	64.02902362026703	2.0056329564399626	34	396	-0.002816478219981322	True	True
strain_madness	s0__spades_ESBL8855_S12_L001__X__spades_And6241_S2_L001__c60__k2__species	0	spades_ESBL8855_S12_L001	spades_And6241_S2_L001	573	573	species	60.0	2.0	5625519	3375527	112754	60.00383253527363	2.0043306226501056	5595	438	-0.002165311325052821	True	True
strain_madness	s0__SP72_S55__X__SP125_S84__c60__k2__species	0	SP72_S55	SP125_S84	1313	1313	species	60.0	2.0	2008808	1205431	40197	60.00727794791737	2.0010374311532013	1951	167	-0.000518715576600659	True	True
strain_madness	s0__SP97_S78__X__SP134_S15__c60__k2__species	0	SP97_S78	SP134_S15	1313	1313	species	60.0	2.0	2008538	1205479	40395	60.017734292306145	2.011164339434952	894	174	-0.005582169717476049	True	True
strain_madness	s0__SP154_S35__X__SP114_S92__c60__k2__species	0	SP154_S35	SP114_S92	1313	1313	species	60.0	2.0	2162035	1298195	43484	60.045050149511916	2.011253286833932	3119	181	-0.0056266434169660595	True	True
strain_madness	s0__SP160_S41__X__SP11_S8__c60__k10__species	0	SP160_S41	SP11_S8	1313	1313	species	60.0	10.0	2045367	1227405	204687	60.00903505336695	10.00734831450786	1450	520	-0.000734831450786011	True	True
strain_madness	s0__spades_MRSA8758_S5_L001__X__spades_MRSA8595_S7_L001__c60__k10__species	0	spades_MRSA8758_S5_L001	spades_MRSA8595_S7_L001	1280	1280	species	60.0	10.0	2816182	1698643	281632	60.31723091760405	10.000490025147522	240	922	-4.900251475223882e-05	True	True
strain_madness	s0__SP131_S12__X__SP102_S82__c60__k10__species	0	SP131_S12	SP102_S82	1313	1313	species	60.0	10.0	2155215	1294168	215738	60.048208647397125	10.010045401502866	462	726	-0.0010045401502866368	True	True
strain_madness	s0__SP137_S18__X__SP171_S52__c60__k10__species	0	SP137_S18	SP171_S52	1313	1313	species	60.0	10.0	2035362	1225265	203694	60.19887371386515	10.007752920610683	942	777	-0.0007752920610682778	True	True
strain_madness	s0__spades_VRE3056_S20_L001__X__spades_VRE3783_S7_L001__c60__k15__species	0	spades_VRE3056_S20_L001	spades_VRE3783_S7_L001	1352	1352	species	60.0	15.0	3010057	1806791	451993	60.02514238102468	15.016094379608093	2825	297	-0.0010729586405395489	True	True
strain_madness	s0__SP160_S41__X__SP7_S4__c60__k15__species	0	SP160_S41	SP7_S4	1313	1313	species	60.0	15.0	2045367	1231113	307148	60.19032281248304	15.016767162078981	1439	957	-0.0011178108052654068	True	True
