lineage	tool	trained_on_these_genomes	comparison	confounder_free	leaked_set	clean_set	n_leaked	n_clean	n_out_of_constraint_in_leaked_set	leaked_comp_mae	leaked_comp_mae_ci	clean_comp_mae	clean_comp_mae_ci	delta_comp_mae	delta_comp_mae_ci_lo	delta_comp_mae_ci_hi	delta_comp_mae_ci_excludes_zero	leaked_comp_bias	leaked_comp_bias_ci	clean_comp_bias	clean_comp_bias_ci	delta_comp_bias	delta_comp_bias_ci_lo	delta_comp_bias_ci_hi	delta_comp_bias_ci_excludes_zero	delta_comp_mae_pct	leaked_comp_r2	clean_comp_r2	leaked_comp_pearson_r2_legacy	clean_comp_pearson_r2_legacy	leaked_cont_mae	leaked_cont_mae_ci	clean_cont_mae	clean_cont_mae_ci	delta_cont_mae	delta_cont_mae_ci_lo	delta_cont_mae_ci_hi	delta_cont_mae_ci_excludes_zero	leaked_cont_bias	leaked_cont_bias_ci	clean_cont_bias	clean_cont_bias_ci	delta_cont_bias	delta_cont_bias_ci_lo	delta_cont_bias_ci_hi	delta_cont_bias_ci_excludes_zero	delta_cont_mae_pct	leaked_cont_r2	clean_cont_r2	leaked_cont_pearson_r2_legacy	clean_cont_pearson_r2_legacy
Patescibacteriota (CPR)	MAGICC V5	True	full	False	set_C	set_C_clean	1000	1000	141	3.1539	[2.8993, 3.4131]	6.8216	[5.8141, 7.8274]	3.6677	2.6469	4.7577	True	0.9695	[0.6626, 1.2869]	-2.3197	[-3.8073, -0.829]	-3.2892	-4.8018	-1.7427	True	116.3	0.8972	0.6106	0.901	0.6564	7.9741	[7.493, 8.4519]	9.0801	[8.1493, 9.98]	1.106	0.0983	2.2365	True	-6.9977	[-7.5305, -6.4608]	-3.5536	[-5.0681, -2.0056]	3.4441	1.8084	4.9931	True	13.9	0.8517	0.7704	0.9293	0.7916
Patescibacteriota (CPR)	MAGICC V5	True	constraint_ok	True	set_C	set_C_clean	859	1000	141	2.3794	[2.1755, 2.5923]	6.8216	[5.8141, 7.8274]	4.4422	3.4526	5.4961	True	-0.0735	[-0.3284, 0.1874]	-2.3197	[-3.8073, -0.829]	-2.2462	-3.7277	-0.695	True	186.7	0.9347	0.6106	0.9348	0.6564	6.0521	[5.6876, 6.4342]	9.0801	[8.1493, 9.98]	3.028	2.1036	4.0837	True	-4.9154	[-5.3599, -4.4842]	-3.5536	[-5.0681, -2.0056]	1.3618	-0.2353	2.8929	False	50.0	0.905	0.7704	0.9486	0.7916
Patescibacteriota (CPR)	CheckM2 1.0.1	False	full	False	set_C	set_C_clean	1000	1000	141	7.9939	[7.6582, 8.3519]	7.7112	[7.3275, 8.0919]	-0.2827	-0.817	0.2437	False	-4.7302	[-5.2596, -4.1978]	-4.2054	[-4.8215, -3.5785]	0.5248	-0.3361	1.3487	False	-3.5	0.6381	0.653	0.7289	0.7263	42.3717	[40.6789, 44.0292]	39.6178	[38.1176, 41.1199]	-2.7539	-5.0441	-0.4008	True	-42.3606	[-44.0157, -40.6701]	-39.6042	[-41.112, -38.1108]	2.7564	0.4013	5.0483	True	-6.5	-1.9862	-2.1953	0.3243	0.3207
Patescibacteriota (CPR)	CheckM2 1.0.1	False	constraint_ok	True	set_C	set_C_clean	859	1000	141	7.873	[7.5127, 8.2465]	7.7112	[7.3275, 8.0919]	-0.1618	-0.6863	0.3684	False	-5.3351	[-5.8534, -4.8069]	-4.2054	[-4.8215, -3.5785]	1.1297	0.2938	1.8853	True	-2.1	0.6092	0.653	0.7369	0.7263	36.858	[35.2074, 38.3726]	39.6178	[38.1176, 41.1199]	2.7598	0.5224	5.0145	True	-36.8449	[-38.3609, -35.1891]	-39.6042	[-41.112, -38.1108]	-2.7593	-5.0164	-0.52	True	7.5	-1.7214	-2.1953	0.3766	0.3207
Patescibacteriota (CPR)	CoCoPyE 0.5.0	False	full	False	set_C	set_C_clean	1000	1000	141	15.7252	[15.0864, 16.3136]	15.8029	[15.1401, 16.482]	0.0777	-0.7945	0.9902	False	-13.9767	[-14.7391, -13.1686]	-13.8834	[-14.6878, -13.1118]	0.0933	-1.0412	1.1654	False	0.5	-0.3034	-0.3131	0.4681	0.4627	34.0676	[32.442, 35.643]	31.069	[29.6314, 32.4874]	-2.9986	-5.1381	-0.8133	True	-32.9022	[-34.537, -31.1603]	-30.2262	[-31.683, -28.731]	2.676	0.3619	4.9107	True	-8.8	-1.1151	-1.1704	0.2837	0.3247
Patescibacteriota (CPR)	CoCoPyE 0.5.0	False	constraint_ok	True	set_C	set_C_clean	859	1000	141	17.0069	[16.3954, 17.6993]	15.8029	[15.1401, 16.482]	-1.204	-2.1914	-0.266	True	-15.7128	[-16.5246, -14.9719]	-13.8834	[-14.6878, -13.1118]	1.8294	0.7233	3.0166	True	-7.1	-0.6261	-0.3131	0.4323	0.4627	28.7199	[27.2896, 30.1562]	31.069	[29.6314, 32.4874]	2.3491	0.3367	4.3708	True	-27.3631	[-28.8895, -25.7464]	-30.2262	[-31.683, -28.731]	-2.8631	-5.0763	-0.7301	True	8.2	-0.8375	-1.1704	0.3365	0.3247
Patescibacteriota (CPR)	DeepCheck	False	full	False	set_C	set_C_clean	1000	1000	141	17.9672	[17.3816, 18.5671]	17.8115	[16.8768, 18.7454]	-0.1557	-1.3027	1.0177	False	-17.4498	[-18.1179, -16.8103]	-17.0566	[-18.108, -16.0134]	0.3932	-0.8739	1.6335	False	-0.9	-0.5683	-0.5687	0.5857	0.5612	44.5557	[42.8575, 46.2489]	41.6683	[40.1506, 43.1686]	-2.8874	-5.1959	-0.4769	True	-44.5529	[-46.2442, -42.8531]	-41.6664	[-43.1673, -40.1501]	2.8865	0.4749	5.1935	True	-6.5	-2.2549	-2.4962	0.2625	0.2369
Patescibacteriota (CPR)	DeepCheck	False	constraint_ok	True	set_C	set_C_clean	859	1000	141	18.6744	[18.02, 19.3052]	17.8115	[16.8768, 18.7454]	-0.8629	-1.9855	0.2839	False	-18.3073	[-18.9719, -17.6049]	-17.0566	[-18.108, -16.0134]	1.2507	-0.0293	2.4738	False	-4.6	-0.8725	-0.5687	0.5648	0.5612	39.0112	[37.3166, 40.5849]	41.6683	[40.1506, 43.1686]	2.6571	0.3438	4.9597	True	-39.008	[-40.5829, -37.3115]	-41.6664	[-43.1673, -40.1501]	-2.6584	-4.9624	-0.3413	True	6.8	-2.0041	-2.4962	0.2907	0.2369
Archaea	MAGICC V5	True	full	False	set_D	set_D_clean	1000	1000	213	5.1759	[4.7835, 5.6086]	5.633	[5.0208, 6.3361]	0.4571	-0.2875	1.2725	False	1.4318	[0.8981, 1.9641]	-0.2624	[-1.3496, 0.7826]	-1.6942	-2.8655	-0.5697	True	8.8	0.7003	0.7053	0.7124	0.7124	8.058	[7.446, 8.6959]	6.5229	[5.9577, 7.118]	-1.5351	-2.3672	-0.7027	True	-6.1109	[-6.8545, -5.4312]	-3.8341	[-4.6535, -2.9351]	2.2768	1.2063	3.3811	True	-19.1	0.8071	0.8539	0.8619	0.8787
Archaea	MAGICC V5	True	constraint_ok	True	set_D	set_D_clean	787	1000	213	3.6871	[3.3915, 4.0]	5.633	[5.0208, 6.3361]	1.9459	1.2386	2.6816	True	-0.5975	[-1.0169, -0.2063]	-0.2624	[-1.3496, 0.7826]	0.3351	-0.792	1.4187	False	52.8	0.8555	0.7053	0.8572	0.7124	4.8546	[4.4725, 5.242]	6.5229	[5.9577, 7.118]	1.6683	1.0031	2.3562	True	-2.5102	[-2.9916, -2.0419]	-3.8341	[-4.6535, -2.9351]	-1.3239	-2.2272	-0.3613	True	34.4	0.9055	0.8539	0.9172	0.8787
