set	file	n_columns	columns
set_C_clean	metadata.tsv	10	genome_id,true_completeness,true_contamination,dominant_accession,dominant_phylum,sample_type,n_contigs,total_length,ref_index,replicate
set_C_clean	generation_metadata.tsv	43	genome_id,idx,ref_index,replicate,seed,set,dominant_accession,dominant_phylum,dominant_domain,dominant_taxonomy,dominant_source_split,dominant_reference_bp,dominant_retained_bp,contaminant_bp,contaminant_accessions,contaminant_phyla,contaminant_reference_bp,contaminant_source_split,n_contaminants_requested,n_contaminants_selected,n_contaminants,target_completeness,observed_completeness,target_contamination,observed_contamination,quality_tier,frag_contig_count_range,frag_n50_range_bp,frag_min_contig_bp,frag_lognormal_sigma_range,contaminant_quality_tier,coverage_mean,coverage_sigma,coverage_threshold,gc_loss_strength,repeat_loss_prob,low_complexity_threshold,constraint_guard_fired,n_contigs_dominant,n_contigs_contaminant,n_contigs,total_length,error
set_D_clean	metadata.tsv	10	genome_id,true_completeness,true_contamination,dominant_accession,dominant_phylum,sample_type,n_contigs,total_length,ref_index,replicate
set_D_clean	generation_metadata.tsv	43	genome_id,idx,ref_index,replicate,seed,set,dominant_accession,dominant_phylum,dominant_domain,dominant_taxonomy,dominant_source_split,dominant_reference_bp,dominant_retained_bp,contaminant_bp,contaminant_accessions,contaminant_phyla,contaminant_reference_bp,contaminant_source_split,n_contaminants_requested,n_contaminants_selected,n_contaminants,target_completeness,observed_completeness,target_contamination,observed_contamination,quality_tier,frag_contig_count_range,frag_n50_range_bp,frag_min_contig_bp,frag_lognormal_sigma_range,contaminant_quality_tier,coverage_mean,coverage_sigma,coverage_threshold,gc_loss_strength,repeat_loss_prob,low_complexity_threshold,constraint_guard_fired,n_contigs_dominant,n_contigs_contaminant,n_contigs,total_length,error
set_A_v2	metadata.tsv	9	genome_id,true_completeness,true_contamination,dominant_accession,dominant_phylum,sample_type,n_contigs,total_length,target_completeness
set_B_v2	metadata.tsv	9	genome_id,true_completeness,true_contamination,dominant_accession,dominant_phylum,sample_type,n_contigs,total_length,target_contamination
set_E	metadata.tsv	11	genome_id,true_completeness,true_contamination,dominant_accession,dominant_phylum,sample_type,n_contigs,total_length,target_completeness,target_contamination,category
motivating_v2/set_A	metadata.tsv	9	genome_id,true_completeness,true_contamination,dominant_accession,dominant_phylum,sample_type,n_contigs,total_length,target_completeness
motivating_v2/set_B	metadata.tsv	9	genome_id,true_completeness,true_contamination,dominant_accession,dominant_phylum,sample_type,n_contigs,total_length,target_contamination
motivating_v2/set_C	metadata.tsv	11	genome_id,true_completeness,true_contamination,dominant_accession,dominant_phylum,sample_type,n_contigs,total_length,target_completeness,target_contamination,category
motivating/set_A	metadata.tsv	8	genome_id,true_completeness,true_contamination,dominant_accession,dominant_phylum,sample_type,n_contigs,total_length
motivating/set_B	metadata.tsv	8	genome_id,true_completeness,true_contamination,dominant_accession,dominant_phylum,sample_type,n_contigs,total_length
set_A	metadata.tsv	8	genome_id,true_completeness,true_contamination,dominant_accession,dominant_phylum,sample_type,n_contigs,total_length
set_B	metadata.tsv	8	genome_id,true_completeness,true_contamination,dominant_accession,dominant_phylum,sample_type,n_contigs,total_length
set_C	metadata.tsv	8	genome_id,true_completeness,true_contamination,dominant_accession,dominant_phylum,sample_type,n_contigs,total_length
set_D	metadata.tsv	8	genome_id,true_completeness,true_contamination,dominant_accession,dominant_phylum,sample_type,n_contigs,total_length
