dataset	binset	tool	domain	n	comp_mae	cont_mae	comp_bias	cont_bias
marine	gold	MAGICC_V5	in_domain	3308	10.606776363589267	0.8036707934578925	-8.06637966544648	0.8036707934578925
marine	gold	CheckM2	in_domain	700	29.394164540831497	2.0982857142857148	-29.319915118442772	2.0982857142857148
marine	gold	CoCoPyE	in_domain	622	12.076213830000619	16.2239654124731	5.638873200914862	16.2239654124731
marine	gold	DeepCheck	in_domain	700	29.77479568877272	3.083642973708255	-29.77479568877272	3.05789778187871
marine	mixed	MAGICC_V5	in_domain	2201	9.234551505618727	7.475261129763746	1.2596433631170798	-5.504447692905141
marine	mixed	CheckM2	in_domain	2201	13.957178708752956	6.973854166359492	-10.61000341561986	-5.975559574961447
marine	mixed	CoCoPyE	in_domain	2117	7.545554228359951	11.933168980329235	4.544015338215854	8.261703264298802
marine	mixed	DeepCheck	in_domain	2201	14.289688443541364	7.211470342605174	-11.612977148332016	-5.960492026178744
strain_madness	gold	MAGICC_V5	in_domain	1107	1.3129824479198968	0.5163943836440831	-0.07761309986657841	0.5163943836440831
strain_madness	gold	CheckM2	in_domain	700	13.957983064916997	3.0152571428571426	-13.845170344856712	3.0152571428571426
strain_madness	gold	CoCoPyE	in_domain	700	8.941682302990857	20.06324410407718	8.927703083179027	20.06324410407718
strain_madness	gold	DeepCheck	in_domain	700	17.466134753657744	3.17913627573422	-17.466133951118916	3.1501687398127145
strain_madness	mixed	MAGICC_V5	in_domain	2250	4.217788726608258	4.441146184320198	2.700268280365734	-3.6539228857935435
strain_madness	mixed	CheckM2	in_domain	2250	7.1555775222682	5.918412188996866	-4.178436528967599	-5.246805094007322
strain_madness	mixed	CoCoPyE	in_domain	2250	6.079322807226282	11.879469497267545	5.71909236637111	11.602400201525809
strain_madness	mixed	DeepCheck	in_domain	2250	8.501316763895293	6.29397106783677	-6.544399422339182	-5.790376394776969
