dataset	binset	tool	n	n_true_HQ	n_pred_HQ	HQ_agreement	HQ_sensitivity	HQ_precision	MQ_agreement	n_true_contaminated_ge5pct	false_clean_rate_at_5pct	false_fail_rate_at_5pct	threshold_note	denominator
marine	gold	MAGICC_V5	409	183	118	0.7921760391198044	0.5901639344262295	0.9152542372881356	0.9828850855745721	0		0.044009779951100246	MIMAG-inspired: HQ >=90% comp AND <5% cont; MQ >=50% AND <10%. rRNA/tRNA criteria of the strict definition are not evaluable here.	completeness = retained dominant bp / FULL reference length of the dominant source genome x 100; contamination = total contaminant bp / the SAME denominator x 100 (MAGICC convention, magicc/contamination.py). Truth from CAMI II's own gsa_mapping.tsv contig->source-genome assignment.
marine	gold	CheckM2	409	183	93	0.7799511002444988	0.5081967213114754	1.0	0.5036674816625917	0		0.10757946210268948	MIMAG-inspired: HQ >=90% comp AND <5% cont; MQ >=50% AND <10%. rRNA/tRNA criteria of the strict definition are not evaluable here.	completeness = retained dominant bp / FULL reference length of the dominant source genome x 100; contamination = total contaminant bp / the SAME denominator x 100 (MAGICC convention, magicc/contamination.py). Truth from CAMI II's own gsa_mapping.tsv contig->source-genome assignment.
marine	gold	CoCoPyE	409	183	79	0.7457212713936431	0.43169398907103823	1.0	0.4083129584352078	0		0.6356968215158925	MIMAG-inspired: HQ >=90% comp AND <5% cont; MQ >=50% AND <10%. rRNA/tRNA criteria of the strict definition are not evaluable here.	completeness = retained dominant bp / FULL reference length of the dominant source genome x 100; contamination = total contaminant bp / the SAME denominator x 100 (MAGICC convention, magicc/contamination.py). Truth from CAMI II's own gsa_mapping.tsv contig->source-genome assignment.
marine	gold	DeepCheck	409	183	93	0.7799511002444988	0.5081967213114754	1.0	0.4792176039119804	0		0.1393643031784841	MIMAG-inspired: HQ >=90% comp AND <5% cont; MQ >=50% AND <10%. rRNA/tRNA criteria of the strict definition are not evaluable here.	completeness = retained dominant bp / FULL reference length of the dominant source genome x 100; contamination = total contaminant bp / the SAME denominator x 100 (MAGICC convention, magicc/contamination.py). Truth from CAMI II's own gsa_mapping.tsv contig->source-genome assignment.
marine	mixed	MAGICC_V5	986	57	185	0.821501014198783	0.5789473684210527	0.1783783783783784	0.5649087221095335	819	0.5970695970695971	0.11976047904191617	MIMAG-inspired: HQ >=90% comp AND <5% cont; MQ >=50% AND <10%. rRNA/tRNA criteria of the strict definition are not evaluable here.	completeness = retained dominant bp / FULL reference length of the dominant source genome x 100; contamination = total contaminant bp / the SAME denominator x 100 (MAGICC convention, magicc/contamination.py). Truth from CAMI II's own gsa_mapping.tsv contig->source-genome assignment.
marine	mixed	CheckM2	986	57	91	0.9006085192697769	0.43859649122807015	0.27472527472527475	0.5649087221095335	819	0.5054945054945055	0.17964071856287425	MIMAG-inspired: HQ >=90% comp AND <5% cont; MQ >=50% AND <10%. rRNA/tRNA criteria of the strict definition are not evaluable here.	completeness = retained dominant bp / FULL reference length of the dominant source genome x 100; contamination = total contaminant bp / the SAME denominator x 100 (MAGICC convention, magicc/contamination.py). Truth from CAMI II's own gsa_mapping.tsv contig->source-genome assignment.
marine	mixed	CoCoPyE	986	57	30	0.9482758620689655	0.3157894736842105	0.6	0.6592292089249493	819	0.1562881562881563	0.6946107784431138	MIMAG-inspired: HQ >=90% comp AND <5% cont; MQ >=50% AND <10%. rRNA/tRNA criteria of the strict definition are not evaluable here.	completeness = retained dominant bp / FULL reference length of the dominant source genome x 100; contamination = total contaminant bp / the SAME denominator x 100 (MAGICC convention, magicc/contamination.py). Truth from CAMI II's own gsa_mapping.tsv contig->source-genome assignment.
marine	mixed	DeepCheck	986	57	117	0.8742393509127789	0.43859649122807015	0.21367521367521367	0.5192697768762677	819	0.5372405372405372	0.10778443113772455	MIMAG-inspired: HQ >=90% comp AND <5% cont; MQ >=50% AND <10%. rRNA/tRNA criteria of the strict definition are not evaluable here.	completeness = retained dominant bp / FULL reference length of the dominant source genome x 100; contamination = total contaminant bp / the SAME denominator x 100 (MAGICC convention, magicc/contamination.py). Truth from CAMI II's own gsa_mapping.tsv contig->source-genome assignment.
strain_madness	gold	MAGICC_V5	700	277	252	0.9585714285714285	0.9025270758122743	0.9920634920634921	0.9985714285714286	0		0.002857142857142857	MIMAG-inspired: HQ >=90% comp AND <5% cont; MQ >=50% AND <10%. rRNA/tRNA criteria of the strict definition are not evaluable here.	completeness = retained dominant bp / FULL reference length of the dominant source genome x 100; contamination = total contaminant bp / the SAME denominator x 100 (MAGICC convention, magicc/contamination.py). Truth from CAMI II's own gsa_mapping.tsv contig->source-genome assignment.
strain_madness	gold	CheckM2	700	277	176	0.8557142857142858	0.6353790613718412	1.0	0.64	0		0.19	MIMAG-inspired: HQ >=90% comp AND <5% cont; MQ >=50% AND <10%. rRNA/tRNA criteria of the strict definition are not evaluable here.	completeness = retained dominant bp / FULL reference length of the dominant source genome x 100; contamination = total contaminant bp / the SAME denominator x 100 (MAGICC convention, magicc/contamination.py). Truth from CAMI II's own gsa_mapping.tsv contig->source-genome assignment.
strain_madness	gold	CoCoPyE	700	277	144	0.81	0.51985559566787	1.0	0.25285714285714284	0		0.7942857142857143	MIMAG-inspired: HQ >=90% comp AND <5% cont; MQ >=50% AND <10%. rRNA/tRNA criteria of the strict definition are not evaluable here.	completeness = retained dominant bp / FULL reference length of the dominant source genome x 100; contamination = total contaminant bp / the SAME denominator x 100 (MAGICC convention, magicc/contamination.py). Truth from CAMI II's own gsa_mapping.tsv contig->source-genome assignment.
strain_madness	gold	DeepCheck	700	277	183	0.8657142857142858	0.6606498194945848	1.0	0.5985714285714285	0		0.20285714285714285	MIMAG-inspired: HQ >=90% comp AND <5% cont; MQ >=50% AND <10%. rRNA/tRNA criteria of the strict definition are not evaluable here.	completeness = retained dominant bp / FULL reference length of the dominant source genome x 100; contamination = total contaminant bp / the SAME denominator x 100 (MAGICC convention, magicc/contamination.py). Truth from CAMI II's own gsa_mapping.tsv contig->source-genome assignment.
strain_madness	mixed	MAGICC_V5	2250	149	301	0.8577777777777778	0.436241610738255	0.2159468438538206	0.7173333333333334	1804	0.4523281596452328	0.006726457399103139	MIMAG-inspired: HQ >=90% comp AND <5% cont; MQ >=50% AND <10%. rRNA/tRNA criteria of the strict definition are not evaluable here.	completeness = retained dominant bp / FULL reference length of the dominant source genome x 100; contamination = total contaminant bp / the SAME denominator x 100 (MAGICC convention, magicc/contamination.py). Truth from CAMI II's own gsa_mapping.tsv contig->source-genome assignment.
strain_madness	mixed	CheckM2	2250	149	196	0.8964444444444445	0.37583892617449666	0.2857142857142857	0.5124444444444445	1804	0.47671840354767187	0.12331838565022421	MIMAG-inspired: HQ >=90% comp AND <5% cont; MQ >=50% AND <10%. rRNA/tRNA criteria of the strict definition are not evaluable here.	completeness = retained dominant bp / FULL reference length of the dominant source genome x 100; contamination = total contaminant bp / the SAME denominator x 100 (MAGICC convention, magicc/contamination.py). Truth from CAMI II's own gsa_mapping.tsv contig->source-genome assignment.
strain_madness	mixed	CoCoPyE	2250	149	56	0.9515555555555556	0.3221476510067114	0.8571428571428571	0.7128888888888889	1804	0.01385809312638581	0.695067264573991	MIMAG-inspired: HQ >=90% comp AND <5% cont; MQ >=50% AND <10%. rRNA/tRNA criteria of the strict definition are not evaluable here.	completeness = retained dominant bp / FULL reference length of the dominant source genome x 100; contamination = total contaminant bp / the SAME denominator x 100 (MAGICC convention, magicc/contamination.py). Truth from CAMI II's own gsa_mapping.tsv contig->source-genome assignment.
