dataset	target_completeness	distance_rank	n	cont_bias	detection_slope	note
marine	60.0	species	68	-12.820884824405407	0.44054418800845974	higher target completeness = less of the dominant subsampled away; a stable gradient across rows shows the distance effect is not an artefact of subsampling
marine	60.0	genus	43	-9.300992157995976	0.014986145163691	higher target completeness = less of the dominant subsampled away; a stable gradient across rows shows the distance effect is not an artefact of subsampling
marine	60.0	family	61	-7.193847488280447	0.3617336762680336	higher target completeness = less of the dominant subsampled away; a stable gradient across rows shows the distance effect is not an artefact of subsampling
marine	60.0	order	41	-4.085534936034049	0.6670619770789856	higher target completeness = less of the dominant subsampled away; a stable gradient across rows shows the distance effect is not an artefact of subsampling
marine	60.0	class	60	-2.249883592614802	0.8722219466378432	higher target completeness = less of the dominant subsampled away; a stable gradient across rows shows the distance effect is not an artefact of subsampling
marine	60.0	phylum	59	-0.5812124702537899	1.0456899683813183	higher target completeness = less of the dominant subsampled away; a stable gradient across rows shows the distance effect is not an artefact of subsampling
marine	75.0	species	64	-11.296343073849282	0.1967338378923979	higher target completeness = less of the dominant subsampled away; a stable gradient across rows shows the distance effect is not an artefact of subsampling
marine	75.0	genus	51	-8.720755428302642	0.053693468622032316	higher target completeness = less of the dominant subsampled away; a stable gradient across rows shows the distance effect is not an artefact of subsampling
marine	75.0	family	50	-5.058224905591871	0.5508981948314949	higher target completeness = less of the dominant subsampled away; a stable gradient across rows shows the distance effect is not an artefact of subsampling
marine	75.0	order	43	-2.7687199329361487	1.1067599010801916	higher target completeness = less of the dominant subsampled away; a stable gradient across rows shows the distance effect is not an artefact of subsampling
marine	75.0	class	56	-2.34584936887067	0.8569622004602996	higher target completeness = less of the dominant subsampled away; a stable gradient across rows shows the distance effect is not an artefact of subsampling
marine	75.0	phylum	51	-1.4604032390397759	0.9794516323543919	higher target completeness = less of the dominant subsampled away; a stable gradient across rows shows the distance effect is not an artefact of subsampling
marine	90.0	species	63	-15.435208081210876	0.0011601913095156376	higher target completeness = less of the dominant subsampled away; a stable gradient across rows shows the distance effect is not an artefact of subsampling
marine	90.0	genus	52	-7.19814343456863	0.9151831654649137	higher target completeness = less of the dominant subsampled away; a stable gradient across rows shows the distance effect is not an artefact of subsampling
marine	90.0	family	57	-4.900696181957292	0.7204796951022903	higher target completeness = less of the dominant subsampled away; a stable gradient across rows shows the distance effect is not an artefact of subsampling
marine	90.0	order	62	-1.7673720911819915	1.0020690355225563	higher target completeness = less of the dominant subsampled away; a stable gradient across rows shows the distance effect is not an artefact of subsampling
marine	90.0	class	45	-3.0453880532076734	0.9174157672171546	higher target completeness = less of the dominant subsampled away; a stable gradient across rows shows the distance effect is not an artefact of subsampling
marine	90.0	phylum	60	1.8678715701899715	1.3637654644495385	higher target completeness = less of the dominant subsampled away; a stable gradient across rows shows the distance effect is not an artefact of subsampling
strain_madness	60.0	species	125	-9.964077211242028	0.05059139932291833	higher target completeness = less of the dominant subsampled away; a stable gradient across rows shows the distance effect is not an artefact of subsampling
strain_madness	60.0	genus	125	-9.282187322274465	0.18833741636002743	higher target completeness = less of the dominant subsampled away; a stable gradient across rows shows the distance effect is not an artefact of subsampling
strain_madness	60.0	family	125	-3.256798461019631	0.9356595737253824	higher target completeness = less of the dominant subsampled away; a stable gradient across rows shows the distance effect is not an artefact of subsampling
strain_madness	60.0	order	125	-1.6563217742198542	0.9944958956459802	higher target completeness = less of the dominant subsampled away; a stable gradient across rows shows the distance effect is not an artefact of subsampling
strain_madness	60.0	class	125	-0.9016537546571332	1.0132125752658572	higher target completeness = less of the dominant subsampled away; a stable gradient across rows shows the distance effect is not an artefact of subsampling
strain_madness	60.0	phylum	125	-0.8736830229767902	0.9864422987167656	higher target completeness = less of the dominant subsampled away; a stable gradient across rows shows the distance effect is not an artefact of subsampling
strain_madness	75.0	species	125	-9.278180689793823	0.11172377523774873	higher target completeness = less of the dominant subsampled away; a stable gradient across rows shows the distance effect is not an artefact of subsampling
strain_madness	75.0	genus	125	-7.809133449221369	0.44785304362282746	higher target completeness = less of the dominant subsampled away; a stable gradient across rows shows the distance effect is not an artefact of subsampling
strain_madness	75.0	family	125	-3.3330867834671416	0.7517706171233737	higher target completeness = less of the dominant subsampled away; a stable gradient across rows shows the distance effect is not an artefact of subsampling
strain_madness	75.0	order	125	-1.2894724386810956	1.0521271940830308	higher target completeness = less of the dominant subsampled away; a stable gradient across rows shows the distance effect is not an artefact of subsampling
strain_madness	75.0	class	125	-1.035622305737412	1.0246090020127614	higher target completeness = less of the dominant subsampled away; a stable gradient across rows shows the distance effect is not an artefact of subsampling
strain_madness	75.0	phylum	125	-0.6799557202711299	1.001093169453569	higher target completeness = less of the dominant subsampled away; a stable gradient across rows shows the distance effect is not an artefact of subsampling
strain_madness	90.0	species	125	-5.051271868666647	0.9383585335084069	higher target completeness = less of the dominant subsampled away; a stable gradient across rows shows the distance effect is not an artefact of subsampling
strain_madness	90.0	genus	125	-6.901999264392283	0.6591087036244294	higher target completeness = less of the dominant subsampled away; a stable gradient across rows shows the distance effect is not an artefact of subsampling
strain_madness	90.0	family	125	-2.1041997006993896	1.1076468053751687	higher target completeness = less of the dominant subsampled away; a stable gradient across rows shows the distance effect is not an artefact of subsampling
strain_madness	90.0	order	125	-2.0597356246579968	1.0108551863427069	higher target completeness = less of the dominant subsampled away; a stable gradient across rows shows the distance effect is not an artefact of subsampling
strain_madness	90.0	class	125	-0.5800699198686373	1.1264278301764117	higher target completeness = less of the dominant subsampled away; a stable gradient across rows shows the distance effect is not an artefact of subsampling
strain_madness	90.0	phylum	125	0.2868373675630391	1.1335091520330962	higher target completeness = less of the dominant subsampled away; a stable gradient across rows shows the distance effect is not an artefact of subsampling
