distance_rank	dataset	cami2_cont_bias_pp	cami2_bias_ci	cami2_detection_slope	cami2_slope_ci	cami2_n	cami2_n_clusters	ws2_setF_cont_bias_pp	delta_cami2_minus_setF	setF_species_slopes_per_type	denominator
species	CAMI_II_marine	-13.165	[-14.74, -11.65]	0.245	[-0.035, 0.513]	195	94	-7.76	-5.405	"{""replaced"": -0.014, ""single"": 0.135, ""redundant"": 0.178}"	completeness = retained dominant bp / FULL reference length of the dominant source genome x 100; contamination = total contaminant bp / the SAME denominator x 100 (MAGICC convention, magicc/contamination.py). Truth from CAMI II's own gsa_mapping.tsv contig->source-genome assignment.
genus	CAMI_II_marine	-8.349	[-9.57, -7.14]	0.729	[0.092, 0.908]	146	75	-7.73	-0.619	"{""replaced"": -0.014, ""single"": 0.135, ""redundant"": 0.178}"	completeness = retained dominant bp / FULL reference length of the dominant source genome x 100; contamination = total contaminant bp / the SAME denominator x 100 (MAGICC convention, magicc/contamination.py). Truth from CAMI II's own gsa_mapping.tsv contig->source-genome assignment.
family	CAMI_II_marine	-5.78	[-7.12, -4.46]	0.647	[0.369, 0.772]	168	85	-5.98	0.2	"{""replaced"": -0.014, ""single"": 0.135, ""redundant"": 0.178}"	completeness = retained dominant bp / FULL reference length of the dominant source genome x 100; contamination = total contaminant bp / the SAME denominator x 100 (MAGICC convention, magicc/contamination.py). Truth from CAMI II's own gsa_mapping.tsv contig->source-genome assignment.
order	CAMI_II_marine	-2.713	[-4.35, -1.10]	0.918	[0.751, 1.169]	146	69	-3.6	0.887	"{""replaced"": -0.014, ""single"": 0.135, ""redundant"": 0.178}"	completeness = retained dominant bp / FULL reference length of the dominant source genome x 100; contamination = total contaminant bp / the SAME denominator x 100 (MAGICC convention, magicc/contamination.py). Truth from CAMI II's own gsa_mapping.tsv contig->source-genome assignment.
class	CAMI_II_marine	-2.506	[-3.89, -0.87]	0.882	[0.703, 1.017]	161	90	-1.89	-0.616	"{""replaced"": -0.014, ""single"": 0.135, ""redundant"": 0.178}"	completeness = retained dominant bp / FULL reference length of the dominant source genome x 100; contamination = total contaminant bp / the SAME denominator x 100 (MAGICC convention, magicc/contamination.py). Truth from CAMI II's own gsa_mapping.tsv contig->source-genome assignment.
phylum	CAMI_II_marine	0.019	[-1.09, 1.26]	1.073	[0.968, 1.201]	170	96	-0.9	0.919	"{""replaced"": -0.014, ""single"": 0.135, ""redundant"": 0.178}"	completeness = retained dominant bp / FULL reference length of the dominant source genome x 100; contamination = total contaminant bp / the SAME denominator x 100 (MAGICC convention, magicc/contamination.py). Truth from CAMI II's own gsa_mapping.tsv contig->source-genome assignment.
species	CAMI_II_strain_madness	-8.098	[-8.76, -7.47]	0.369	[0.264, 0.475]	375	205	-7.76	-0.338	"{""replaced"": -0.014, ""single"": 0.135, ""redundant"": 0.178}"	completeness = retained dominant bp / FULL reference length of the dominant source genome x 100; contamination = total contaminant bp / the SAME denominator x 100 (MAGICC convention, magicc/contamination.py). Truth from CAMI II's own gsa_mapping.tsv contig->source-genome assignment.
genus	CAMI_II_strain_madness	-7.998	[-8.65, -7.33]	0.435	[0.321, 0.547]	375	163	-7.73	-0.268	"{""replaced"": -0.014, ""single"": 0.135, ""redundant"": 0.178}"	completeness = retained dominant bp / FULL reference length of the dominant source genome x 100; contamination = total contaminant bp / the SAME denominator x 100 (MAGICC convention, magicc/contamination.py). Truth from CAMI II's own gsa_mapping.tsv contig->source-genome assignment.
family	CAMI_II_strain_madness	-2.898	[-3.51, -2.33]	0.939	[0.849, 1.023]	375	178	-5.98	3.082	"{""replaced"": -0.014, ""single"": 0.135, ""redundant"": 0.178}"	completeness = retained dominant bp / FULL reference length of the dominant source genome x 100; contamination = total contaminant bp / the SAME denominator x 100 (MAGICC convention, magicc/contamination.py). Truth from CAMI II's own gsa_mapping.tsv contig->source-genome assignment.
order	CAMI_II_strain_madness	-1.669	[-1.99, -1.33]	1.019	[0.971, 1.062]	375	155	-3.6	1.931	"{""replaced"": -0.014, ""single"": 0.135, ""redundant"": 0.178}"	completeness = retained dominant bp / FULL reference length of the dominant source genome x 100; contamination = total contaminant bp / the SAME denominator x 100 (MAGICC convention, magicc/contamination.py). Truth from CAMI II's own gsa_mapping.tsv contig->source-genome assignment.
class	CAMI_II_strain_madness	-0.839	[-1.10, -0.57]	1.056	[1.028, 1.085]	375	153	-1.89	1.051	"{""replaced"": -0.014, ""single"": 0.135, ""redundant"": 0.178}"	completeness = retained dominant bp / FULL reference length of the dominant source genome x 100; contamination = total contaminant bp / the SAME denominator x 100 (MAGICC convention, magicc/contamination.py). Truth from CAMI II's own gsa_mapping.tsv contig->source-genome assignment.
phylum	CAMI_II_strain_madness	-0.422	[-0.73, -0.05]	1.04	[1.007, 1.081]	375	162	-0.9	0.478	"{""replaced"": -0.014, ""single"": 0.135, ""redundant"": 0.178}"	completeness = retained dominant bp / FULL reference length of the dominant source genome x 100; contamination = total contaminant bp / the SAME denominator x 100 (MAGICC convention, magicc/contamination.py). Truth from CAMI II's own gsa_mapping.tsv contig->source-genome assignment.
