dataset	tool	distance_rank	n	n_clusters	cont_bias	cont_bias_lo	cont_bias_hi	cont_mae	slope	slope_lo	slope_hi	filter	note	denominator
marine	MAGICC_V5	species	147	85	-12.149136686457586	-13.796288217991146	-10.55004006737977	12.285669617079394	-0.0467521695797504	-0.08850276123989687	-0.0053663631721620544	realised contamination <= 1.5 x target (well-controlled grid cells only)	Marine mixed bins can overshoot their contamination target because CAMI marine contigs are long and one contig may exceed the target; truth is still exact (it is the REALISED value, never the target) and every bin is in-domain, but this cohort restricts to cells where the intended grid was actually achieved. 92% of marine and 99% of strain-madness mixed bins survive.	completeness = retained dominant bp / FULL reference length of the dominant source genome x 100; contamination = total contaminant bp / the SAME denominator x 100 (MAGICC convention).
marine	MAGICC_V5	genus	143	74	-8.391114344422581	-9.617378195376924	-7.11421022219615	8.819054637775288	0.19375439933690755	0.06434605902250468	0.3524978432559201	realised contamination <= 1.5 x target (well-controlled grid cells only)	Marine mixed bins can overshoot their contamination target because CAMI marine contigs are long and one contig may exceed the target; truth is still exact (it is the REALISED value, never the target) and every bin is in-domain, but this cohort restricts to cells where the intended grid was actually achieved. 92% of marine and 99% of strain-madness mixed bins survive.	completeness = retained dominant bp / FULL reference length of the dominant source genome x 100; contamination = total contaminant bp / the SAME denominator x 100 (MAGICC convention).
marine	MAGICC_V5	family	165	85	-5.70085327050748	-7.025234713189946	-4.363124579905989	7.01470035889613	0.4321289921291269	0.3050091372664251	0.5607682269327171	realised contamination <= 1.5 x target (well-controlled grid cells only)	Marine mixed bins can overshoot their contamination target because CAMI marine contigs are long and one contig may exceed the target; truth is still exact (it is the REALISED value, never the target) and every bin is in-domain, but this cohort restricts to cells where the intended grid was actually achieved. 92% of marine and 99% of strain-madness mixed bins survive.	completeness = retained dominant bp / FULL reference length of the dominant source genome x 100; contamination = total contaminant bp / the SAME denominator x 100 (MAGICC convention).
marine	MAGICC_V5	order	137	69	-2.7193918693520187	-4.449505791017179	-0.9882594048002118	5.9137232086595475	0.865675696763605	0.6037923495355761	1.1365931139293382	realised contamination <= 1.5 x target (well-controlled grid cells only)	Marine mixed bins can overshoot their contamination target because CAMI marine contigs are long and one contig may exceed the target; truth is still exact (it is the REALISED value, never the target) and every bin is in-domain, but this cohort restricts to cells where the intended grid was actually achieved. 92% of marine and 99% of strain-madness mixed bins survive.	completeness = retained dominant bp / FULL reference length of the dominant source genome x 100; contamination = total contaminant bp / the SAME denominator x 100 (MAGICC convention).
marine	MAGICC_V5	class	155	89	-2.599375081262568	-4.058647913143162	-0.9784650823783292	5.356406401865327	0.7036005221648023	0.533573035697997	0.873959545719956	realised contamination <= 1.5 x target (well-controlled grid cells only)	Marine mixed bins can overshoot their contamination target because CAMI marine contigs are long and one contig may exceed the target; truth is still exact (it is the REALISED value, never the target) and every bin is in-domain, but this cohort restricts to cells where the intended grid was actually achieved. 92% of marine and 99% of strain-madness mixed bins survive.	completeness = retained dominant bp / FULL reference length of the dominant source genome x 100; contamination = total contaminant bp / the SAME denominator x 100 (MAGICC convention).
marine	MAGICC_V5	phylum	164	95	-0.021020956982169017	-1.1948781642501904	1.2113503499748148	4.165944611888037	1.1023321854540191	0.9409621793121339	1.2624868930809816	realised contamination <= 1.5 x target (well-controlled grid cells only)	Marine mixed bins can overshoot their contamination target because CAMI marine contigs are long and one contig may exceed the target; truth is still exact (it is the REALISED value, never the target) and every bin is in-domain, but this cohort restricts to cells where the intended grid was actually achieved. 92% of marine and 99% of strain-madness mixed bins survive.	completeness = retained dominant bp / FULL reference length of the dominant source genome x 100; contamination = total contaminant bp / the SAME denominator x 100 (MAGICC convention).
marine	CheckM2	species	147	85	-9.627349907442767	-11.676671175209258	-7.634167564689193	10.260569089129177	-0.021271901259677574	-0.11238607848667541	0.09556072559109668	realised contamination <= 1.5 x target (well-controlled grid cells only)	Marine mixed bins can overshoot their contamination target because CAMI marine contigs are long and one contig may exceed the target; truth is still exact (it is the REALISED value, never the target) and every bin is in-domain, but this cohort restricts to cells where the intended grid was actually achieved. 92% of marine and 99% of strain-madness mixed bins survive.	completeness = retained dominant bp / FULL reference length of the dominant source genome x 100; contamination = total contaminant bp / the SAME denominator x 100 (MAGICC convention).
marine	CheckM2	genus	143	74	-4.309408499912093	-5.204634258705666	-3.4085039868490075	5.10756871389684	0.3922189432687733	0.30453053230198446	0.48435732067401044	realised contamination <= 1.5 x target (well-controlled grid cells only)	Marine mixed bins can overshoot their contamination target because CAMI marine contigs are long and one contig may exceed the target; truth is still exact (it is the REALISED value, never the target) and every bin is in-domain, but this cohort restricts to cells where the intended grid was actually achieved. 92% of marine and 99% of strain-madness mixed bins survive.	completeness = retained dominant bp / FULL reference length of the dominant source genome x 100; contamination = total contaminant bp / the SAME denominator x 100 (MAGICC convention).
marine	CheckM2	family	165	85	-5.012213607498995	-5.974216865351465	-4.109121163087739	5.7950022783589965	0.3007344627327653	0.19966029103146385	0.38993352415287297	realised contamination <= 1.5 x target (well-controlled grid cells only)	Marine mixed bins can overshoot their contamination target because CAMI marine contigs are long and one contig may exceed the target; truth is still exact (it is the REALISED value, never the target) and every bin is in-domain, but this cohort restricts to cells where the intended grid was actually achieved. 92% of marine and 99% of strain-madness mixed bins survive.	completeness = retained dominant bp / FULL reference length of the dominant source genome x 100; contamination = total contaminant bp / the SAME denominator x 100 (MAGICC convention).
marine	CheckM2	order	137	69	-4.530212958220631	-5.529883153164443	-3.5533482302393224	5.377298635279773	0.3575611045698805	0.24571303390233148	0.4772030808243984	realised contamination <= 1.5 x target (well-controlled grid cells only)	Marine mixed bins can overshoot their contamination target because CAMI marine contigs are long and one contig may exceed the target; truth is still exact (it is the REALISED value, never the target) and every bin is in-domain, but this cohort restricts to cells where the intended grid was actually achieved. 92% of marine and 99% of strain-madness mixed bins survive.	completeness = retained dominant bp / FULL reference length of the dominant source genome x 100; contamination = total contaminant bp / the SAME denominator x 100 (MAGICC convention).
