dataset	track	cohort	tool	n	n_clusters	cluster_unit	true_comp_mean	true_cont_mean	comp_MAE	comp_MAE_95CI	comp_bias	comp_bias_95CI	comp_R2_CoD	cont_MAE	cont_MAE_95CI	cont_bias	cont_bias_95CI	cont_R2_CoD	true_HQ	pred_HQ	MIMAG_class_agreement_pct	false_fail_5pct_rate	r2_omitted_reason	procedural_independence
CAMI II marine, gold-standard pure bins (leakage-free, >=50 %)	cami2_marine	gold_primary_in_domain_scoreable_LEAKAGE_FREE	MAGICC V5	409	231	CAMI II source genome (dominant)	82.7206	0.0	9.733	[7.7114, 11.8831]	-6.8558	[-9.2743, -4.6444]	-0.0596	1.0489	[0.6024, 1.6284]	1.0489	[0.6024, 1.6284]		183	118	79.22	4.4	contamination R2 omitted: true contamination has (near-)zero variance in this cohort, so SS_tot ~ 0 (R1-m19)	genome selection, read simulation, assembly and gold standard all produced by a third party (CAMI II); only the grouping of contigs into bins is ours
CAMI II marine, gold-standard pure bins (leakage-free, >=50 %)	cami2_marine	gold_primary_in_domain_scoreable_LEAKAGE_FREE	CheckM2 1.0.1	409	231	CAMI II source genome (dominant)	82.6498	0.0	25.275	[21.1284, 29.6933]	-25.1701	[-29.5959, -21.0074]	-3.9241	2.1435	[1.8937, 2.4045]	2.1435	[1.8937, 2.4045]		183	93	78.0	10.76	contamination R2 omitted: true contamination has (near-)zero variance in this cohort, so SS_tot ~ 0 (R1-m19)	genome selection, read simulation, assembly and gold standard all produced by a third party (CAMI II); only the grouping of contigs into bins is ours
CAMI II marine, gold-standard pure bins (leakage-free, >=50 %)	cami2_marine	gold_primary_in_domain_scoreable_LEAKAGE_FREE	CoCoPyE 0.5.0	409	231	CAMI II source genome (dominant)	81.4402	0.0	12.7551	[11.3572, 14.3558]	3.2825	[0.9071, 5.5493]	0.0629	14.735	[13.2093, 16.1826]	14.735	[13.2093, 16.1826]		183	79	74.57	63.57	contamination R2 omitted: true contamination has (near-)zero variance in this cohort, so SS_tot ~ 0 (R1-m19)	genome selection, read simulation, assembly and gold standard all produced by a third party (CAMI II); only the grouping of contigs into bins is ours
CAMI II marine, gold-standard pure bins (leakage-free, >=50 %)	cami2_marine	gold_primary_in_domain_scoreable_LEAKAGE_FREE	DeepCheck	409	231	CAMI II source genome (dominant)	82.6498	0.0	26.3239	[22.9916, 29.7023]	-26.3239	[-29.7023, -22.9916]	-3.1163	2.9464	[2.7350, 3.1793]	2.9132	[2.6936, 3.1545]		183	93	78.0	13.94	contamination R2 omitted: true contamination has (near-)zero variance in this cohort, so SS_tot ~ 0 (R1-m19)	genome selection, read simulation, assembly and gold standard all produced by a third party (CAMI II); only the grouping of contigs into bins is ours
CAMI II marine, constructed mixed bins (leakage-free, in-domain)	cami2_marine	mixed_primary_in_domain_scoreable_LEAKAGE_FREE	MAGICC V5	986	253	CAMI II source genome (dominant)	77.7922	12.2617	10.1697	[9.0734, 11.3014]	-0.1832	[-1.9660, 1.4292]	-0.1482	7.6128	[7.0111, 8.2377]	-5.6324	[-6.5366, -4.7425]	-0.1524	57	185	82.15	11.98		genome selection, read simulation, assembly and gold standard all produced by a third party (CAMI II); only the grouping of contigs into bins is ours
CAMI II marine, constructed mixed bins (leakage-free, in-domain)	cami2_marine	mixed_primary_in_domain_scoreable_LEAKAGE_FREE	CheckM2 1.0.1	986	253	CAMI II source genome (dominant)	77.7922	12.2617	15.7381	[12.9854, 18.9870]	-12.5924	[-16.1682, -9.6068]	-3.3113	7.1316	[6.6198, 7.6868]	-6.2828	[-6.9033, -5.7204]	-0.0374	57	91	90.06	17.96		genome selection, read simulation, assembly and gold standard all produced by a third party (CAMI II); only the grouping of contigs into bins is ours
CAMI II marine, constructed mixed bins (leakage-free, in-domain)	cami2_marine	mixed_primary_in_domain_scoreable_LEAKAGE_FREE	CoCoPyE 0.5.0	986	253	CAMI II source genome (dominant)	77.5074	11.9566	8.4182	[7.5051, 9.4888]	2.8772	[1.6627, 4.0052]	0.2611	11.8516	[11.1276, 12.6316]	6.7007	[5.4534, 7.9107]	-1.2103	57	30	94.83	69.46		genome selection, read simulation, assembly and gold standard all produced by a third party (CAMI II); only the grouping of contigs into bins is ours
CAMI II marine, constructed mixed bins (leakage-free, in-domain)	cami2_marine	mixed_primary_in_domain_scoreable_LEAKAGE_FREE	DeepCheck	986	253	CAMI II source genome (dominant)	77.7922	12.2617	15.6401	[13.4014, 18.3394]	-13.0335	[-16.0035, -10.5861]	-2.3093	7.1264	[6.6833, 7.6151]	-6.4518	[-7.0080, -5.9613]	0.003	57	117	87.42	10.78		genome selection, read simulation, assembly and gold standard all produced by a third party (CAMI II); only the grouping of contigs into bins is ours
CAMI II strain-madness, gold-standard pure bins (leakage-free, >=50 %)	cami2_strain_madness	gold_primary_in_domain_scoreable_LEAKAGE_FREE	MAGICC V5	700	330	CAMI II source genome (dominant)	80.7002	0.0	1.2955	[1.1615, 1.4628]	-0.0519	[-0.2022, 0.1102]	0.9847	0.5028	[0.4013, 0.6606]	0.5028	[0.4013, 0.6606]		277	252	95.86	0.29	contamination R2 omitted: true contamination has (near-)zero variance in this cohort, so SS_tot ~ 0 (R1-m19)	genome selection, read simulation, assembly and gold standard all produced by a third party (CAMI II); only the grouping of contigs into bins is ours
CAMI II strain-madness, gold-standard pure bins (leakage-free, >=50 %)	cami2_strain_madness	gold_primary_in_domain_scoreable_LEAKAGE_FREE	CheckM2 1.0.1	700	330	CAMI II source genome (dominant)	80.686	0.0	13.958	[13.1869, 14.6878]	-13.8452	[-14.5910, -13.0591]	-0.0857	3.0153	[2.8520, 3.1842]	3.0153	[2.8520, 3.1842]		277	176	85.57	19.0	contamination R2 omitted: true contamination has (near-)zero variance in this cohort, so SS_tot ~ 0 (R1-m19)	genome selection, read simulation, assembly and gold standard all produced by a third party (CAMI II); only the grouping of contigs into bins is ours
