tool	arm	stratify_by	bin	n	comp_mae	comp_bias	cont_mae	cont_bias
magicc_v5	H_pass	true_completeness	[50,60)	347	6.3918	6.1529	5.1735	-1.2005
magicc_v5	H_fail	true_completeness	[50,60)	360	6.9695	6.4402	5.9163	-0.9948
magicc_v5	H_pass	true_completeness	[60,70)	387	6.4116	5.0899	5.5064	-1.9313
magicc_v5	H_fail	true_completeness	[60,70)	385	7.3643	4.9899	6.7602	-2.0596
magicc_v5	H_pass	true_completeness	[70,80)	434	5.802	4.1063	5.9505	-2.6094
magicc_v5	H_fail	true_completeness	[70,80)	443	6.8935	4.3816	6.2919	-1.782
magicc_v5	H_pass	true_completeness	[80,90)	508	5.5708	2.2721	5.6883	-1.6436
magicc_v5	H_fail	true_completeness	[80,90)	495	5.9147	2.1562	6.7877	-0.7091
magicc_v5	H_pass	true_completeness	[90,100)	324	3.1708	-1.5866	5.7225	-1.4161
magicc_v5	H_fail	true_completeness	[90,100)	317	4.0533	-2.4504	6.3641	-1.6447
magicc_v5	H_pass	true_contamination	[0,5)	96	3.2799	2.1955	1.5543	0.103
magicc_v5	H_fail	true_contamination	[0,5)	98	5.4131	2.2197	2.6072	1.1168
magicc_v5	H_pass	true_contamination	[5,10)	97	3.4513	1.3021	2.179	0.1786
magicc_v5	H_fail	true_contamination	[5,10)	103	4.7766	0.451	3.1697	0.9374
magicc_v5	H_pass	true_contamination	[10,20)	221	3.617	2.1523	2.9089	0.1126
magicc_v5	H_fail	true_contamination	[10,20)	210	4.9427	2.4595	4.4039	1.3006
magicc_v5	H_pass	true_contamination	[20,40)	399	4.7232	2.1985	4.5481	0.4745
magicc_v5	H_fail	true_contamination	[20,40)	401	5.1792	1.48	5.0997	0.8248
magicc_v5	H_pass	true_contamination	[40,70)	821	6.5905	4.7148	6.4836	-1.7181
magicc_v5	H_fail	true_contamination	[40,70)	834	7.3061	4.8179	7.4721	-1.4623
magicc_v5	H_pass	true_contamination	[70,100)	366	6.367	2.6403	8.5008	-6.6149
magicc_v5	H_fail	true_contamination	[70,100)	354	6.7239	3.0483	8.7956	-6.7887
checkm2	H_pass	true_completeness	[50,60)	347	22.5764	22.1489	22.9232	-20.9187
checkm2	H_fail	true_completeness	[50,60)	360	21.5086	20.5013	21.485	-19.9697
checkm2	H_pass	true_completeness	[60,70)	387	18.4838	17.7141	23.9217	-22.1888
checkm2	H_fail	true_completeness	[60,70)	385	17.9739	15.6052	23.4958	-21.0097
checkm2	H_pass	true_completeness	[70,80)	434	14.7661	13.9122	24.1698	-21.8138
checkm2	H_fail	true_completeness	[70,80)	443	14.4281	12.0888	24.0289	-21.1389
checkm2	H_pass	true_completeness	[80,90)	508	10.8208	10.0898	20.7348	-17.5116
checkm2	H_fail	true_completeness	[80,90)	495	10.2938	7.2103	21.6508	-16.9368
checkm2	H_pass	true_completeness	[90,100)	324	2.7222	-0.2791	24.7996	-21.6706
checkm2	H_fail	true_completeness	[90,100)	317	5.4842	-3.347	27.0163	-24.9738
checkm2	H_pass	true_contamination	[0,5)	96	4.1659	3.1261	1.5485	-0.5344
checkm2	H_fail	true_contamination	[0,5)	98	7.4472	-1.8354	2.4005	1.1866
checkm2	H_pass	true_contamination	[5,10)	97	5.4677	4.6681	3.9583	-3.2964
checkm2	H_fail	true_contamination	[5,10)	103	7.4246	0.923	3.5721	-1.9073
checkm2	H_pass	true_contamination	[10,20)	221	7.7059	6.8051	8.16	-6.9195
checkm2	H_fail	true_contamination	[10,20)	210	9.1024	3.8227	7.7718	-5.8625
checkm2	H_pass	true_contamination	[20,40)	399	12.1294	11.0231	16.2314	-14.8868
checkm2	H_fail	true_contamination	[20,40)	401	12.3004	8.4637	15.8047	-14.2833
checkm2	H_pass	true_contamination	[40,70)	821	19.1563	18.1335	29.0828	-25.5683
checkm2	H_fail	true_contamination	[40,70)	834	18.4695	16.4998	29.1879	-25.1031
checkm2	H_pass	true_contamination	[70,100)	366	12.4983	11.1242	37.1059	-33.8757
checkm2	H_fail	true_contamination	[70,100)	354	11.7135	9.5457	38.9574	-36.6324
cocopye	H_pass	true_completeness	[50,60)	347	9.3138	9.3013	16.8536	-15.8237
cocopye	H_fail	true_completeness	[50,60)	360	9.953	9.9185	15.9543	-13.8373
cocopye	H_pass	true_completeness	[60,70)	387	4.689	3.9919	20.8212	-20.1174
cocopye	H_fail	true_completeness	[60,70)	385	5.8791	4.5556	20.1031	-16.6801
cocopye	H_pass	true_completeness	[70,80)	434	4.2098	1.7681	22.6831	-21.7441
cocopye	H_fail	true_completeness	[70,80)	443	4.3515	1.2633	23.7616	-20.8374
cocopye	H_pass	true_completeness	[80,90)	508	3.7129	0.1183	24.4457	-23.4588
cocopye	H_fail	true_completeness	[80,90)	495	3.8655	-1.0198	25.5065	-21.837
cocopye	H_pass	true_completeness	[90,100)	324	4.8195	-4.3353	25.4446	-24.2818
cocopye	H_fail	true_completeness	[90,100)	317	6.1038	-5.6516	26.5223	-23.2251
cocopye	H_pass	true_contamination	[0,5)	96	3.4778	1.1993	2.6297	1.2165
cocopye	H_fail	true_contamination	[0,5)	98	4.516	0.5855	8.4865	7.6695
cocopye	H_pass	true_contamination	[5,10)	97	3.9167	2.2194	3.1374	0.7672
cocopye	H_fail	true_contamination	[5,10)	103	4.7938	1.4194	7.5261	6.4035
cocopye	H_pass	true_contamination	[10,20)	221	3.4991	1.5188	3.7948	0.6094
cocopye	H_fail	true_contamination	[10,20)	210	4.402	0.324	6.62	5.3226
cocopye	H_pass	true_contamination	[20,40)	399	4.1807	2.0278	6.568	-6.0817
cocopye	H_fail	true_contamination	[20,40)	401	4.6953	1.6875	5.8315	-4.0583
cocopye	H_pass	true_contamination	[40,70)	821	6.2497	4.0945	27.2729	-27.2729
cocopye	H_fail	true_contamination	[40,70)	834	6.9975	4.2385	26.4839	-26.4839
cocopye	H_pass	true_contamination	[70,100)	366	5.5604	-1.7528	49.1962	-49.1962
cocopye	H_fail	true_contamination	[70,100)	354	5.7715	-2.5294	49.7735	-49.7735
deepcheck	H_pass	true_completeness	[50,60)	347	22.2552	21.5329	28.8287	-25.9563
deepcheck	H_fail	true_completeness	[50,60)	360	20.5785	19.7703	28.5593	-23.4658
deepcheck	H_pass	true_completeness	[60,70)	387	19.6912	18.9038	32.2355	-27.1791
deepcheck	H_fail	true_completeness	[60,70)	385	17.6536	15.0197	31.8363	-24.7594
deepcheck	H_pass	true_completeness	[70,80)	434	16.7822	15.8582	33.016	-25.1533
deepcheck	H_fail	true_completeness	[70,80)	443	15.6514	12.9334	32.7416	-25.1537
deepcheck	H_pass	true_completeness	[80,90)	508	14.708	13.8031	31.3663	-22.0701
deepcheck	H_fail	true_completeness	[80,90)	495	14.0338	9.9622	33.2941	-19.3474
deepcheck	H_pass	true_completeness	[90,100)	324	7.4049	5.0833	32.6455	-28.9903
deepcheck	H_fail	true_completeness	[90,100)	317	8.6372	0.5927	33.9534	-29.4577
deepcheck	H_pass	true_contamination	[0,5)	96	4.8285	3.0896	1.6162	-1.3328
deepcheck	H_fail	true_contamination	[0,5)	98	8.2733	-2.4293	1.8658	-0.1246
deepcheck	H_pass	true_contamination	[5,10)	97	6.1115	4.2816	5.3151	-5.2678
deepcheck	H_fail	true_contamination	[5,10)	103	6.9955	0.9924	4.4211	-4.1635
deepcheck	H_pass	true_contamination	[10,20)	221	7.6987	6.5979	10.6119	-10.5644
deepcheck	H_fail	true_contamination	[10,20)	210	8.6361	2.3301	9.9191	-9.8119
deepcheck	H_pass	true_contamination	[20,40)	399	11.7286	10.7739	21.25	-21.1898
deepcheck	H_fail	true_contamination	[20,40)	401	11.2128	7.3534	20.6642	-20.0782
deepcheck	H_pass	true_contamination	[40,70)	821	21.605	20.6513	39.4945	-32.9506
deepcheck	H_fail	true_contamination	[40,70)	834	20.2555	18.3207	40.0358	-29.9261
deepcheck	H_pass	true_contamination	[70,100)	366	20.006	18.8677	53.0032	-34.3315
deepcheck	H_fail	true_contamination	[70,100)	354	17.2001	14.596	56.1843	-35.3868
