database	percentile	informative_kmer_density	mean_contig_confidence	orig_phylum_contam_pct
k2_standard_08gb_capped	0	0.000318	2e-06	0.0
k2_standard_08gb_capped	10	0.000625	0.000147	0.0
k2_standard_08gb_capped	20	0.0007	0.000208	0.911
k2_standard_08gb_capped	30	0.000837	0.000276	2.829
k2_standard_08gb_capped	40	0.00112	0.000334	7.535
k2_standard_08gb_capped	50	0.001426	0.000413	12.309
k2_standard_08gb_capped	60	0.001749	0.000491	18.052
k2_standard_08gb_capped	70	0.00234	0.000566	21.714
k2_standard_08gb_capped	80	0.003418	0.000923	26.497
k2_standard_08gb_capped	90	0.006931	0.001552	30.645
k2_standard_08gb_capped	100	0.085497	0.071509	49.947
k2_standard_20250714_full	0	0.002793	4e-06	0.0
k2_standard_20250714_full	10	0.006235	0.000302	0.0
k2_standard_20250714_full	20	0.007474	0.000514	0.398
k2_standard_20250714_full	30	0.00988	0.000835	1.515
k2_standard_20250714_full	40	0.012697	0.001022	3.874
k2_standard_20250714_full	50	0.015816	0.001261	7.767
k2_standard_20250714_full	60	0.01966	0.001497	12.636
k2_standard_20250714_full	70	0.026449	0.002212	19.418
k2_standard_20250714_full	80	0.039351	0.003783	31.613
k2_standard_20250714_full	90	0.081739	0.009837	42.302
k2_standard_20250714_full	100	0.960265	0.813634	64.328
