set	db	db_label	power_stratum	true_contamination_band_pct	n	n_gunc_scored	n_fail	n_pass	gunc_fail_rate	gunc_css_median	gunc_css_mean	median_rrs	mean_true_contamination
set_A_v2	progenomes_2.1	proGenomes 2.1	all	0-5	1000	1000	13	987	0.013	0.0	0.0355	0.92	0.0
set_A_v2	progenomes_2.1	proGenomes 2.1	all	5-10	0	0	0	0					
set_A_v2	progenomes_2.1	proGenomes 2.1	all	10-20	0	0	0	0					
set_A_v2	progenomes_2.1	proGenomes 2.1	all	20-40	0	0	0	0					
set_A_v2	progenomes_2.1	proGenomes 2.1	all	40-70	0	0	0	0					
set_A_v2	progenomes_2.1	proGenomes 2.1	all	70-100	0	0	0	0					
set_A_v2	progenomes_2.1	proGenomes 2.1	powered	0-5	984	984	13	971	0.0132	0.0	0.0357	0.92	0.0
set_A_v2	progenomes_2.1	proGenomes 2.1	powered	5-10	0	0	0	0					
set_A_v2	progenomes_2.1	proGenomes 2.1	powered	10-20	0	0	0	0					
set_A_v2	progenomes_2.1	proGenomes 2.1	powered	20-40	0	0	0	0					
set_A_v2	progenomes_2.1	proGenomes 2.1	powered	40-70	0	0	0	0					
set_A_v2	progenomes_2.1	proGenomes 2.1	powered	70-100	0	0	0	0					
set_A_v2	progenomes_2.1	proGenomes 2.1	unpowered	0-5	16	16	0	16	0.0	0.015	0.0206	0.39	0.0
set_A_v2	progenomes_2.1	proGenomes 2.1	unpowered	5-10	0	0	0	0					
set_A_v2	progenomes_2.1	proGenomes 2.1	unpowered	10-20	0	0	0	0					
set_A_v2	progenomes_2.1	proGenomes 2.1	unpowered	20-40	0	0	0	0					
set_A_v2	progenomes_2.1	proGenomes 2.1	unpowered	40-70	0	0	0	0					
set_A_v2	progenomes_2.1	proGenomes 2.1	unpowered	70-100	0	0	0	0					
set_B_v2	progenomes_2.1	proGenomes 2.1	all	0-5	200	200	6	194	0.03	0.0	0.036	0.92	0.0
