set	db	db_label	power_stratum	threshold_pct	detector	operating_point	n	n_true_contaminated	tp	fp	tn	fn	sensitivity_recall	sensitivity_ci_lo	sensitivity_ci_hi	specificity	specificity_ci_lo	specificity_ci_hi	precision	precision_ci_lo	precision_ci_hi	f1	f1_ci_lo	f1_ci_hi	balanced_accuracy	balanced_accuracy_ci_lo	balanced_accuracy_ci_hi	mcc
set_B_v2	progenomes_2.1	proGenomes 2.1	all	5.0	GUNC 1.1.1 (pass.GUNC == False)	single fixed operating point (CSS > 0.45 at maxCSS level); cannot be re-thresholded per MIMAG level	1000	800	799	6	194	1	0.9988	0.9962	1.0	0.97	0.9436	0.9902	0.9925	0.9861	0.9976	0.9956	0.9922	0.9987	0.9844	0.9713	0.9948	0.978
set_B_v2	progenomes_2.1	proGenomes 2.1	all	5.0	MAGICC V5 (pred contamination >= 5 %)	threshold-matched	1000	800	800	6	194	0	1.0	1.0	1.0	0.97	0.945	0.9907	0.9926	0.9864	0.9976	0.9963	0.9931	0.9988	0.985	0.9725	0.9954	0.9812
set_B_v2	progenomes_2.1	proGenomes 2.1	all	5.0	CheckM2 (pred contamination >= 5 %)	threshold-matched	1000	800	741	0	200	59	0.9263	0.908	0.9437	1.0	1.0	1.0	1.0	1.0	1.0	0.9617	0.9518	0.971	0.9631	0.954	0.9718	0.8457
set_B_v2	progenomes_2.1	proGenomes 2.1	all	10.0	GUNC 1.1.1 (pass.GUNC == False)	single fixed operating point (CSS > 0.45 at maxCSS level); cannot be re-thresholded per MIMAG level	1000	798	797	8	194	1	0.9987	0.9961	1.0	0.9604	0.9316	0.9854	0.9901	0.9827	0.9963	0.9944	0.9905	0.9976	0.9796	0.9654	0.9923	0.972
set_B_v2	progenomes_2.1	proGenomes 2.1	all	10.0	MAGICC V5 (pred contamination >= 10 %)	threshold-matched	1000	798	797	4	198	1	0.9987	0.9962	1.0	0.9802	0.9581	0.9953	0.995	0.9898	0.9988	0.9969	0.9938	0.9994	0.9895	0.9785	0.9976	0.9844
set_B_v2	progenomes_2.1	proGenomes 2.1	all	10.0	CheckM2 (pred contamination >= 10 %)	threshold-matched	1000	798	651	0	202	147	0.8158	0.7877	0.8449	1.0	1.0	1.0	1.0	1.0	1.0	0.8986	0.8813	0.9159	0.9079	0.8939	0.9224	0.6872
set_B_v2	progenomes_2.1	proGenomes 2.1	powered	5.0	GUNC 1.1.1 (pass.GUNC == False)	single fixed operating point (CSS > 0.45 at maxCSS level); cannot be re-thresholded per MIMAG level	993	796	796	6	191	0	1.0	1.0	1.0	0.9695	0.9424	0.9902	0.9925	0.9861	0.9975	0.9962	0.993	0.9988	0.9848	0.9712	0.9951	0.981
set_B_v2	progenomes_2.1	proGenomes 2.1	powered	5.0	MAGICC V5 (pred contamination >= 5 %)	threshold-matched	993	796	796	5	192	0	1.0	1.0	1.0	0.9746	0.9486	0.995	0.9938	0.9875	0.9987	0.9969	0.9937	0.9994	0.9873	0.9743	0.9975	0.9841
set_B_v2	progenomes_2.1	proGenomes 2.1	powered	5.0	CheckM2 (pred contamination >= 5 %)	threshold-matched	993	796	737	0	197	59	0.9259	0.9071	0.943	1.0	1.0	1.0	1.0	1.0	1.0	0.9615	0.9513	0.9707	0.9629	0.9535	0.9715	0.8441
set_B_v2	progenomes_2.1	proGenomes 2.1	powered	10.0	GUNC 1.1.1 (pass.GUNC == False)	single fixed operating point (CSS > 0.45 at maxCSS level); cannot be re-thresholded per MIMAG level	993	794	794	8	191	0	1.0	1.0	1.0	0.9598	0.9293	0.9849	0.99	0.9824	0.9963	0.995	0.9911	0.9982	0.9799	0.9646	0.9925	0.9748
