set	n	comp_mae	comp_rmse	comp_bias	comp_r2	comp_pearson_r	comp_r2_pearson_sq	comp_r2_omitted_reason	cont_mae	cont_rmse	cont_bias	cont_r2	cont_pearson_r	cont_r2_pearson_sq	cont_r2_omitted_reason
motivating/set_A	600	2.3637	4.5123	-0.3703	0.9304	0.9648	0.9309		0.76	2.1232	0.76				true contamination has zero variance (constant 0 %), SS_tot = 0, R2 undefined
motivating/set_B	1100	2.1968	5.2281	-2.1968				true completeness has zero variance (constant 100 %), SS_tot = 0, R2 undefined	4.5185	7.0244	-1.5626	0.9468	0.9752	0.951	
motivating_v2/set_A	1000	2.1946	3.8697	0.3728	0.9478	0.9738	0.9483		0.7862	2.8459	0.7862				true contamination has zero variance (constant 0 %), SS_tot = 0, R2 undefined
motivating_v2/set_B	1000	2.5642	5.3644	-2.5642				true completeness has zero variance (constant 100 %), SS_tot = 0, R2 undefined	4.3611	6.6515	0.062	0.9424	0.971	0.9428	
motivating_v2/set_C	1000	5.4027	8.8525	1.2144	0.6957	0.839	0.7039		5.4824	9.4196	-2.4908	0.9116	0.9595	0.9206	
set_A	600	1.7871	3.3872	0.0794	0.9616	0.9806	0.9616		0.6046	1.6889	0.6046				true contamination has zero variance (constant 0 %), SS_tot = 0, R2 undefined
set_A_v2	1000	2.1766	4.2655	0.0922	0.9369	0.9679	0.9369		0.8285	3.0125	0.8285				true contamination has zero variance (constant 0 %), SS_tot = 0, R2 undefined
set_B	600	2.4852	5.2646	-2.4852				true completeness has zero variance (constant 100 %), SS_tot = 0, R2 undefined	3.9888	6.1908	-0.2476	0.9503	0.9751	0.9507	
set_B_v2	1000	2.9724	6.0148	-2.9724				true completeness has zero variance (constant 100 %), SS_tot = 0, R2 undefined	4.4535	6.7725	-0.1356	0.9406	0.97	0.9409	
set_C	1000	3.1539	5.2458	0.9695	0.8972	0.9492	0.901		7.9741	11.1309	-6.9977	0.8517	0.964	0.9293	
set_D	1000	5.1759	8.4317	1.4318	0.7003	0.844	0.7124		8.058	12.6995	-6.1109	0.8071	0.9284	0.8619	
set_E	1000	5.4859	8.9048	1.1277	0.7069	0.8438	0.7119		5.6579	9.7011	-3.1182	0.9132	0.9626	0.9265	
