set	set_label	status	tier	tool	tool_label	metric	n	n_clusters	true_value_constant	mae	mae_ci_lo	mae_ci_hi	rmse	rmse_ci_lo	rmse_ci_hi	signed_bias_pred_minus_true	bias_ci_lo	bias_ci_hi	r2_coefficient_of_determination	r2_coefficient_of_determination_ci_lo	r2_coefficient_of_determination_ci_hi	pearson_r_squared_NOT_R2	r2_omitted_reason
set_C_clean	Set C-clean (Patescibacteriota, held-out test split)	current	primary	magicc_v5	MAGICC v5 (released, v0.3.0)	completeness	1000	100	False	6.821597663	5.7766099591	7.862434387974999	10.12152013988582	8.74778358930913	11.549191033368556	-2.3196743150000003	-3.831910376225	-0.8120991130750007	0.6106088344247111	0.482604586534478	0.7139755010516196	0.6564092274525658	
set_C_clean	Set C-clean (Patescibacteriota, held-out test split)	current	primary	checkm2	CheckM2 1.0.1	completeness	1000	100	False	7.711174946	7.343940184075	8.11285815095	9.554544707093887	9.148460534454587	9.981566556748884	-4.205359872	-4.82569412115	-3.592223192575	0.6530118841617543	0.6173909730444322	0.683222054617695	0.7262738463975855	
set_C_clean	Set C-clean (Patescibacteriota, held-out test split)	current	primary	cocopye	CoCoPyE 0.5.0	completeness	1000	100	False	15.802945469300736	15.12271465064144	16.487013277205065	18.58673771176516	17.923830632519795	19.25263179118605	-13.883446307145212	-14.689202598250384	-13.077744547356476	-0.3131095131461243	-0.432820222023584	-0.2039321381475042	0.4627264514902789	
set_C_clean	Set C-clean (Patescibacteriota, held-out test split)	current	primary	deepcheck	DeepCheck	completeness	1000	100	False	17.811546546440187	16.86307125533737	18.78649142724875	20.31500357864678	19.414963881925598	21.21775285568391	-17.056644122640872	-18.09562655151032	-16.019261734090076	-0.5686585220485736	-0.7506821754212489	-0.4041160764508767	0.5611895168724091	
set_C_clean	Set C-clean (Patescibacteriota, held-out test split)	current	primary	magicc_v5	MAGICC v5 (released, v0.3.0)	contamination	1000	100	False	9.08009014162	8.19340916197475	10.104100506855	12.317444616864291	11.021049871358544	13.838925073646246	-3.55360411622	-5.12828014093775	-1.9963131466952504	0.7703705543381516	0.7108849298920202	0.8156794355548876	0.7915863344644148	
set_C_clean	Set C-clean (Patescibacteriota, held-out test split)	current	primary	checkm2	CheckM2 1.0.1	contamination	1000	100	False	39.617792901	37.99565914605	41.229881825425	45.94736437807602	44.38824486211442	47.46595333911971	-39.604204333	-41.222120742075	-37.9800728875	-2.195269912770257	-2.428625921778072	-1.981263580604441	0.3207042206832257	
set_C_clean	Set C-clean (Patescibacteriota, held-out test split)	current	primary	cocopye	CoCoPyE 0.5.0	contamination	1000	100	False	31.06901420318636	29.57058318523119	32.59101859460487	37.86853587994053	36.386474499177474	39.34487664662745	-30.22623906325697	-31.857342614127937	-28.66819373466476	-1.170417934371625	-1.3398730759090962	-1.020673135314631	0.3246835903778746	
set_C_clean	Set C-clean (Patescibacteriota, held-out test split)	current	primary	deepcheck	DeepCheck	contamination	1000	100	False	41.66830845208366	39.99620767620896	43.34617742510072	48.06265775479215	46.48440770297947	49.6469321700951	-41.66639765674872	-43.3448879659803	-39.99138650635229	-2.4962453856308238	-2.7541317732364035	-2.26558577172056	0.2369301853938466	
set_D_clean	Set D-clean (Archaea, held-out test split)	current	primary	magicc_v5	MAGICC v5 (released, v0.3.0)	completeness	1000	100	False	5.633003436999999	4.998072044575001	6.342333417949999	8.319821319672362	7.299547547221084	9.458764901397815	-0.2623504989999999	-1.31945720485	0.7783519640749997	0.7052611336588996	0.6167385526864351	0.773703438985549	0.7124093302479346	
set_D_clean	Set D-clean (Archaea, held-out test split)	current	primary	checkm2	CheckM2 1.0.1	completeness	1000	100	False	9.171165078999998	8.493533976350001	9.9118282077	12.678777562190676	11.82333471881492	13.570410060922647	7.742888903	6.845399954425	8.703694890374997	0.3155146216309135	0.2056916910670792	0.4142817040249389	0.5787935433358665	
set_D_clean	Set D-clean (Archaea, held-out test split)	current	primary	cocopye	CoCoPyE 0.5.0	completeness	1000	100	False	5.890930454248384	5.315417196407525	6.559699190630036	8.270419756152972	7.292742726142472	9.338736192263712	-0.5707104304564234	-1.4634018805509492	0.2287399673505847	0.7087509518431877	0.6333107492878316	0.7702539103526682	0.7102050689495302	
set_D_clean	Set D-clean (Archaea, held-out test split)	current	primary	deepcheck	DeepCheck	completeness	1000	100	False	8.781975051932617	8.024929441069428	9.625831300010828	12.060072514946178	10.928998447478689	13.221954815591694	4.727755402328614	3.4306959734189766	6.00094006872281	0.3806883517326176	0.2506211740212832	0.4980680049464451	0.5317535284357644	
set_D_clean	Set D-clean (Archaea, held-out test split)	current	primary	magicc_v5	MAGICC v5 (released, v0.3.0)	contamination	1000	100	False	6.52290456265	5.955153302013501	7.110501851065	9.438963943806064	8.557273494090605	10.351137293749067	-3.83411574455	-4.65147826171175	-2.9729461479712507	0.8538799671587071	0.8226583722019016	0.8806049623292028	0.8786566897707568	
set_D_clean	Set D-clean (Archaea, held-out test split)	current	primary	checkm2	CheckM2 1.0.1	contamination	1000	100	False	34.697951454000005	33.198637784400006	36.13590908325	40.26243200938013	38.87597604560075	41.52796158583611	-34.661047227999994	-36.101896345275	-33.14881655994999	-1.6586496800112145	-1.898631699732389	-1.446456088199481	0.3508417699558475	
set_D_clean	Set D-clean (Archaea, held-out test split)	current	primary	cocopye	CoCoPyE 0.5.0	contamination	1000	100	False	22.494323499197066	21.35548181127754	23.62820049126562	28.348888215458512	27.24316663784197	29.444068905566304	-21.815072394643497	-23.05635479186246	-20.572471345274703	-0.3180538978392009	-0.4319341813800464	-0.2169759769094354	0.6276232205373189	
set_D_clean	Set D-clean (Archaea, held-out test split)	current	primary	deepcheck	DeepCheck	contamination	1000	100	False	38.95713440537838	37.48721732718522	40.48516068650924	44.93384978693789	43.58735977421858	46.24952440394298	-38.83864837836428	-40.36985432878044	-37.37237853324682	-2.311374996404587	-2.589836836829595	-2.070337626306537	0.1686130768547235	
POOLED_leakage_free_5_sets	POOLED: set_A_v2, set_B_v2, set_C_clean, set_D_clean, set_E	pooled	pooled	magicc_v5	MAGICC v5 (released, v0.3.0)	completeness	5000	2586	False	4.617909554275892	4.323586671180016	4.920665336330619	7.814488489280355	7.325649175182284	8.312430494798162	-0.8669096883584342	-1.2622194973783452	-0.460573036251103	0.7852684201029971	0.7559048188601886	0.811378586365189	0.789442896883862	
POOLED_leakage_free_5_sets	POOLED: set_A_v2, set_B_v2, set_C_clean, set_D_clean, set_E	pooled	pooled	checkm2	CheckM2 1.0.1	completeness	5000	2586	False	5.803057473478258	5.517306280897645	6.095986379171409	9.74679663456105	9.361969650259049	10.131421325189557	2.5280570426415654	2.0844810262089397	2.942918076857288	0.6659445071646386	0.639492874539514	0.6911403615521732	0.6929184872736188	
POOLED_leakage_free_5_sets	POOLED: set_A_v2, set_B_v2, set_C_clean, set_D_clean, set_E	pooled	pooled	cocopye	CoCoPyE 0.5.0	completeness	5000	2586	False	6.590101425710123	6.156431734306887	7.00641352040738	10.289508273964277	9.712268677065415	10.833512911768436	-2.779995413030432	-3.287695813091321	-2.244487533874472	0.6277077039621701	0.5859287626622265	0.6688871732425795	0.657840509633463	
POOLED_leakage_free_5_sets	POOLED: set_A_v2, set_B_v2, set_C_clean, set_D_clean, set_E	pooled	pooled	deepcheck	DeepCheck	completeness	5000	2586	False	9.830998329796966	9.35245917720428	10.297655867616848	14.06245719194417	13.52390974772504	14.57300120567744	0.7487216601342414	-0.0744633694621688	1.5678445142418973	0.3046279433703757	0.2496312609680961	0.3583980478460042	0.4988966869309015	
