palette_group	colour_a	colour_b	hex_a	hex_b	delta_e_normal	delta_e_deuteranopia	delta_e_protanopia	delta_e_tritanopia	min_delta_e	flag_too_similar
tools	magicc_v5	magicc_v4	#0072B2	#56B4E9	26.43	24.7	24.62	24.75	24.62	False
tools	magicc_v3	cocopye	#999999	#F0E442	80.88	77.46	86.71	30.93	30.93	False
tools	magicc_v5	magicc_v3	#0072B2	#999999	44.9	48.86	40.62	32.7	32.7	False
tools	magicc_v4	magicc_v3	#56B4E9	#999999	37.37	38.33	33.03	41.07	33.03	False
tools	checkm2	cocopye	#D55E00	#F0E442	67.61	33.44	49.67	65.22	33.44	False
tools	magicc_v3	checkm2	#999999	#D55E00	77.18	62.86	56.01	72.92	56.01	False
tools	magicc_v5	deepcheck	#0072B2	#000000	61.9	62.82	62.41	57.41	57.41	False
tools	magicc_v4	cocopye	#56B4E9	#F0E442	111.9	112.9	115.58	59.71	59.71	False
tools	magicc_v5	cocopye	#0072B2	#F0E442	124.98	126.12	127.16	61.12	61.12	False
tools	magicc_v3	deepcheck	#999999	#000000	63.22	63.22	63.22	63.22	63.22	False
tools	checkm2	deepcheck	#D55E00	#000000	93.88	85.42	71.82	90.22	71.82	False
tools	magicc_v4	deepcheck	#56B4E9	#000000	78.92	77.64	79.58	81.9	77.64	False
tools	magicc_v4	checkm2	#56B4E9	#D55E00	113.64	101.06	88.97	113.8	88.97	False
tools	cocopye	deepcheck	#F0E442	#000000	117.53	115.66	120.83	90.03	90.03	False
tools	magicc_v5	checkm2	#0072B2	#D55E00	114.61	108.28	91.88	101.98	91.88	False
mimag	medium	low	#4292C6	#BDD7E7	35.58	37.88	32.91	32.54	32.54	False
mimag	high	medium	#08306B	#4292C6	42.13	36.26	37.87	39.97	36.26	False
mimag	high	low	#08306B	#BDD7E7	71.38	70.25	67.98	61.17	61.17	False
