set	set_label	status	tier	tool	tool_label	tool_role	n	n_clusters	clustered_bootstrap	criterion	threshold	pass_rule	n_true_pass	n_true_fail	n_pred_pass	n_pred_fail	n_false_pass	n_false_fail	npv_pass	accuracy	balanced_accuracy	n_ties_true_at_tau	n_ties_pred_at_tau	false_pass_rate	false_pass_rate_ci_lo	false_pass_rate_ci_hi	false_fail_rate	false_fail_rate_ci_lo	false_fail_rate_ci_hi	sensitivity	sensitivity_ci_lo	sensitivity_ci_hi	specificity	specificity_ci_lo	specificity_ci_hi	ppv_fail	ppv_fail_ci_lo	ppv_fail_ci_hi	npv_pass_ci_lo	npv_pass_ci_hi	accuracy_ci_lo	accuracy_ci_hi	balanced_accuracy_ci_lo	balanced_accuracy_ci_hi	boot_clustered	boot_n_clusters
set_A_v2	Set A (completeness gradient, 0% contamination)	current	primary	magicc_v5	MAGICC v5 (released, v0.3.0)	primary	1000	798	True	completeness	50.0	completeness >= 50%	1000	0	1000	0	0	0	1.0	1.0	1.0	0	0				0.0	0.0	0.0				1.0	1.0	1.0				1.0	1.0	1.0	1.0	1.0	1.0	True	798
set_A_v2	Set A (completeness gradient, 0% contamination)	current	primary	magicc_v4	MAGICC v4 (numbers in submitted manuscript)	secondary	1000	798	True	completeness	50.0	completeness >= 50%	1000	0	1000	0	0	0	1.0	1.0	1.0	0	0				0.0	0.0	0.0				1.0	1.0	1.0				1.0	1.0	1.0	1.0	1.0	1.0	True	798
set_A_v2	Set A (completeness gradient, 0% contamination)	current	primary	magicc_v3	MAGICC v3 (SUPERSEDED - uses 20 assembly statistics)	superseded	1000	798	True	completeness	50.0	completeness >= 50%	1000	0	1000	0	0	0	1.0	1.0	1.0	0	0				0.0	0.0	0.0				1.0	1.0	1.0				1.0	1.0	1.0	1.0	1.0	1.0	True	798
set_A_v2	Set A (completeness gradient, 0% contamination)	current	primary	checkm2	CheckM2 1.0.1	competitor	1000	798	True	completeness	50.0	completeness >= 50%	1000	0	978	22	0	22	1.0	0.978	0.978	0	0				0.022	0.013224821973550356	0.03106368359208376				0.978	0.9689363164079162	0.9867751780264497	0.0	0.0	0.0	1.0	1.0	0.9689363164079162	0.9867751780264497	0.9689363164079162	0.9867751780264497	True	798
set_A_v2	Set A (completeness gradient, 0% contamination)	current	primary	cocopye	CoCoPyE 0.5.0	competitor	1000	798	True	completeness	50.0	completeness >= 50%	1000	0	1000	0	0	0	1.0	1.0	1.0	0	0				0.0	0.0	0.0				1.0	1.0	1.0				1.0	1.0	1.0	1.0	1.0	1.0	True	798
set_A_v2	Set A (completeness gradient, 0% contamination)	current	primary	deepcheck	DeepCheck	competitor	1000	798	True	completeness	50.0	completeness >= 50%	1000	0	973	27	0	27	1.0	0.973	0.973	0	0				0.027	0.017750170183798507	0.037365717836155436				0.973	0.9626342821638445	0.9822498298162015	0.0	0.0	0.0	1.0	1.0	0.9626342821638445	0.9822498298162015	0.9626342821638445	0.9822498298162015	True	798
set_A_v2	Set A (completeness gradient, 0% contamination)	current	primary	magicc_v5	MAGICC v5 (released, v0.3.0)	primary	1000	798	True	completeness	90.0	completeness >= 90%	276	724	273	727	17	20	0.9377289377289377	0.963	0.9520277844503162	0	0	0.023480662983425413	0.013660736251202111	0.035063728746832015	0.07246376811594203	0.04316476230780082	0.10606866537717598	0.9765193370165746	0.9649362712531679	0.9863392637487979	0.927536231884058	0.893931334622824	0.9568352376921992	0.9724896836313618	0.9591836734693877	0.9836512261580381	0.9078486190787403	0.9637681159420289	0.950253807106599	0.9746475915340013	0.9344091729056047	0.9680932240834704	True	798
set_A_v2	Set A (completeness gradient, 0% contamination)	current	primary	magicc_v4	MAGICC v4 (numbers in submitted manuscript)	secondary	1000	798	True	completeness	90.0	completeness >= 90%	276	724	256	744	14	34	0.9453125	0.952	0.9287372888141565	0	0	0.019337016574585635	0.009814277040304643	0.029612022440467452	0.12318840579710146	0.08613930167935244	0.16487549518958686	0.9806629834254144	0.9703879775595324	0.9901857229596954	0.8768115942028986	0.8351245048104131	0.9138606983206475	0.9543010752688172	0.9377570871144396	0.969087058887205	0.9166666666666666	0.9715475955366841	0.9378039212570587	0.9650927095510183	0.907322298194228	0.9481636518691567	True	798
set_A_v2	Set A (completeness gradient, 0% contamination)	current	primary	magicc_v3	MAGICC v3 (SUPERSEDED - uses 20 assembly statistics)	superseded	1000	798	True	completeness	90.0	completeness >= 90%	276	724	271	729	8	13	0.9704797047970479	0.979	0.9709244134838658	0	0	0.011049723756906077	0.004070280899598453	0.019553756299566353	0.04710144927536232	0.02404184354154035	0.07241504247876061	0.988950276243094	0.9804462437004337	0.9959297191004015	0.9528985507246377	0.9275849575212394	0.9759581564584596	0.9821673525377229	0.9721040465810341	0.99091802302501	0.9488802168498905	0.9891304347826086	0.969848487912399	0.987730374678055	0.9579835711759801	0.9830927082301336	True	798
set_A_v2	Set A (completeness gradient, 0% contamination)	current	primary	checkm2	CheckM2 1.0.1	competitor	1000	798	True	completeness	90.0	completeness >= 90%	276	724	299	701	29	6	0.903010033444816	0.965	0.9691028104732164	0	0	0.04005524861878453	0.026986724987123362	0.05462479384277074	0.021739130434782608	0.006968641114982578	0.040541787174628495	0.9599447513812155	0.9453752061572293	0.9730132750128766	0.9782608695652174	0.9594582128253715	0.9930313588850174	0.9914407988587732	0.9841034711359092	0.9971911097278473	0.8668828019075226	0.9342116645419778	0.9528466003889783	0.9753214376809562	0.9566469740004087	0.9795933870402528	True	798
set_A_v2	Set A (completeness gradient, 0% contamination)	current	primary	cocopye	CoCoPyE 0.5.0	competitor	1000	798	True	completeness	90.0	completeness >= 90%	276	724	288	712	26	14	0.9097222222222222	0.96	0.9566818800544479	0	0	0.03591160220994475	0.0228494623655914	0.04979267073599794	0.050724637681159424	0.02272512864493997	0.08171552404558481	0.9640883977900553	0.950207329264002	0.9771505376344086	0.9492753623188406	0.9182844759544151	0.9772748713550601	0.9803370786516854	0.9682064912814436	0.991416615573268	0.8749896864686468	0.9411815415821501	0.9469544124132954	0.971830985915493	0.9402770624164557	0.9720410109088863	True	798
set_A_v2	Set A (completeness gradient, 0% contamination)	current	primary	deepcheck	DeepCheck	competitor	1000	798	True	completeness	90.0	completeness >= 90%	276	724	301	699	31	6	0.8970099667774086	0.963	0.9677215950036031	0	0	0.04281767955801105	0.02936938201724863	0.05791014026884862	0.021739130434782608	0.00704041321097316	0.03985869565217389	0.9571823204419889	0.9420898597311513	0.9706306179827513	0.9782608695652174	0.9601413043478262	0.9929595867890268	0.9914163090128756	0.9839638424292023	0.9971949509116409	0.860757534192891	0.928577207582062	0.9514809812624264	0.973630831643002	0.9564064564850928	0.9780741262115915	True	798
set_A_v2	Set A (completeness gradient, 0% contamination)	current	primary	magicc_v5	MAGICC v5 (released, v0.3.0)	primary	1000	798	True	contamination	5.0	contamination < 5%	1000	0	979	21	0	21	1.0	0.979	0.979	0	0				0.021	0.011099899091826439	0.03193852535169899				0.979	0.9680614746483011	0.9889001009081736	0.0	0.0	0.0	1.0	1.0	0.9680614746483011	0.9889001009081736	0.9680614746483011	0.9889001009081736	True	798
