set	set_label	status	tier	tool	tool_label	tool_role	metric	n	n_clusters	true_value_variance	true_value_constant	true_value_min	true_value_max	mae	mae_ci_lo	mae_ci_hi	rmse	rmse_ci_lo	rmse_ci_hi	bias	bias_ci_lo	bias_ci_hi	r2	r2_ci_lo	r2_ci_hi	r2_pearson_sq	r2_pearson_sq_ci_lo	r2_pearson_sq_ci_hi	r2_omitted_reason
set_A_v2	Set A (completeness gradient, 0% contamination)	current	primary	magicc_v5	MAGICC v5 (released, v0.3.0)	primary	completeness	1000	798	288.16837015258153	False	50.07295870786195	100.0	2.1766318366134065	1.9277441429974123	2.435865381542502	4.265459274526059	3.623068010271329	4.941846003477394	0.09221869013727485	-0.22021929281434696	0.3615054110643994	0.9368628041550612	0.9149649346821997	0.9546766052827128	0.9369097873360442	0.9150789451799862	0.9549034238294165	
set_A_v2	Set A (completeness gradient, 0% contamination)	current	primary	magicc_v4	MAGICC v4 (numbers in submitted manuscript)	secondary	completeness	1000	798	288.16837015258153	False	50.07295870786195	100.0	2.591358171535378	2.331690526613714	2.8703209569354535	4.653794186738778	4.01237827122918	5.354821640961681	-0.3558517728627252	-0.6767237840143815	-0.06584473426948192	0.924843242438245	0.9005742155665559	0.9441474823389727	0.925951506879619	0.9019742547947851	0.9453663227818452	
set_A_v2	Set A (completeness gradient, 0% contamination)	current	primary	magicc_v3	MAGICC v3 (SUPERSEDED - uses 20 assembly statistics)	superseded	completeness	1000	798	288.16837015258153	False	50.07295870786195	100.0	1.9928675263079683	1.8084866295530386	2.181995226635654	3.4664167383890567	3.0637434053875747	3.852775566992939	-0.002137164862725115	-0.22524963059520484	0.22048864240111624	0.9583019989396425	0.9482289011510405	0.9676763829085017	0.9585290917646682	0.948303421567447	0.9680754662813467	
set_A_v2	Set A (completeness gradient, 0% contamination)	current	primary	checkm2	CheckM2 1.0.1	competitor	completeness	1000	798	288.16837015258153	False	50.07295870786195	100.0	2.5423106509718054	2.3618738037626237	2.71386793577417	3.836799863069146	3.5632109711142346	4.102091013069212	1.2338306271372748	0.9958970961969391	1.4616723262918312	0.9489151665692774	0.9404746544506805	0.9563008200589307	0.9542042212077979	0.946968352073464	0.9608029149817808	
set_A_v2	Set A (completeness gradient, 0% contamination)	current	primary	cocopye	CoCoPyE 0.5.0	competitor	completeness	1000	798	288.16837015258153	False	50.07295870786195	100.0	3.626543119935133	3.3500954034054615	3.9256856641459867	5.476054680966631	5.02626563539997	5.92667511844745	1.5985225375141008	1.257584076014884	1.9337134904364863	0.8959387012077047	0.8779376295982056	0.9121925150110476	0.9085106847176115	0.8899267676432443	0.9248142585963722	
set_A_v2	Set A (completeness gradient, 0% contamination)	current	primary	deepcheck	DeepCheck	competitor	completeness	1000	798	288.16837015258153	False	50.07295870786195	100.0	4.255472477276518	3.975215340154827	4.539029889031779	6.229719890580933	5.806058833692202	6.681775560255611	1.4648283920298533	1.094480196229916	1.8452645121778857	0.8653238386483895	0.8429478177442182	0.8846172390510949	0.8735672962805364	0.8541934186593315	0.8908654862380183	
set_A_v2	Set A (completeness gradient, 0% contamination)	current	primary	magicc_v5	MAGICC v5 (released, v0.3.0)	primary	contamination	1000	798	0.0	True	0.0	0.0	0.8285294344272	0.6429887833268665	1.0594770411788443	3.01249322423102	1.805901322270498	4.082399324670734	0.8285294344272	0.6429887833268665	1.0594770411788443							R^2 is undefined: the true contamination is constant at 0% for all 1000 genomes in this set, so the total sum of squares is zero and no fraction of variance can be explained. MAE, RMSE and mean signed error remain well defined and are reported instead.
set_A_v2	Set A (completeness gradient, 0% contamination)	current	primary	magicc_v4	MAGICC v4 (numbers in submitted manuscript)	secondary	contamination	1000	798	0.0	True	0.0	0.0	1.4780225	1.2131116012108982	1.7854141358224014	4.212589272168604	2.948494234614737	5.46509863269554	1.4780225	1.2131116012108982	1.7854141358224014							R^2 is undefined: the true contamination is constant at 0% for all 1000 genomes in this set, so the total sum of squares is zero and no fraction of variance can be explained. MAE, RMSE and mean signed error remain well defined and are reported instead.
set_A_v2	Set A (completeness gradient, 0% contamination)	current	primary	magicc_v3	MAGICC v3 (SUPERSEDED - uses 20 assembly statistics)	superseded	contamination	1000	798	0.0	True	0.0	0.0	0.4568896125832999	0.3415882878057161	0.5860754939886198	2.0572538951470056	1.1740603897350756	2.883252149099237	0.4568896125832999	0.3415882878057161	0.5860754939886198							R^2 is undefined: the true contamination is constant at 0% for all 1000 genomes in this set, so the total sum of squares is zero and no fraction of variance can be explained. MAE, RMSE and mean signed error remain well defined and are reported instead.
set_A_v2	Set A (completeness gradient, 0% contamination)	current	primary	checkm2	CheckM2 1.0.1	competitor	contamination	1000	798	0.0	True	0.0	0.0	0.27387	0.24952591857678735	0.29995225000000003	0.4403654164441163	0.3986877218081268	0.4832202811971876	0.27387	0.24952591857678735	0.29995225000000003							R^2 is undefined: the true contamination is constant at 0% for all 1000 genomes in this set, so the total sum of squares is zero and no fraction of variance can be explained. MAE, RMSE and mean signed error remain well defined and are reported instead.
