set	set_label	status	tier	subset	tool	tool_label	n	n_clusters	n_true_high	n_true_medium	n_true_low	macro_f1	macro_f1_ci_lo	macro_f1_ci_hi	accuracy	accuracy_ci_lo	accuracy_ci_hi	high_precision	high_recall	high_f1
set_A_v2	Set A (completeness gradient, 0% contamination)	current	primary	all	magicc_v5	MAGICC v5 (released, v0.3.0)	1000	798	276	724	0	0.6328182842427168	0.6227927208984037	0.6426991777651035	0.955	0.9415381565906839	0.9678730955887679	0.9368029739776952	0.9130434782608695	0.9247706422018348
set_A_v2	Set A (completeness gradient, 0% contamination)	current	primary	all	magicc_v4	MAGICC v4 (numbers in submitted manuscript)	1000	798	276	724	0	0.5995929664604364	0.5838776806098791	0.6138972110935492	0.917	0.8990994496843646	0.9341980738155523	0.9459459459459459	0.7608695652173914	0.8433734939759038
set_A_v2	Set A (completeness gradient, 0% contamination)	current	primary	all	magicc_v3	MAGICC v3 (SUPERSEDED - uses 20 assembly statistics)	1000	798	276	724	0	0.6400979529471149	0.6312665912336468	0.6484364774709557	0.965	0.9534412955465587	0.9757830386437316	0.9693486590038314	0.9166666666666666	0.9422718808193667
set_A_v2	Set A (completeness gradient, 0% contamination)	current	primary	all	checkm2	CheckM2 1.0.1	1000	798	276	724	0	0.6328344024708957	0.6234951613569558	0.6416257784193418	0.943	0.9292107987777558	0.9568283918019118	0.903010033444816	0.9782608695652174	0.9391304347826087
set_A_v2	Set A (completeness gradient, 0% contamination)	current	primary	all	cocopye	CoCoPyE 0.5.0	1000	798	276	724	0	0.6254284052337041	0.6139463848127585	0.6364281334671237	0.943	0.9273447330757696	0.9572993617845811	0.9061371841155235	0.9094202898550725	0.9077757685352622
set_A_v2	Set A (completeness gradient, 0% contamination)	current	primary	all	deepcheck	DeepCheck	1000	798	276	724	0	0.6300099814771594	0.6200598435934727	0.6388757748289454	0.936	0.920567936576063	0.9502539124398232	0.8970099667774086	0.9782608695652174	0.9358752166377816
set_A_v2	Set A (completeness gradient, 0% contamination)	current	primary	in_domain	magicc_v5	MAGICC v5 (released, v0.3.0)	1000	798	276	724	0	0.6328182842427168	0.6221352875676494	0.6426724752477172	0.955	0.9412335950316382	0.9676819486951089	0.9368029739776952	0.9130434782608695	0.9247706422018348
set_A_v2	Set A (completeness gradient, 0% contamination)	current	primary	in_domain	magicc_v4	MAGICC v4 (numbers in submitted manuscript)	1000	798	276	724	0	0.5995929664604364	0.5843043622320134	0.613788109623856	0.917	0.8986188076207811	0.9336047939466672	0.9459459459459459	0.7608695652173914	0.8433734939759038
set_A_v2	Set A (completeness gradient, 0% contamination)	current	primary	in_domain	magicc_v3	MAGICC v3 (SUPERSEDED - uses 20 assembly statistics)	1000	798	276	724	0	0.6400979529471149	0.6307100196095448	0.6489260032475063	0.965	0.9533243909548583	0.9760017946161516	0.9693486590038314	0.9166666666666666	0.9422718808193667
set_A_v2	Set A (completeness gradient, 0% contamination)	current	primary	in_domain	checkm2	CheckM2 1.0.1	1000	798	276	724	0	0.6328344024708957	0.623015960634884	0.6418203512677118	0.943	0.9282867519819711	0.9570440288254659	0.903010033444816	0.9782608695652174	0.9391304347826087
set_A_v2	Set A (completeness gradient, 0% contamination)	current	primary	in_domain	cocopye	CoCoPyE 0.5.0	1000	798	276	724	0	0.6254284052337041	0.613820348746199	0.6359506046362827	0.943	0.9270509223455213	0.9574042034020847	0.9061371841155235	0.9094202898550725	0.9077757685352622
set_A_v2	Set A (completeness gradient, 0% contamination)	current	primary	in_domain	deepcheck	DeepCheck	1000	798	276	724	0	0.6300099814771594	0.6196391973961296	0.6391712356313961	0.936	0.9195627804957962	0.9505960303868972	0.8970099667774086	0.9782608695652174	0.9358752166377816
set_B_v2	Set B (contamination gradient, 100% completeness)	current	primary	all	magicc_v5	MAGICC v5 (released, v0.3.0)	1000	803	200	2	798	0.7782894612162905	0.6547094859522132	0.8972228319566437	0.989	0.9822301182549702	0.9950396825396826	1.0	0.95	0.9743589743589743
set_B_v2	Set B (contamination gradient, 100% completeness)	current	primary	all	magicc_v4	MAGICC v4 (numbers in submitted manuscript)	1000	803	200	2	798	0.6343284198356662	0.604927909888068	0.6753907770223732	0.95	0.9352130306520252	0.9630036852589641	1.0	0.755	0.8603988603988605
