cohort	tool	tool_key	n	n_clusters	cluster_unit	comp_mae	comp_mae_ci_lo	comp_mae_ci_hi	comp_bias	comp_bias_ci_lo	comp_bias_ci_hi	comp_rmse	comp_r2	comp_r2_pearson	cont_mae	cont_mae_ci_lo	cont_mae_ci_hi	cont_bias	cont_bias_ci_lo	cont_bias_ci_hi	cont_rmse	cont_r2	cont_r2_pearson	true_comp_mean	true_cont_mean	true_comp_sd	true_cont_sd	r2_min_truth_sd_pp	comp_r2_interpretable	cont_r2_interpretable	denominator	note	panel	assembly	n_panel_organisms	assembly_median_bin_n50	assembly_contigs	orf_integrity_compromised
balanced_panel_all|pacbio	MAGICC V5	magicc	49	49	accession	2.5991	0.7746	5.2441	0.3386	-2.0214	2.9978	8.5514	0.7197	0.7298	1.7196	0.9375	2.692	1.7196	0.9375	2.692	3.6624	-1962.5053	0.0001	94.475	0.0122	16.32	0.0835	5.0	True	False	completeness = retained dominant bp / dominant reference FULL length x 100; contamination = contaminant bp / dominant reference FULL length x 100 (MAGICC convention; identical denominator for truth and for every tool's target quantity)	fragmentation gradient	balanced_panel_all	pacbio	49	1853991	393	False
balanced_panel_all|pacbio	CheckM2 1.0.1	checkm2	49	49	accession	1.0976	0.5529	1.7651	-0.4688	-1.1993	0.1903	2.5065	0.9759	0.9768	0.7241	0.4596	1.0325	0.7105	0.4453	1.0263	1.3017	-247.052	0.0042	94.475	0.0122	16.32	0.0835	5.0	True	False	completeness = retained dominant bp / dominant reference FULL length x 100; contamination = contaminant bp / dominant reference FULL length x 100 (MAGICC convention; identical denominator for truth and for every tool's target quantity)	fragmentation gradient	balanced_panel_all	pacbio	49	1853991	393	False
balanced_panel_all|pacbio	CoCoPyE 0.5.0	cocopye	49	49	accession	2.5822	1.0033	5.3237	0.7726	-0.909	3.6032	8.2146	0.7414	0.8185	1.874	0.9791	2.9224	1.8496	0.9393	2.8938	3.9829	-2321.2631	0.0061	94.475	0.0122	16.32	0.0835	5.0	True	False	completeness = retained dominant bp / dominant reference FULL length x 100; contamination = contaminant bp / dominant reference FULL length x 100 (MAGICC convention; identical denominator for truth and for every tool's target quantity)	fragmentation gradient	balanced_panel_all	pacbio	49	1853991	393	False
balanced_panel_all|pacbio	DeepCheck	deepcheck	49	49	accession	2.01	1.3907	2.7386	-1.7199	-2.501	-1.0129	3.1535	0.9619	0.9732	0.4953	0.3481	0.6766	0.3199	0.1357	0.5302	0.7765	-87.2692	0.0059	94.475	0.0122	16.32	0.0835	5.0	True	False	completeness = retained dominant bp / dominant reference FULL length x 100; contamination = contaminant bp / dominant reference FULL length x 100 (MAGICC convention; identical denominator for truth and for every tool's target quantity)	fragmentation gradient	balanced_panel_all	pacbio	49	1853991	393	False
balanced_panel_all|minion	MAGICC V5	magicc	49	49	accession	9.8285	6.3746	13.8831	3.6003	-0.7743	8.4423	16.5475	0.7252	0.8078	1.2926	0.6419	2.0748	1.1055	0.4377	1.904	2.8946	-8.5662	0.0187	78.932	0.251	31.891	0.9456	5.0	True	False	completeness = retained dominant bp / dominant reference FULL length x 100; contamination = contaminant bp / dominant reference FULL length x 100 (MAGICC convention; identical denominator for truth and for every tool's target quantity)	fragmentation gradient	balanced_panel_all	minion	49	313692	1210	True
balanced_panel_all|minion	CheckM2 1.0.1	checkm2	49	49	accession	42.2088	35.9416	48.0697	-41.3603	-47.4733	-34.5411	47.7091	-1.2846	0.4337	3.2294	2.5864	3.8686	3.1956	2.5358	3.8475	3.9758	-17.047	0.0425	78.932	0.251	31.891	0.9456	5.0	True	False	completeness = retained dominant bp / dominant reference FULL length x 100; contamination = contaminant bp / dominant reference FULL length x 100 (MAGICC convention; identical denominator for truth and for every tool's target quantity)	fragmentation gradient	balanced_panel_all	minion	49	313692	1210	True
balanced_panel_all|minion	CoCoPyE 0.5.0	cocopye	49	49	accession	10.6019	6.3131	15.7138	6.6636	1.9782	12.2586	19.4406	0.6207	0.8348	20.6205	18.3699	22.8481	20.6203	18.369	22.8476	22.0914	-556.177	0.0095	78.932	0.251	31.891	0.9456	5.0	True	False	completeness = retained dominant bp / dominant reference FULL length x 100; contamination = contaminant bp / dominant reference FULL length x 100 (MAGICC convention; identical denominator for truth and for every tool's target quantity)	fragmentation gradient	balanced_panel_all	minion	49	313692	1210	True
balanced_panel_all|minion	DeepCheck	deepcheck	49	49	accession	47.4136	40.7191	53.739	-43.2858	-51.1329	-34.6124	52.8953	-1.8083	0.0993	5.2639	3.978	6.6791	5.1842	3.8895	6.6068	7.2363	-58.7833	0.0001	78.932	0.251	31.891	0.9456	5.0	True	False	completeness = retained dominant bp / dominant reference FULL length x 100; contamination = contaminant bp / dominant reference FULL length x 100 (MAGICC convention; identical denominator for truth and for every tool's target quantity)	fragmentation gradient	balanced_panel_all	minion	49	313692	1210	True
balanced_panel_all|illumina	MAGICC V5	magicc	49	49	accession	4.0894	2.654	6.0504	2.1642	0.0931	3.9185	7.2828	0.806	0.8232	1.2208	0.6928	1.9941	1.2208	0.6928	1.9941	2.7078	-611.3562	0.0046	89.857	0.0573	16.704	0.1106	5.0	True	False	completeness = retained dominant bp / dominant reference FULL length x 100; contamination = contaminant bp / dominant reference FULL length x 100 (MAGICC convention; identical denominator for truth and for every tool's target quantity)	fragmentation gradient	balanced_panel_all	illumina	49	10696	55603	False
balanced_panel_all|illumina	CheckM2 1.0.1	checkm2	49	49	accession	5.5449	4.0325	7.2269	-3.1511	-5.2498	-1.162	8.0985	0.7601	0.9124	1.5523	1.0839	2.1174	1.5523	1.0839	2.1174	2.4089	-483.6479	0.1242	89.857	0.0573	16.704	0.1106	5.0	True	False	completeness = retained dominant bp / dominant reference FULL length x 100; contamination = contaminant bp / dominant reference FULL length x 100 (MAGICC convention; identical denominator for truth and for every tool's target quantity)	fragmentation gradient	balanced_panel_all	illumina	49	10696	55603	False
balanced_panel_all|illumina	CoCoPyE 0.5.0	cocopye	49	49	accession	5.4603	3.8973	7.2791	4.4301	2.6397	6.5227	8.3775	0.7432	0.9051	6.2778	4.2127	8.6075	6.2613	4.1784	8.5908	10.3212	-8896.0863	0.1248	89.857	0.0573	16.704	0.1106	5.0	True	False	completeness = retained dominant bp / dominant reference FULL length x 100; contamination = contaminant bp / dominant reference FULL length x 100 (MAGICC convention; identical denominator for truth and for every tool's target quantity)	fragmentation gradient	balanced_panel_all	illumina	49	10696	55603	False
balanced_panel_all|illumina	DeepCheck	deepcheck	49	49	accession	6.5677	4.5444	8.8006	-5.2654	-7.6345	-3.0109	10.1977	0.6195	0.916	1.2827	0.8923	1.7105	1.1689	0.7622	1.6222	1.9819	-327.0501	0.1524	89.857	0.0573	16.704	0.1106	5.0	True	False	completeness = retained dominant bp / dominant reference FULL length x 100; contamination = contaminant bp / dominant reference FULL length x 100 (MAGICC convention; identical denominator for truth and for every tool's target quantity)	fragmentation gradient	balanced_panel_all	illumina	49	10696	55603	False
balanced_panel_all|s5	MAGICC V5	magicc	49	49	accession	8.2038	5.4963	11.192	6.3568	3.1909	9.6333	13.5781	0.7365	0.8377	1.1944	0.6318	1.934	0.7005	0.0859	1.4982	2.7068	-7.9852	0.0225	80.613	0.7021	26.726	0.9124	5.0	True	False	completeness = retained dominant bp / dominant reference FULL length x 100; contamination = contaminant bp / dominant reference FULL length x 100 (MAGICC convention; identical denominator for truth and for every tool's target quantity)	fragmentation gradient	balanced_panel_all	s5	49	6522	48122	False
