panel	tool	metric	slope_per_log10_N50	slope_se	p_two_sided	pearson_r	value_at_best_N50	value_at_worst_N50	degradation	assemblies_used	note
balanced_panel_all	MAGICC V5	comp_mae	-1.7249	0.655	0.05797093829740307	-0.7964	2.5991	7.4135	4.8144	pacbio,illumina,s5,proton,mgiseq_2000,mgiseq_t7	ORF-intact assemblies only; assemblies whose coding density and mean gene length show the indel/frameshift signature are excluded and reported separately
balanced_panel_all	MAGICC V5	cont_mae	0.1977	0.0503	0.017104800385275534	0.8912	1.7196	1.2119	-0.5077	pacbio,illumina,s5,proton,mgiseq_2000,mgiseq_t7	ORF-intact assemblies only; assemblies whose coding density and mean gene length show the indel/frameshift signature are excluded and reported separately
balanced_panel_all	CheckM2 1.0.1	comp_mae	-2.4359	0.3911	0.0033835579449602547	-0.9521	1.0976	8.1804	7.0828	pacbio,illumina,s5,proton,mgiseq_2000,mgiseq_t7	ORF-intact assemblies only; assemblies whose coding density and mean gene length show the indel/frameshift signature are excluded and reported separately
balanced_panel_all	CheckM2 1.0.1	cont_mae	-0.3939	0.0814	0.008403040014845539	-0.9242	0.7241	1.7957	1.0716	pacbio,illumina,s5,proton,mgiseq_2000,mgiseq_t7	ORF-intact assemblies only; assemblies whose coding density and mean gene length show the indel/frameshift signature are excluded and reported separately
balanced_panel_all	CoCoPyE 0.5.0	comp_mae	-2.6106	0.5712	0.010260310701016677	-0.9161	2.5822	10.7462	8.164	pacbio,illumina,s5,proton,mgiseq_2000,mgiseq_t7	ORF-intact assemblies only; assemblies whose coding density and mean gene length show the indel/frameshift signature are excluded and reported separately
balanced_panel_all	CoCoPyE 0.5.0	cont_mae	-3.1609	0.8675	0.021891731823156634	-0.8766	1.874	10.725	8.851	pacbio,illumina,s5,proton,mgiseq_2000,mgiseq_t7	ORF-intact assemblies only; assemblies whose coding density and mean gene length show the indel/frameshift signature are excluded and reported separately
balanced_panel_all	DeepCheck	comp_mae	-2.7453	0.5665	0.008360587807581829	-0.9244	2.01	9.8229	7.8129	pacbio,illumina,s5,proton,mgiseq_2000,mgiseq_t7	ORF-intact assemblies only; assemblies whose coding density and mean gene length show the indel/frameshift signature are excluded and reported separately
balanced_panel_all	DeepCheck	cont_mae	-0.4175	0.0703	0.004031835558402858	-0.9477	0.4953	1.6016	1.1063	pacbio,illumina,s5,proton,mgiseq_2000,mgiseq_t7	ORF-intact assemblies only; assemblies whose coding density and mean gene length show the indel/frameshift signature are excluded and reported separately
balanced_panel_comp>=50	MAGICC V5	comp_mae	-1.0836	0.2554	0.013234585192026147	-0.9045	1.7348	4.8262	3.0914	pacbio,illumina,s5,proton,mgiseq_2000,mgiseq_t7	ORF-intact assemblies only; assemblies whose coding density and mean gene length show the indel/frameshift signature are excluded and reported separately
balanced_panel_comp>=50	MAGICC V5	cont_mae	0.2385	0.0631	0.01948083269361793	0.8838	2.0554	1.3596	-0.6958	pacbio,illumina,s5,proton,mgiseq_2000,mgiseq_t7	ORF-intact assemblies only; assemblies whose coding density and mean gene length show the indel/frameshift signature are excluded and reported separately
balanced_panel_comp>=50	CheckM2 1.0.1	comp_mae	-2.4005	0.6837	0.024646017229055017	-0.8689	0.303	7.4545	7.1515	pacbio,illumina,s5,proton,mgiseq_2000,mgiseq_t7	ORF-intact assemblies only; assemblies whose coding density and mean gene length show the indel/frameshift signature are excluded and reported separately
balanced_panel_comp>=50	CheckM2 1.0.1	cont_mae	-0.4721	0.1753	0.05446983028002758	-0.8029	0.4933	1.6479	1.1546	pacbio,illumina,s5,proton,mgiseq_2000,mgiseq_t7	ORF-intact assemblies only; assemblies whose coding density and mean gene length show the indel/frameshift signature are excluded and reported separately
balanced_panel_comp>=50	CoCoPyE 0.5.0	comp_mae	-1.363	0.2973	0.01015178723085753	-0.9166	1.347	6.0111	4.6641	pacbio,illumina,s5,proton,mgiseq_2000,mgiseq_t7	ORF-intact assemblies only; assemblies whose coding density and mean gene length show the indel/frameshift signature are excluded and reported separately
balanced_panel_comp>=50	CoCoPyE 0.5.0	cont_mae	-2.8767	1.2719	0.086521753657384	-0.7491	0.9046	8.6147	7.7101	pacbio,illumina,s5,proton,mgiseq_2000,mgiseq_t7	ORF-intact assemblies only; assemblies whose coding density and mean gene length show the indel/frameshift signature are excluded and reported separately
balanced_panel_comp>=50	DeepCheck	comp_mae	-2.3682	0.9796	0.07295039169737037	-0.7705	1.3929	7.8536	6.4607	pacbio,illumina,s5,proton,mgiseq_2000,mgiseq_t7	ORF-intact assemblies only; assemblies whose coding density and mean gene length show the indel/frameshift signature are excluded and reported separately
balanced_panel_comp>=50	DeepCheck	cont_mae	-0.4363	0.1457	0.04016046122433798	-0.8316	0.4581	1.6134	1.1553	pacbio,illumina,s5,proton,mgiseq_2000,mgiseq_t7	ORF-intact assemblies only; assemblies whose coding density and mean gene length show the indel/frameshift signature are excluded and reported separately
balanced_panel_comp>=50_leakage_free	MAGICC V5	comp_mae	-1.2887	0.3465	0.020495949600466246	-0.8807	1.0786	4.6682	3.5896	pacbio,illumina,s5,proton,mgiseq_2000,mgiseq_t7	ORF-intact assemblies only; assemblies whose coding density and mean gene length show the indel/frameshift signature are excluded and reported separately
balanced_panel_comp>=50_leakage_free	MAGICC V5	cont_mae	0.4234	0.0674	0.0032732344858468682	0.9529	1.8655	0.6944	-1.1711	pacbio,illumina,s5,proton,mgiseq_2000,mgiseq_t7	ORF-intact assemblies only; assemblies whose coding density and mean gene length show the indel/frameshift signature are excluded and reported separately
balanced_panel_comp>=50_leakage_free	CheckM2 1.0.1	comp_mae	-1.8439	0.5385	0.026670464447068543	-0.8635	0.1834	5.4113	5.2279	pacbio,illumina,s5,proton,mgiseq_2000,mgiseq_t7	ORF-intact assemblies only; assemblies whose coding density and mean gene length show the indel/frameshift signature are excluded and reported separately
balanced_panel_comp>=50_leakage_free	CheckM2 1.0.1	cont_mae	-0.7141	0.2488	0.0454310829940255	-0.8205	0.7582	2.2611	1.5029	pacbio,illumina,s5,proton,mgiseq_2000,mgiseq_t7	ORF-intact assemblies only; assemblies whose coding density and mean gene length show the indel/frameshift signature are excluded and reported separately
balanced_panel_comp>=50_leakage_free	CoCoPyE 0.5.0	comp_mae	-1.6461	0.322	0.00692354792800188	-0.9313	0.3394	5.8377	5.4983	pacbio,illumina,s5,proton,mgiseq_2000,mgiseq_t7	ORF-intact assemblies only; assemblies whose coding density and mean gene length show the indel/frameshift signature are excluded and reported separately
balanced_panel_comp>=50_leakage_free	CoCoPyE 0.5.0	cont_mae	-3.44	1.2762	0.05435301862922264	-0.8031	0.202	9.4907	9.2887	pacbio,illumina,s5,proton,mgiseq_2000,mgiseq_t7	ORF-intact assemblies only; assemblies whose coding density and mean gene length show the indel/frameshift signature are excluded and reported separately
balanced_panel_comp>=50_leakage_free	DeepCheck	comp_mae	-1.9793	0.8445	0.07905604755719566	-0.7607	1.016	6.1636	5.1476	pacbio,illumina,s5,proton,mgiseq_2000,mgiseq_t7	ORF-intact assemblies only; assemblies whose coding density and mean gene length show the indel/frameshift signature are excluded and reported separately
balanced_panel_comp>=50_leakage_free	DeepCheck	cont_mae	-0.5309	0.1828	0.0439539186897052	-0.8236	0.5009	1.737	1.2361	pacbio,illumina,s5,proton,mgiseq_2000,mgiseq_t7	ORF-intact assemblies only; assemblies whose coding density and mean gene length show the indel/frameshift signature are excluded and reported separately
