cohort	tool	tool_key	n	n_clusters	cluster_unit	comp_mae	comp_mae_ci_lo	comp_mae_ci_hi	comp_bias	comp_bias_ci_lo	comp_bias_ci_hi	comp_rmse	comp_r2	comp_r2_pearson	cont_mae	cont_mae_ci_lo	cont_mae_ci_hi	cont_bias	cont_bias_ci_lo	cont_bias_ci_hi	cont_rmse	cont_r2	cont_r2_pearson	true_comp_mean	true_cont_mean	true_comp_sd	true_cont_sd	r2_min_truth_sd_pp	comp_r2_interpretable	cont_r2_interpretable	denominator	note
primary_leakage_free_comp>=50	MAGICC V5	magicc	108	18	accession	4.1955	3.0508	5.4291	1.9603	-0.2775	3.8979	5.9403	0.6538	0.6963	0.8793	0.465	1.3233	0.6912	0.2255	1.181	1.7857	-10.4243	0.0002	93.207	0.2797	10.143	0.5308	5.0	True	False	completeness = retained dominant bp / dominant reference FULL length x 100; contamination = contaminant bp / dominant reference FULL length x 100 (MAGICC convention; identical denominator for truth and for every tool's target quantity)	PRIMARY. Reference organism not in MAGICC TRAIN or VAL, and true completeness >= 50 % (MAGICC's stated operating floor). All 7 assemblies.
primary_leakage_free_comp>=50	CheckM2 1.0.1	checkm2	108	18	accession	11.0068	9.2807	12.9716	-8.9819	-11.584	-6.5599	21.0244	-3.3367	0.241	2.6346	1.9963	3.3101	2.6202	1.978	3.3005	3.5416	-43.941	0.2003	93.207	0.2797	10.143	0.5308	5.0	True	False	completeness = retained dominant bp / dominant reference FULL length x 100; contamination = contaminant bp / dominant reference FULL length x 100 (MAGICC convention; identical denominator for truth and for every tool's target quantity)	PRIMARY. Reference organism not in MAGICC TRAIN or VAL, and true completeness >= 50 % (MAGICC's stated operating floor). All 7 assemblies.
primary_leakage_free_comp>=50	CoCoPyE 0.5.0	cocopye	108	18	accession	3.9393	2.5859	5.502	3.3524	2.0723	4.8237	6.1114	0.6336	0.8186	10.0745	7.5058	12.8157	10.0481	7.4797	12.7809	14.4198	-743.9852	0.1046	93.207	0.2797	10.143	0.5308	5.0	True	False	completeness = retained dominant bp / dominant reference FULL length x 100; contamination = contaminant bp / dominant reference FULL length x 100 (MAGICC convention; identical denominator for truth and for every tool's target quantity)	PRIMARY. Reference organism not in MAGICC TRAIN or VAL, and true completeness >= 50 % (MAGICC's stated operating floor). All 7 assemblies.
primary_leakage_free_comp>=50	DeepCheck	deepcheck	108	18	accession	13.2537	10.7154	16.0897	-12.4917	-15.6019	-9.6636	24.6387	-4.9558	0.2331	1.8629	1.4322	2.3328	1.7187	1.2188	2.2597	2.7104	-25.3208	0.1118	93.207	0.2797	10.143	0.5308	5.0	True	False	completeness = retained dominant bp / dominant reference FULL length x 100; contamination = contaminant bp / dominant reference FULL length x 100 (MAGICC convention; identical denominator for truth and for every tool's target quantity)	PRIMARY. Reference organism not in MAGICC TRAIN or VAL, and true completeness >= 50 % (MAGICC's stated operating floor). All 7 assemblies.
primary_leakage_free_comp>=50_ORF_intact	MAGICC V5	magicc	93	18	accession	3.9552	2.6956	5.2865	2.7746	0.8074	4.6314	5.397	0.7331	0.8036	0.866	0.4418	1.3409	0.6919	0.2245	1.1898	1.7448	-11.4662	0.0007	92.542	0.2817	10.503	0.4968	5.0	True	False	completeness = retained dominant bp / dominant reference FULL length x 100; contamination = contaminant bp / dominant reference FULL length x 100 (MAGICC convention; identical denominator for truth and for every tool's target quantity)	PRIMARY, restricted to assemblies with intact ORFs. This isolates the fragmentation effect from the per-base-accuracy effect: without it, one indel-dense assembly (['minion']) dominates the pooled competitor error.
primary_leakage_free_comp>=50_ORF_intact	CheckM2 1.0.1	checkm2	93	18	accession	4.5338	3.1893	6.138	-2.1824	-4.6007	-0.0177	6.7723	0.5797	0.9136	2.4782	1.7305	3.2614	2.4616	1.7097	3.2495	3.424	-47.01	0.2424	92.542	0.2817	10.503	0.4968	5.0	True	False	completeness = retained dominant bp / dominant reference FULL length x 100; contamination = contaminant bp / dominant reference FULL length x 100 (MAGICC convention; identical denominator for truth and for every tool's target quantity)	PRIMARY, restricted to assemblies with intact ORFs. This isolates the fragmentation effect from the per-base-accuracy effect: without it, one indel-dense assembly (['minion']) dominates the pooled competitor error.
primary_leakage_free_comp>=50_ORF_intact	CoCoPyE 0.5.0	cocopye	93	18	accession	4.2185	2.7305	5.9553	4.1103	2.5903	5.8582	6.486	0.6145	0.8675	8.1974	5.1715	11.5311	8.1667	5.1505	11.4878	12.7981	-669.7314	0.1816	92.542	0.2817	10.503	0.4968	5.0	True	False	completeness = retained dominant bp / dominant reference FULL length x 100; contamination = contaminant bp / dominant reference FULL length x 100 (MAGICC convention; identical denominator for truth and for every tool's target quantity)	PRIMARY, restricted to assemblies with intact ORFs. This isolates the fragmentation effect from the per-base-accuracy effect: without it, one indel-dense assembly (['minion']) dominates the pooled competitor error.
primary_leakage_free_comp>=50_ORF_intact	DeepCheck	deepcheck	93	18	accession	5.6574	3.5243	8.2106	-4.7725	-7.6919	-2.2079	9.0163	0.255	0.8992	1.6843	1.1243	2.3044	1.5588	0.9468	2.226	2.5324	-25.2613	0.2175	92.542	0.2817	10.503	0.4968	5.0	True	False	completeness = retained dominant bp / dominant reference FULL length x 100; contamination = contaminant bp / dominant reference FULL length x 100 (MAGICC convention; identical denominator for truth and for every tool's target quantity)	PRIMARY, restricted to assemblies with intact ORFs. This isolates the fragmentation effect from the per-base-accuracy effect: without it, one indel-dense assembly (['minion']) dominates the pooled competitor error.
all_MOCK1_comp>=50	MAGICC V5	magicc	308	52	accession	4.1354	2.877	5.9859	1.2715	-1.009	2.857	7.3046	0.5903	0.6588	1.3775	0.7935	2.2583	1.221	0.6112	2.1138	3.0101	-18.8029	0.0093	92.209	0.2651	11.431	0.6775	5.0	True	False	completeness = retained dominant bp / dominant reference FULL length x 100; contamination = contaminant bp / dominant reference FULL length x 100 (MAGICC convention; identical denominator for truth and for every tool's target quantity)	All MOCK1 organisms (includes TRAIN/VAL references), true completeness >= 50 %. All 7 assemblies.
all_MOCK1_comp>=50	CheckM2 1.0.1	checkm2	308	52	accession	11.961	10.563	13.4025	-10.2494	-12.0166	-8.487	20.9176	-2.3595	0.3723	1.8905	1.5366	2.2878	1.8365	1.4721	2.2498	2.7797	-15.8871	0.1134	92.209	0.2651	11.431	0.6775	5.0	True	False	completeness = retained dominant bp / dominant reference FULL length x 100; contamination = contaminant bp / dominant reference FULL length x 100 (MAGICC convention; identical denominator for truth and for every tool's target quantity)	All MOCK1 organisms (includes TRAIN/VAL references), true completeness >= 50 %. All 7 assemblies.
