accession	bytes	status
GCA_039528195.1	10522	ok
GCA_042679385.1	855738	ok
GCA_007000785.1	1208652	ok
GCA_900011095.1	1209064	ok
GCA_044389345.1	2113814	ok
GCA_000326365.1	1524459	ok
GCA_019413445.1	1187695	ok
GCA_029836335.1	1580449	ok
GCA_019130725.1	1131837	ok
GCA_047532635.1	1641803	ok
GCA_015477385.1	2144786	ok
GCA_900008285.1	1202364	ok
GCA_047532015.1	1578015	ok
GCA_021438825.1	1507805	ok
GCA_022359835.1	1160654	ok
GCA_000354315.2	1512336	ok
GCA_000354995.2	1532114	ok
GCA_958303235.1	1447216	ok
GCA_000354355.2	1603807	ok
GCA_000172035.1	1710747	ok
GCA_004793575.1	562771	ok
GCA_029116095.1	1644675	ok
GCA_000439875.1	1939905	ok
GCA_948735105.1	629482	ok
GCA_023162195.1	1626078	ok
GCA_900015175.1	1223480	ok
GCA_050575695.1	1822594	ok
GCA_949463525.1	271469	ok
GCA_001432965.1	1172045	ok
GCA_050989705.1	1248381	ok
GCA_012030445.1	1241590	ok
GCA_000765235.1	811553	ok
GCA_965135935.1	521776	ok
GCA_963640565.1	847954	ok
GCA_963539885.1	753485	ok
GCA_000413355.1	850691	ok
GCA_949084195.1	950858	ok
GCA_040714055.1	1650910	ok
GCA_040909305.1	1520328	ok
GCA_029997195.1	1475299	ok
GCA_000415525.1	388625	ok
GCA_040920585.1	1555409	ok
GCA_019426945.1	1356080	ok
GCA_000281775.1	1546002	ok
GCA_001735985.1	370883	ok
GCA_900011835.1	1225525	ok
GCA_030251785.1	1305797	ok
GCA_024462135.1	900666	ok
GCA_948641155.1	689454	ok
GCA_021283605.1	1198592	ok
GCA_000326245.1	1516467	ok
GCA_015185745.1	1644635	ok
GCA_000483935.1	1445169	ok
GCA_053339285.1	886359	ok
GCA_047654445.1	1412130	ok
GCA_949039045.1	1153021	ok
GCA_000626575.1	919190	ok
GCA_039842315.1	1530512	ok
GCA_052057665.1	480107	ok
GCA_036621765.1	1597371	ok
GCA_001225185.1	501185	ok
GCA_963970935.1	1989851	ok
GCA_903970055.1	775045	ok
GCA_945831115.1	431492	ok
GCA_024463025.1	949454	ok
