accession	bytes	status
GCA_000155535.1	542063	cached
GCA_001267475.1	547478	cached
GCA_005886145.1	731877	cached
GCA_000090875.1	732613	cached
GCA_005886075.1	592146	ok
GCA_000185325.1	631184	cached
GCA_000143645.1	589183	ok
GCA_005886055.1	641013	cached
GCA_000162895.1	733597	ok
GCA_005886335.1	735563	ok
GCA_000188455.2	1298123	cached
GCA_003073575.1	1394904	cached
GCA_000195415.2	1521576	cached
GCA_009649015.1	1531810	cached
GCA_000166595.2	1581153	ok
GCA_005843985.1	467998	ok
GCA_000170735.1	464333	ok
GCA_000256465.2	1543532	cached
GCA_018884445.1	1568269	ok
GCA_000258925.1	246811	cached
GCA_001553195.1	254223	cached
GCA_038442155.1	1565967	cached
GCA_000234845.2	1452540	ok
GCA_000273625.1	701263	cached
GCA_000158275.2	700512	cached
GCA_003692675.1	1396442	ok
GCA_005886215.1	1670537	ok
GCA_000235505.1	1670412	ok
GCA_000251185.1	1879728	ok
GCA_000331815.1	1188456	cached
GCA_002023665.2	1189206	cached
GCA_000157355.2	1016555	ok
GCA_000156855.2	649972	ok
GCA_000331875.1	1571140	cached
GCA_000273685.1	649443	ok
GCA_002155245.1	1676777	cached
GCA_021172085.1	1495710	cached
GCA_000332585.1	1434939	cached
GCA_024585345.2	1881690	ok
GCA_000329725.1	1409892	ok
GCA_018338875.2	1420325	ok
GCA_036923505.1	1628279	ok
GCA_000335415.2	1542213	ok
GCA_000335355.2	1568065	ok
GCA_036923325.1	1636866	ok
GCA_036923335.1	1655358	ok
GCA_000273565.1	1017111	ok
GCA_000343875.1	1268106	ok
GCA_905183055.1	1273594	ok
GCA_000335455.2	1571843	ok
GCA_000343895.1	1263184	ok
GCA_905183065.2	1264467	ok
GCA_000343915.1	1275787	ok
GCA_000400285.1	1786665	cached
GCA_002887615.1	1783104	cached
GCA_946221705.1	1273942	ok
GCA_005886435.1	651728	ok
GCA_000364865.1	642797	ok
GCA_000461895.1	1669649	cached
GCA_000343935.1	1297371	ok
GCA_000466945.1	1258249	cached
GCA_011212705.1	1679770	cached
GCA_003860345.1	1267921	cached
GCA_000474175.2	1428056	cached
GCA_015074805.1	1436318	cached
GCA_905183045.1	1291384	ok
GCA_000474785.1	1632064	cached
GCA_018074945.1	1625199	cached
GCA_049942905.1	1459639	cached
GCA_000485945.1	1441428	cached
GCA_000485965.1	1428376	cached
GCA_049942875.1	1438052	cached
GCA_002043005.1	1651426	ok
GCA_000451025.1	492440	ok
GCA_000392535.3	478589	ok
GCA_000482265.1	1379595	ok
GCA_000376125.1	1645857	ok
GCA_000269645.2	1379711	ok
GCA_049942925.1	1400749	ok
GCA_018340135.1	1417502	ok
GCA_000486005.1	1376114	ok
GCA_049942935.1	1383129	ok
GCA_000485985.1	1399883	ok
GCA_000486565.1	1421143	ok
GCA_000486835.1	1431539	ok
