accession	status	bytes	url
GCA_000416005.1	ok	761903	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/416/005/GCA_000416005.1_HQX_031812/GCA_000416005.1_HQX_031812_genomic.fna.gz
GCA_000435275.1	ok	330101	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/435/275/GCA_000435275.1_MGS557/GCA_000435275.1_MGS557_genomic.fna.gz
GCA_000438195.1	ok	371455	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/438/195/GCA_000438195.1_MGS776/GCA_000438195.1_MGS776_genomic.fna.gz
GCA_000989855.1	ok	251392	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/989/855/GCA_000989855.1_ASM98985v1/GCA_000989855.1_ASM98985v1_genomic.fna.gz
GCA_000997055.1	ok	232512	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/997/055/GCA_000997055.1_ASM99705v1/GCA_000997055.1_ASM99705v1_genomic.fna.gz
GCA_001000005.1	ok	172345	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/000/005/GCA_001000005.1_ASM100000v1/GCA_001000005.1_ASM100000v1_genomic.fna.gz
GCA_001000355.1	ok	134631	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/000/355/GCA_001000355.1_ASM100035v1/GCA_001000355.1_ASM100035v1_genomic.fna.gz
GCA_001603985.1	ok	1254407	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/603/985/GCA_001603985.1_ASM160398v1/GCA_001603985.1_ASM160398v1_genomic.fna.gz
GCA_001643475.1	ok	828014	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/643/475/GCA_001643475.1_ASM164347v1/GCA_001643475.1_ASM164347v1_genomic.fna.gz
GCA_001765415.1	ok	539448	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/765/415/GCA_001765415.1_ASM176541v1/GCA_001765415.1_ASM176541v1_genomic.fna.gz
GCA_001769395.1	ok	1526785	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/769/395/GCA_001769395.1_ASM176939v1/GCA_001769395.1_ASM176939v1_genomic.fna.gz
GCA_001776975.1	ok	206569	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/776/975/GCA_001776975.1_ASM177697v1/GCA_001776975.1_ASM177697v1_genomic.fna.gz
GCA_001778755.1	ok	253772	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/778/755/GCA_001778755.1_ASM177875v1/GCA_001778755.1_ASM177875v1_genomic.fna.gz
GCA_001779455.1	ok	280061	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/779/455/GCA_001779455.1_ASM177945v1/GCA_001779455.1_ASM177945v1_genomic.fna.gz
GCA_001782255.1	ok	223871	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/782/255/GCA_001782255.1_ASM178225v1/GCA_001782255.1_ASM178225v1_genomic.fna.gz
GCA_001786355.1	ok	215281	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/786/355/GCA_001786355.1_ASM178635v1/GCA_001786355.1_ASM178635v1_genomic.fna.gz
GCA_001786765.1	ok	216437	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/786/765/GCA_001786765.1_ASM178676v1/GCA_001786765.1_ASM178676v1_genomic.fna.gz
GCA_001789725.1	ok	198446	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/789/725/GCA_001789725.1_ASM178972v1/GCA_001789725.1_ASM178972v1_genomic.fna.gz
GCA_001791275.1	ok	290817	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/791/275/GCA_001791275.1_ASM179127v1/GCA_001791275.1_ASM179127v1_genomic.fna.gz
