contamination_subset	true_completeness_band	reference_size_stratum	n	n_reference_clusters	true_comp_mean	MAGICC_signed_comp_error_pp	MAGICC_ci95	CheckM2_signed_comp_error_pp	CheckM2_ci95
all	<60	<1 Mbp	85	59	55.2	2.534	[1.29, 3.87]	-0.382	[-3.19, 2.34]
all	<60	1-1.5 Mbp	67	39	54.82	4.413	[2.62, 6.29]	3.34	[0.42, 6.19]
all	<60	1.5-2 Mbp	72	48	55.73	4.229	[2.68, 5.86]	12.198	[9.78, 14.62]
all	<60	2-3 Mbp	133	104	55.19	3.621	[2.48, 4.91]	9.595	[7.53, 11.68]
all	<60	3-5 Mbp	172	132	55.21	4.856	[3.68, 6.10]	11.143	[8.68, 13.48]
all	<60	>5 Mbp	125	114	55.35	4.998	[3.63, 6.50]	11.531	[9.01, 14.10]
all	60-70	<1 Mbp	95	57	65.46	-1.092	[-3.00, 0.99]	-0.229	[-2.32, 1.81]
all	60-70	1-1.5 Mbp	74	48	65.55	1.491	[-0.75, 3.85]	0.847	[-1.72, 3.17]
all	60-70	1.5-2 Mbp	94	50	64.95	0.908	[-0.40, 2.31]	9.281	[7.50, 10.93]
all	60-70	2-3 Mbp	140	100	65.19	2.088	[0.83, 3.47]	7.892	[6.25, 9.55]
all	60-70	3-5 Mbp	162	132	65.12	2.672	[1.61, 3.79]	10.456	[8.45, 12.49]
all	60-70	>5 Mbp	111	102	65.87	3.161	[1.98, 4.54]	10.351	[8.33, 12.50]
all	70-80	<1 Mbp	117	61	74.91	-2.258	[-4.54, 0.09]	-2.131	[-3.77, -0.65]
all	70-80	1-1.5 Mbp	89	43	74.93	-0.314	[-3.00, 2.18]	1.081	[-0.76, 2.93]
all	70-80	1.5-2 Mbp	90	49	75.12	1.477	[-0.15, 3.22]	6.296	[4.54, 7.96]
all	70-80	2-3 Mbp	125	81	74.69	1.994	[0.83, 3.14]	8.023	[6.61, 9.34]
all	70-80	3-5 Mbp	193	151	75.24	1.984	[0.95, 3.00]	8.465	[7.07, 9.80]
all	70-80	>5 Mbp	114	109	76.13	1.805	[0.90, 2.77]	9.087	[7.51, 10.73]
all	80-90	<1 Mbp	105	60	84.79	-1.567	[-4.15, 0.99]	-4.281	[-5.59, -2.95]
all	80-90	1-1.5 Mbp	81	40	84.89	-1.386	[-5.60, 2.49]	-1.279	[-2.93, 0.35]
all	80-90	1.5-2 Mbp	72	42	84.15	0.629	[-1.45, 2.93]	3.492	[2.05, 5.00]
all	80-90	2-3 Mbp	130	81	84.44	-0.071	[-1.33, 1.31]	5.913	[4.95, 6.89]
all	80-90	3-5 Mbp	159	113	84.72	-0.903	[-2.12, 0.29]	6.213	[5.13, 7.27]
all	80-90	>5 Mbp	98	90	84.72	0.347	[-0.68, 1.42]	6.929	[5.59, 8.30]
all	90-95	<1 Mbp	29	28	92.31	-2.428	[-5.75, 0.63]	-3.763	[-6.39, -1.41]
all	90-95	1.5-2 Mbp	19	15	92.38	-4.815	[-10.87, 1.10]	2.613	[0.65, 4.15]
all	90-95	2-3 Mbp	15	15	92.52	1.064	[-1.25, 3.08]	2.603	[0.32, 4.96]
all	90-95	3-5 Mbp	20	20	92.46	-0.406	[-2.94, 1.89]	1.147	[-0.65, 2.97]
all	95-100	<1 Mbp	358	93	99.97	-6.166	[-7.97, -4.51]	-7.528	[-8.16, -6.87]
all	95-100	1-1.5 Mbp	216	93	99.89	-5.226	[-8.00, -2.91]	-4.862	[-5.76, -3.92]
all	95-100	1.5-2 Mbp	235	121	99.91	-3.199	[-4.43, -2.11]	-0.792	[-1.18, -0.45]
all	95-100	2-3 Mbp	452	267	99.96	-2.537	[-3.20, -1.95]	-0.274	[-0.42, -0.15]
all	95-100	3-5 Mbp	528	359	99.96	-3.634	[-4.21, -3.08]	-0.134	[-0.25, -0.04]
all	95-100	>5 Mbp	401	297	99.97	-3.197	[-3.80, -2.64]	-0.013	[-0.05, 0.03]
true_cont<5	<60	2-3 Mbp	73	70	55.55	0.943	[0.50, 1.38]	1.719	[0.57, 2.86]
true_cont<5	<60	3-5 Mbp	100	96	54.88	1.965	[1.32, 2.69]	0.795	[-0.00, 1.57]
true_cont<5	<60	>5 Mbp	88	85	55.12	1.881	[1.35, 2.45]	3.549	[2.71, 4.41]
true_cont<5	60-70	1.5-2 Mbp	20	20	65.62	0.011	[-0.73, 0.74]	1.394	[-0.66, 3.77]
true_cont<5	60-70	2-3 Mbp	67	63	65.54	0.393	[-0.36, 1.11]	2.103	[1.18, 3.04]
true_cont<5	60-70	3-5 Mbp	83	78	65.12	0.091	[-0.76, 0.92]	0.985	[0.24, 1.77]
true_cont<5	60-70	>5 Mbp	76	72	66.21	0.857	[0.21, 1.58]	3.385	[2.65, 4.10]
