analysis	subset	tool	size_predictor	controls	n	n_reference_clusters	beta_pp_per_SD	ci95	p	partial_R2_increment	full_model_R2_CoD	expected_beta_if_unbiased
M1_matched_true_completeness	all	MAGICC_V5	z_log10_reference_Mbp	true_comp, true_comp^2, true_cont	5000	1648	1.1043	[0.620, 1.589]	8.383e-06	0.0048	0.7946	0.0
M1_matched_true_completeness	all	MAGICC_V5	z_log10_assembly_Mbp	true_comp, true_comp^2, true_cont	5000	1648	1.2522	[0.753, 1.752]	9.639e-07	0.0057	0.7956	0.0
M1_matched_true_completeness	all	CheckM2	z_log10_reference_Mbp	true_comp, true_comp^2, true_cont	5000	1648	3.6651	[3.379, 3.952]	6.083e-118	0.0559	0.765	0.0
M1_matched_true_completeness	all	CheckM2	z_log10_assembly_Mbp	true_comp, true_comp^2, true_cont	5000	1648	4.0581	[3.764, 4.352]	6.583e-134	0.0642	0.7733	0.0
M1_matched_true_completeness	low_contamination(true<5)	MAGICC_V5	z_log10_reference_Mbp	true_comp, true_comp^2, true_cont	1566	1112	0.8977	[0.526, 1.269]	2.393e-06	0.0025	0.929	0.0
M1_matched_true_completeness	low_contamination(true<5)	MAGICC_V5	z_log10_assembly_Mbp	true_comp, true_comp^2, true_cont	1566	1112	0.9084	[0.532, 1.285]	2.458e-06	0.0025	0.929	0.0
M1_matched_true_completeness	low_contamination(true<5)	CheckM2	z_log10_reference_Mbp	true_comp, true_comp^2, true_cont	1566	1112	0.5833	[0.359, 0.807]	3.733e-07	0.0011	0.9586	0.0
M1_matched_true_completeness	low_contamination(true<5)	CheckM2	z_log10_assembly_Mbp	true_comp, true_comp^2, true_cont	1566	1112	0.591	[0.365, 0.817]	3.443e-07	0.0011	0.9586	0.0
M1_matched_true_completeness	near_complete(true_comp>=90)	MAGICC_V5	z_log10_reference_Mbp	true_comp, true_comp^2, true_cont	2297	1251	0.8895	[0.326, 1.453]	1.994e-03	0.0156	0.0839	0.0
M1_matched_true_completeness	near_complete(true_comp>=90)	MAGICC_V5	z_log10_assembly_Mbp	true_comp, true_comp^2, true_cont	2297	1251	0.9036	[0.328, 1.479]	2.124e-03	0.0154	0.0837	0.0
M1_matched_true_completeness	near_complete(true_comp>=90)	CheckM2	z_log10_reference_Mbp	true_comp, true_comp^2, true_cont	2297	1251	2.4149	[2.200, 2.629]	1.522e-91	0.2912	0.4467	0.0
M1_matched_true_completeness	near_complete(true_comp>=90)	CheckM2	z_log10_assembly_Mbp	true_comp, true_comp^2, true_cont	2297	1251	2.4721	[2.252, 2.692]	3.038e-91	0.2911	0.4467	0.0
M1_matched_true_completeness	clean_AND_near_complete	MAGICC_V5	z_log10_reference_Mbp	true_comp, true_comp^2, true_cont	585	510	1.1377	[0.508, 1.767]	4.213e-04	0.0364	0.1699	0.0
M1_matched_true_completeness	clean_AND_near_complete	MAGICC_V5	z_log10_assembly_Mbp	true_comp, true_comp^2, true_cont	585	510	1.1347	[0.507, 1.763]	4.210e-04	0.0364	0.1699	0.0
M1_matched_true_completeness	clean_AND_near_complete	CheckM2	z_log10_reference_Mbp	true_comp, true_comp^2, true_cont	585	510	0.2366	[0.131, 0.342]	1.271e-05	0.0107	0.7227	0.0
M1_matched_true_completeness	clean_AND_near_complete	CheckM2	z_log10_assembly_Mbp	true_comp, true_comp^2, true_cont	585	510	0.236	[0.131, 0.341]	1.260e-05	0.0107	0.7227	0.0
