contamination_subset	reference_size_stratum	n	n_reference_clusters	ref_len_median_Mbp	MAGICC_implied_over_true_mean	MAGICC_ci95	CheckM2_implied_over_true_mean	CheckM2_ci95	ideal
all	<1 Mbp	789	95	0.81	1.0468	[1.026, 1.068]	1.0653	[1.055, 1.076]	1.0
all	1-1.5 Mbp	540	104	1.19	1.0292	[1.000, 1.061]	1.025	[1.011, 1.040]	1.0
all	1.5-2 Mbp	582	155	1.777	1.0079	[0.995, 1.022]	0.95	[0.940, 0.961]	1.0
all	2-3 Mbp	995	346	2.509	1.0014	[0.994, 1.009]	0.9519	[0.945, 0.959]	1.0
all	3-5 Mbp	1234	511	4.073	1.0037	[0.997, 1.011]	0.944	[0.935, 0.953]	1.0
all	>5 Mbp	860	437	5.695	0.9989	[0.993, 1.005]	0.9427	[0.936, 0.949]	1.0
true_cont<5	<1 Mbp	62	46	0.788	1.0931	[1.047, 1.144]	0.9971	[0.978, 1.017]	1.0
true_cont<5	1-1.5 Mbp	86	62	1.164	1.0166	[1.002, 1.032]	1.0072	[0.994, 1.019]	1.0
true_cont<5	1.5-2 Mbp	142	105	1.717	1.0223	[1.005, 1.045]	0.9996	[0.992, 1.008]	1.0
true_cont<5	2-3 Mbp	364	250	2.552	0.9995	[0.995, 1.005]	0.9851	[0.979, 0.991]	1.0
true_cont<5	3-5 Mbp	498	353	4.169	1.0002	[0.993, 1.008]	0.9926	[0.988, 0.997]	1.0
true_cont<5	>5 Mbp	414	296	5.718	0.9913	[0.986, 0.996]	0.9685	[0.964, 0.973]	1.0
