protocol	stratum	n	n_reference_clusters	comp_MAE_raw	comp_MAE_recal	comp_dMAE	comp_dMAE_ci95	comp_bias_raw	comp_bias_recal	comp_dbias	comp_dbias_ci95	cont_MAE_raw	cont_MAE_recal	cont_dMAE	cont_dMAE_ci95	cont_bias_raw	cont_bias_recal	cont_dbias	cont_dbias_ci95	lineage_novel_to_base_model
A. best-case known-lineage [fit n=48784 V5 test split, gbm]	ALL	5000	1648	4.618	4.991	0.373	[0.279, 0.465]	-0.867	-0.849	0.017	[-0.092, 0.127]	5.309	5.44	0.131	[0.075, 0.186]	-1.963	-0.969	0.994	[0.931, 1.058]	
A. best-case known-lineage [fit n=48784 V5 test split, gbm]	normal (>=2 Mbp)	3089	1294	3.901	4.323	0.422	[0.378, 0.467]	-0.194	-0.857	-0.663	[-0.707, -0.621]	3.901	4.082	0.181	[0.116, 0.244]	-1.053	0.21	1.263	[1.223, 1.305]	
A. best-case known-lineage [fit n=48784 V5 test split, gbm]	reduced (<2 Mbp)	1911	354	5.777	6.07	0.293	[0.056, 0.514]	-1.955	-0.838	1.117	[0.911, 1.326]	7.584	7.635	0.051	[-0.052, 0.153]	-3.432	-2.874	0.558	[0.429, 0.686]	
A. best-case known-lineage [fit n=48784 V5 test split, gbm]	ref <1 Mbp	789	95	6.405	6.403	-0.003	[-0.518, 0.479]	-3.289	-1.124	2.165	[1.831, 2.499]	9.125	9.42	0.295	[0.157, 0.442]	-4.945	-4.954	-0.009	[-0.177, 0.157]	
A. best-case known-lineage [fit n=48784 V5 test split, gbm]	ref 1-1.5 Mbp	540	104	6.355	7.001	0.646	[0.314, 0.968]	-1.604	-0.8	0.804	[0.489, 1.113]	7.137	7.194	0.057	[-0.116, 0.238]	-2.615	-2.254	0.362	[0.175, 0.542]	
A. best-case known-lineage [fit n=48784 V5 test split, gbm]	ref 1.5-2 Mbp	582	155	4.39	4.757	0.367	[0.258, 0.478]	-0.473	-0.485	-0.012	[-0.146, 0.117]	5.91	5.623	-0.287	[-0.469, -0.094]	-2.139	-0.63	1.509	[1.410, 1.601]	
A. best-case known-lineage [fit n=48784 V5 test split, gbm]	ref 2-3 Mbp	995	346	3.534	4.042	0.508	[0.433, 0.584]	-0.118	-0.61	-0.492	[-0.576, -0.410]	4.036	4.121	0.085	[-0.044, 0.218]	-2.02	-0.464	1.556	[1.487, 1.625]	
A. best-case known-lineage [fit n=48784 V5 test split, gbm]	ref 3-5 Mbp	1234	511	4.281	4.698	0.417	[0.346, 0.488]	-0.34	-1.115	-0.775	[-0.832, -0.718]	4.025	4.178	0.153	[0.065, 0.247]	-1.02	0.141	1.161	[1.112, 1.209]	
A. best-case known-lineage [fit n=48784 V5 test split, gbm]	ref >5 Mbp	860	437	3.779	4.109	0.33	[0.242, 0.419]	-0.072	-0.772	-0.7	[-0.783, -0.622]	3.567	3.898	0.331	[0.233, 0.431]	0.017	1.088	1.071	[1.007, 1.139]	
A. best-case known-lineage [fit n=48784 V5 test split, gbm]	set:set_A_v2	1000	798	2.177	2.475	0.298	[0.219, 0.374]	0.092	-0.654	-0.746	[-0.815, -0.680]	0.829	1.39	0.562	[0.505, 0.620]	0.829	1.39	0.562	[0.505, 0.621]	
A. best-case known-lineage [fit n=48784 V5 test split, gbm]	set:set_B_v2	1000	803	2.972	3.944	0.971	[0.903, 1.036]	-2.972	-3.944	-0.971	[-1.040, -0.903]	4.453	4.661	0.207	[0.089, 0.325]	-0.136	1.643	1.779	[1.724, 1.831]	
A. best-case known-lineage [fit n=48784 V5 test split, gbm]	set:set_C_clean	1000	100	6.822	6.964	0.143	[-0.292, 0.560]	-2.32	-0.351	1.969	[1.669, 2.290]	9.08	9.303	0.223	[0.097, 0.349]	-3.554	-3.627	-0.073	[-0.222, 0.066]	
A. best-case known-lineage [fit n=48784 V5 test split, gbm]	set:set_D_clean	1000	100	5.633	5.805	0.172	[0.068, 0.274]	-0.262	-0.07	0.193	[0.052, 0.347]	6.523	6.253	-0.27	[-0.409, -0.122]	-3.834	-2.341	1.493	[1.386, 1.591]	
A. best-case known-lineage [fit n=48784 V5 test split, gbm]	set:set_E	1000	785	5.486	5.766	0.28	[0.205, 0.355]	1.128	0.771	-0.357	[-0.431, -0.280]	5.658	5.592	-0.066	[-0.156, 0.024]	-3.118	-1.908	1.21	[1.154, 1.266]	
A. best-case known-lineage [fit n=48784 V5 test split, gbm]	ANCHOR set_C_clean clean+HQ	30	25	9.382	8.342	-1.04	[-2.139, 0.105]	-8.677	-7.76	0.917	[-0.247, 2.012]	5.954	6.926	0.971	[0.352, 1.589]	5.091	6.898	1.807	[1.146, 2.462]	
A. best-case known-lineage [fit n=48784 V5 test split, linear]	ALL	5000	1648	4.618	5.007	0.389	[0.323, 0.454]	-0.867	-0.931	-0.064	[-0.149, 0.019]	5.309	5.595	0.286	[0.234, 0.339]	-1.963	-0.688	1.275	[1.241, 1.310]	
A. best-case known-lineage [fit n=48784 V5 test split, linear]	normal (>=2 Mbp)	3089	1294	3.901	4.417	0.516	[0.474, 0.559]	-0.194	-0.854	-0.66	[-0.706, -0.614]	3.901	4.434	0.533	[0.473, 0.595]	-1.053	0.444	1.497	[1.475, 1.520]	
A. best-case known-lineage [fit n=48784 V5 test split, linear]	reduced (<2 Mbp)	1911	354	5.777	5.96	0.182	[0.023, 0.332]	-1.955	-1.055	0.9	[0.765, 1.038]	7.584	7.472	-0.113	[-0.189, -0.034]	-3.432	-2.516	0.916	[0.858, 0.974]	
A. best-case known-lineage [fit n=48784 V5 test split, linear]	ref <1 Mbp	789	95	6.405	6.179	-0.226	[-0.543, 0.087]	-3.289	-1.536	1.753	[1.569, 1.940]	9.125	8.876	-0.249	[-0.346, -0.146]	-4.945	-4.369	0.576	[0.490, 0.662]	
A. best-case known-lineage [fit n=48784 V5 test split, linear]	ref 1-1.5 Mbp	540	104	6.355	6.739	0.384	[0.153, 0.596]	-1.604	-0.911	0.692	[0.510, 0.861]	7.137	7.08	-0.057	[-0.206, 0.111]	-2.615	-1.616	1.0	[0.923, 1.084]	
A. best-case known-lineage [fit n=48784 V5 test split, linear]	ref 1.5-2 Mbp	582	155	4.39	4.939	0.549	[0.430, 0.685]	-0.473	-0.537	-0.064	[-0.217, 0.076]	5.91	5.931	0.02	[-0.126, 0.181]	-2.139	-0.839	1.3	[1.237, 1.366]	
A. best-case known-lineage [fit n=48784 V5 test split, linear]	ref 2-3 Mbp	995	346	3.534	4.184	0.65	[0.573, 0.734]	-0.118	-0.613	-0.495	[-0.591, -0.403]	4.036	4.386	0.35	[0.240, 0.469]	-2.02	-0.556	1.464	[1.421, 1.509]	
A. best-case known-lineage [fit n=48784 V5 test split, linear]	ref 3-5 Mbp	1234	511	4.281	4.716	0.435	[0.372, 0.503]	-0.34	-1.008	-0.668	[-0.738, -0.604]	4.025	4.539	0.515	[0.420, 0.614]	-1.02	0.474	1.494	[1.459, 1.532]	
A. best-case known-lineage [fit n=48784 V5 test split, linear]	ref >5 Mbp	860	437	3.779	4.257	0.478	[0.410, 0.547]	-0.072	-0.911	-0.84	[-0.895, -0.783]	3.567	4.338	0.771	[0.680, 0.866]	0.017	1.555	1.538	[1.507, 1.571]	
A. best-case known-lineage [fit n=48784 V5 test split, linear]	set:set_A_v2	1000	798	2.177	2.701	0.524	[0.445, 0.606]	0.092	-0.788	-0.88	[-0.951, -0.806]	0.829	2.228	1.4	[1.365, 1.436]	0.829	2.228	1.4	[1.364, 1.435]	
A. best-case known-lineage [fit n=48784 V5 test split, linear]	set:set_B_v2	1000	803	2.972	4.014	1.042	[0.985, 1.100]	-2.972	-4.014	-1.042	[-1.101, -0.984]	4.453	4.829	0.376	[0.264, 0.491]	-0.136	1.749	1.885	[1.864, 1.905]	
A. best-case known-lineage [fit n=48784 V5 test split, linear]	set:set_C_clean	1000	100	6.822	6.75	-0.072	[-0.348, 0.196]	-2.32	-0.753	1.567	[1.398, 1.740]	9.08	8.895	-0.185	[-0.290, -0.075]	-3.554	-2.893	0.661	[0.579, 0.737]	
A. best-case known-lineage [fit n=48784 V5 test split, linear]	set:set_D_clean	1000	100	5.633	5.81	0.177	[0.091, 0.263]	-0.262	0.027	0.289	[0.192, 0.393]	6.523	6.278	-0.245	[-0.342, -0.144]	-3.834	-2.716	1.118	[1.071, 1.164]	
A. best-case known-lineage [fit n=48784 V5 test split, linear]	set:set_E	1000	785	5.486	5.758	0.273	[0.211, 0.335]	1.128	0.875	-0.253	[-0.312, -0.193]	5.658	5.744	0.086	[0.002, 0.170]	-3.118	-1.807	1.312	[1.281, 1.343]	
A. best-case known-lineage [fit n=48784 V5 test split, linear]	ANCHOR set_C_clean clean+HQ	30	25	9.382	8.694	-0.688	[-1.328, -0.034]	-8.677	-8.081	0.596	[-0.101, 1.248]	5.954	6.314	0.36	[-0.008, 0.740]	5.091	6.062	0.971	[0.691, 1.268]	
B. NOVEL-lineage transfer [holdout model, fit n=47015 in-distribution, gbm]	group:Bacteroidota	1000	100	13.443	12.975	-0.468	[-0.634, -0.304]	-0.559	-0.946	-0.387	[-0.613, -0.153]	15.856	16.079	0.224	[0.071, 0.369]	6.949	8.049	1.099	[1.006, 1.195]	YES
C. ORACLE within-lineage [holdout model, fit ON the lineage, ref-disjoint 5-fold, gbm]	group:Bacteroidota	1000	100	13.443	10.704	-2.739	[-3.558, -1.901]	-0.559	-0.176	0.383	[-1.058, 1.850]	15.856	12.871	-2.985	[-4.178, -1.759]	6.949	-0.06	-7.01	[-8.338, -5.624]	YES
B. NOVEL-lineage transfer [holdout model, fit n=47015 in-distribution, gbm]	group:Bacteroidota_A	990	66	12.451	12.447	-0.004	[-0.168, 0.152]	-1.132	-1.819	-0.687	[-0.884, -0.493]	14.3	14.613	0.314	[0.103, 0.516]	2.736	3.821	1.085	[0.992, 1.177]	YES
C. ORACLE within-lineage [holdout model, fit ON the lineage, ref-disjoint 5-fold, gbm]	group:Bacteroidota_A	990	66	12.451	9.658	-2.793	[-3.684, -1.900]	-1.132	-0.165	0.967	[-0.629, 2.418]	14.3	11.281	-3.019	[-4.344, -1.735]	2.736	-0.13	-2.866	[-4.588, -1.232]	YES
