protocol	stratum	n	n_reference_clusters	comp_MAE_raw	comp_MAE_recal	comp_dMAE	comp_dMAE_ci95	comp_dMAE_p	comp_bias_raw	comp_bias_recal	comp_dbias	comp_dbias_ci95	cont_MAE_raw	cont_MAE_recal	cont_dMAE	cont_dMAE_ci95	cont_dMAE_p	cont_bias_raw	cont_bias_recal	cont_dbias	cont_dbias_ci95
CV-A reference-disjoint [linear]	ALL	5000	1648	4.618	4.677	0.059	[-0.026, 0.140]	0.1668	-0.867	-0.125	0.742	[0.663, 0.826]	5.309	5.116	-0.193	[-0.304, -0.083]	0.0004	-1.963	0.148	2.111	[2.019, 2.194]
CV-A reference-disjoint [linear]	normal (>=2 Mbp)	3089	1294	3.901	3.99	0.09	[0.026, 0.156]	0.0080	-0.194	0.237	0.431	[0.370, 0.493]	3.901	3.972	0.072	[-0.022, 0.166]	0.1428	-1.053	0.538	1.591	[1.487, 1.696]
CV-A reference-disjoint [linear]	reduced (<2 Mbp)	1911	354	5.777	5.786	0.009	[-0.184, 0.197]	0.9170	-1.955	-0.709	1.246	[1.085, 1.408]	7.584	6.964	-0.62	[-0.860, -0.376]	0.0004	-3.432	-0.481	2.951	[2.847, 3.054]
CV-A reference-disjoint [linear]	ref <1 Mbp	789	95	6.405	5.98	-0.426	[-0.804, -0.054]	0.0248	-3.289	-1.24	2.049	[1.789, 2.308]	9.125	8.124	-1.001	[-1.400, -0.595]	0.0004	-4.945	-1.784	3.161	[3.039, 3.285]
CV-A reference-disjoint [linear]	ref 1-1.5 Mbp	540	104	6.355	6.59	0.235	[-0.010, 0.479]	0.0580	-1.604	-0.625	0.979	[0.770, 1.185]	7.137	6.827	-0.31	[-0.747, 0.145]	0.1876	-2.615	0.381	2.997	[2.776, 3.192]
CV-A reference-disjoint [linear]	ref 1.5-2 Mbp	582	155	4.39	4.779	0.389	[0.194, 0.590]	0.0004	-0.473	-0.067	0.406	[0.199, 0.608]	5.91	5.518	-0.392	[-0.740, -0.033]	0.0368	-2.139	0.484	2.624	[2.398, 2.822]
CV-A reference-disjoint [linear]	ref 2-3 Mbp	995	346	3.534	3.994	0.46	[0.346, 0.578]	0.0004	-0.118	0.154	0.272	[0.158, 0.388]	4.036	3.816	-0.219	[-0.386, -0.055]	0.0104	-2.02	-0.103	1.917	[1.743, 2.072]
CV-A reference-disjoint [linear]	ref 3-5 Mbp	1234	511	4.281	4.286	0.005	[-0.095, 0.105]	0.8914	-0.34	0.091	0.431	[0.342, 0.521]	4.025	4.034	0.009	[-0.156, 0.172]	0.8970	-1.02	0.603	1.623	[1.440, 1.799]
CV-A reference-disjoint [linear]	ref >5 Mbp	860	437	3.779	3.562	-0.217	[-0.338, -0.096]	0.0012	-0.072	0.543	0.614	[0.500, 0.732]	3.567	4.065	0.499	[0.350, 0.647]	0.0004	0.017	1.185	1.168	[1.020, 1.317]
CV-A reference-disjoint [linear]	set:set_A_v2	1000	798	2.177	2.545	0.369	[0.272, 0.463]	0.0004	0.092	0.774	0.682	[0.586, 0.780]	0.829	1.33	0.502	[0.429, 0.575]	0.0004	0.829	1.33	0.502	[0.430, 0.575]
CV-A reference-disjoint [linear]	set:set_B_v2	1000	803	2.972	2.765	-0.207	[-0.320, -0.098]	0.0012	-2.972	-2.765	0.207	[0.101, 0.315]	4.453	4.418	-0.036	[-0.154, 0.081]	0.5419	-0.136	0.883	1.018	[0.903, 1.135]
CV-A reference-disjoint [linear]	set:set_C_clean	1000	100	6.822	6.534	-0.288	[-0.616, 0.024]	0.0732	-2.32	-0.546	1.773	[1.527, 2.024]	9.08	8.468	-0.612	[-1.008, -0.206]	0.0032	-3.554	-0.223	3.331	[3.217, 3.441]
