protocol	stratum	n	n_reference_clusters	comp_MAE_raw	comp_MAE_recal	comp_dMAE	comp_dMAE_ci95	comp_dMAE_p	comp_bias_raw	comp_bias_recal	comp_dbias	comp_dbias_ci95	cont_MAE_raw	cont_MAE_recal	cont_dMAE	cont_dMAE_ci95	cont_dMAE_p	cont_bias_raw	cont_bias_recal	cont_dbias	cont_dbias_ci95	held_out_group	base_model	recalibrator
CV-D novel lineage [holdout_model + linear]	ALL	1000	100	13.443	11.925	-1.517	[-1.871, -1.192]	0.0004	-0.559	-1.368	-0.81	[-1.352, -0.285]	15.856	15.977	0.121	[-0.159, 0.390]	0.3771	6.949	8.974	2.025	[1.862, 2.205]	Bacteroidota	holdout_model	linear
CV-D novel lineage [holdout_model + linear]	normal (>=2 Mbp)	950	95	13.359	11.796	-1.563	[-1.910, -1.225]	0.0004	0.105	-0.803	-0.908	[-1.476, -0.367]	15.831	16.058	0.227	[-0.050, 0.486]	0.1076	7.786	9.809	2.023	[1.860, 2.195]	Bacteroidota	holdout_model	linear
CV-D novel lineage [holdout_model + linear]	reduced (<2 Mbp)	50	5	15.031	14.388	-0.643	[-1.904, 0.772]	0.3735	-13.165	-12.111	1.055	[-0.193, 1.930]	16.319	14.443	-1.875	[-2.730, -1.021]	0.0004	-8.942	-6.883	2.06	[0.909, 3.176]	Bacteroidota	holdout_model	linear
CV-D novel lineage [holdout_model + linear]	ALL	990	66	12.451	11.462	-0.988	[-1.292, -0.692]	0.0004	-1.132	-1.721	-0.589	[-1.041, -0.134]	14.3	14.292	-0.007	[-0.358, 0.321]	0.9602	2.736	5.154	2.418	[2.203, 2.632]	Bacteroidota_A	holdout_model	linear
CV-D novel lineage [holdout_model + linear]	normal (>=2 Mbp)	975	65	12.402	11.417	-0.985	[-1.280, -0.695]	0.0004	-0.909	-1.526	-0.617	[-1.071, -0.164]	14.123	14.163	0.04	[-0.304, 0.367]	0.7906	3.175	5.582	2.407	[2.193, 2.626]	Bacteroidota_A	holdout_model	linear
CV-D novel lineage [holdout_model + linear]	reduced (<2 Mbp)	15	1	15.619	14.389	-1.229	[-1.229, -1.229]	0.0004	-15.619	-14.389	1.229	[1.229, 1.229]	25.808	22.694	-3.114	[-3.114, -3.114]	0.0004	-25.808	-22.694	3.114	[3.114, 3.114]	Bacteroidota_A	holdout_model	linear
CV-D novel lineage [holdout_model + linear]	ALL	1000	100	6.582	6.709	0.127	[0.017, 0.239]	0.0236	0.741	0.79	0.048	[-0.089, 0.186]	12.283	11.478	-0.805	[-0.905, -0.703]	0.0004	-11.389	-10.351	1.038	[0.939, 1.144]	Campylobacterota	holdout_model	linear
CV-D novel lineage [holdout_model + linear]	normal (>=2 Mbp)	70	7	10.91	10.813	-0.097	[-0.554, 0.269]	0.6959	6.759	5.839	-0.92	[-1.493, -0.344]	8.995	8.373	-0.621	[-0.889, -0.295]	0.0004	-6.804	-5.6	1.204	[0.860, 1.535]	Campylobacterota	holdout_model	linear
CV-D novel lineage [holdout_model + linear]	reduced (<2 Mbp)	930	93	6.256	6.4	0.144	[0.028, 0.259]	0.0164	0.288	0.41	0.121	[-0.006, 0.250]	12.531	11.712	-0.819	[-0.926, -0.714]	0.0004	-11.734	-10.708	1.026	[0.919, 1.136]	Campylobacterota	holdout_model	linear
CV-D novel lineage [holdout_model + linear]	ALL	996	83	23.947	23.744	-0.203	[-0.466, 0.094]	0.1716	-23.646	-23.43	0.216	[-0.079, 0.495]	18.407	17.886	-0.521	[-0.632, -0.408]	0.0004	-16.33	-15.701	0.629	[0.510, 0.748]	DPANN	holdout_model	linear
CV-D novel lineage [holdout_model + linear]	reduced (<2 Mbp)	996	83	23.947	23.744	-0.203	[-0.477, 0.090]	0.1684	-23.646	-23.43	0.216	[-0.083, 0.497]	18.407	17.886	-0.521	[-0.637, -0.407]	0.0004	-16.33	-15.701	0.629	[0.508, 0.753]	DPANN	holdout_model	linear
CV-D novel lineage [holdout_model + linear]	ALL	1008	72	10.839	10.139	-0.7	[-0.929, -0.477]	0.0004	-0.735	-1.077	-0.342	[-0.745, 0.073]	12.281	12.117	-0.164	[-0.365, 0.027]	0.0896	1.171	3.104	1.934	[1.740, 2.124]	Halobacteriota	holdout_model	linear
CV-D novel lineage [holdout_model + linear]	normal (>=2 Mbp)	882	63	10.781	10.065	-0.717	[-0.970, -0.472]	0.0004	0.548	0.013	-0.536	[-0.976, -0.100]	12.261	12.093	-0.169	[-0.371, 0.037]	0.1028	1.549	3.619	2.07	[1.873, 2.259]	Halobacteriota	holdout_model	linear
CV-D novel lineage [holdout_model + linear]	reduced (<2 Mbp)	126	9	11.241	10.656	-0.585	[-1.191, 0.020]	0.0592	-9.714	-8.7	1.014	[0.304, 1.721]	12.419	12.289	-0.13	[-0.776, 0.406]	0.6991	-1.475	-0.497	0.979	[0.627, 1.385]	Halobacteriota	holdout_model	linear
CV-D novel lineage [holdout_model + linear]	ALL	1000	100	30.015	30.394	0.38	[0.056, 0.691]	0.0212	-30.0	-30.39	-0.39	[-0.709, -0.073]	20.752	20.097	-0.655	[-0.765, -0.547]	0.0004	-17.341	-16.56	0.78	[0.643, 0.914]	Patescibacteriota	holdout_model	linear
CV-D novel lineage [holdout_model + linear]	reduced (<2 Mbp)	1000	100	30.015	30.394	0.38	[0.055, 0.700]	0.0260	-30.0	-30.39	-0.39	[-0.715, -0.065]	20.752	20.097	-0.655	[-0.764, -0.547]	0.0004	-17.341	-16.56	0.78	[0.647, 0.918]	Patescibacteriota	holdout_model	linear
CV-D novel lineage [holdout_model + linear]	ALL	1000	100	6.196	6.25	0.055	[-0.199, 0.299]	0.6495	0.789	-0.012	-0.801	[-1.120, -0.497]	6.973	6.983	0.009	[-0.245, 0.269]	0.9830	-1.988	-0.077	1.911	[1.640, 2.188]	in_distribution (CONTROL, ref-disjoint CV)	holdout_model	linear
CV-D novel lineage [holdout_model + linear]	normal (>=2 Mbp)	870	87	6.333	6.376	0.043	[-0.232, 0.298]	0.7403	1.34	0.304	-1.036	[-1.363, -0.724]	6.963	6.941	-0.022	[-0.281, 0.255]	0.8978	-2.011	0.134	2.145	[1.887, 2.423]	in_distribution (CONTROL, ref-disjoint CV)	holdout_model	linear
CV-D novel lineage [holdout_model + linear]	reduced (<2 Mbp)	130	13	5.276	5.408	0.132	[-0.442, 0.652]	0.6115	-2.903	-2.13	0.773	[0.117, 1.362]	7.043	7.261	0.218	[-0.458, 1.027]	0.6195	-1.836	-1.493	0.344	[-0.432, 0.961]	in_distribution (CONTROL, ref-disjoint CV)	holdout_model	linear
CV-D novel lineage [holdout_model + gbm]	ALL	1000	100	13.443	11.809	-1.634	[-1.986, -1.279]	0.0004	-0.559	-1.102	-0.544	[-1.115, 0.014]	15.856	16.041	0.186	[-0.134, 0.506]	0.2639	6.949	8.88	1.93	[1.660, 2.193]	Bacteroidota	holdout_model	gbm
CV-D novel lineage [holdout_model + gbm]	normal (>=2 Mbp)	950	95	13.359	11.678	-1.681	[-2.061, -1.328]	0.0004	0.105	-0.536	-0.641	[-1.239, -0.062]	15.831	16.144	0.312	[0.004, 0.628]	0.0468	7.786	9.671	1.885	[1.621, 2.154]	Bacteroidota	holdout_model	gbm
CV-D novel lineage [holdout_model + gbm]	reduced (<2 Mbp)	50	5	15.031	14.297	-0.734	[-2.278, 1.071]	0.3883	-13.165	-11.854	1.311	[-0.290, 2.342]	16.319	14.098	-2.221	[-3.408, -0.939]	0.0012	-8.942	-6.152	2.79	[1.541, 3.699]	Bacteroidota	holdout_model	gbm
CV-D novel lineage [holdout_model + gbm]	ALL	990	66	12.451	11.406	-1.045	[-1.406, -0.691]	0.0004	-1.132	-1.596	-0.464	[-1.001, 0.058]	14.3	14.239	-0.061	[-0.458, 0.323]	0.7826	2.736	4.861	2.125	[1.784, 2.480]	Bacteroidota_A	holdout_model	gbm
CV-D novel lineage [holdout_model + gbm]	normal (>=2 Mbp)	975	65	12.402	11.366	-1.036	[-1.399, -0.680]	0.0004	-0.909	-1.405	-0.496	[-1.040, 0.033]	14.123	14.114	-0.008	[-0.382, 0.360]	0.9806	3.175	5.279	2.104	[1.760, 2.467]	Bacteroidota_A	holdout_model	gbm
CV-D novel lineage [holdout_model + gbm]	reduced (<2 Mbp)	15	1	15.619	13.965	-1.653	[-1.653, -1.653]	0.0004	-15.619	-13.965	1.653	[1.653, 1.653]	25.808	22.309	-3.499	[-3.499, -3.499]	0.0004	-25.808	-22.309	3.499	[3.499, 3.499]	Bacteroidota_A	holdout_model	gbm
