source	input_mode	threads	extension_flag	output_tsv_sha256	rows	model_provenance	model_sha256
PyPI magicc==0.3.1 (fresh venv, py3.12.3)	gz	4	--extension auto	bb7825cea40ddbc1dca159172b451ef714d66edc9c1ba705e2ce1af104805ee5	25	downloaded at run time from github raw/main	b84346650ce21a66acd488e9f2eab1ca72333ba4dd50fed79070ec182b2b3096
PyPI magicc==0.3.1 (fresh venv, py3.12.3)	gz	1	(default .fasta)	bb7825cea40ddbc1dca159172b451ef714d66edc9c1ba705e2ce1af104805ee5	25	downloaded at run time from github raw/main	b84346650ce21a66acd488e9f2eab1ca72333ba4dd50fed79070ec182b2b3096
PyPI magicc==0.3.1 (fresh venv, py3.12.3)	gz	4	(default .fasta)	bb7825cea40ddbc1dca159172b451ef714d66edc9c1ba705e2ce1af104805ee5	25	downloaded at run time from github raw/main	b84346650ce21a66acd488e9f2eab1ca72333ba4dd50fed79070ec182b2b3096
PyPI magicc==0.3.1 (fresh venv, py3.12.3)	list	1	(default .fasta)	bb7825cea40ddbc1dca159172b451ef714d66edc9c1ba705e2ce1af104805ee5	25	downloaded at run time from github raw/main	b84346650ce21a66acd488e9f2eab1ca72333ba4dd50fed79070ec182b2b3096
PyPI magicc==0.3.1 (fresh venv, py3.12.3)	list	4	(default .fasta)	bb7825cea40ddbc1dca159172b451ef714d66edc9c1ba705e2ce1af104805ee5	25	downloaded at run time from github raw/main	b84346650ce21a66acd488e9f2eab1ca72333ba4dd50fed79070ec182b2b3096
PyPI magicc==0.3.1 (fresh venv, py3.12.3)	plain	1	--extension auto	bb7825cea40ddbc1dca159172b451ef714d66edc9c1ba705e2ce1af104805ee5	25	downloaded at run time from github raw/main	b84346650ce21a66acd488e9f2eab1ca72333ba4dd50fed79070ec182b2b3096
PyPI magicc==0.3.1 (fresh venv, py3.12.3)	plain	1	(default .fasta)	bb7825cea40ddbc1dca159172b451ef714d66edc9c1ba705e2ce1af104805ee5	25	downloaded at run time from github raw/main	b84346650ce21a66acd488e9f2eab1ca72333ba4dd50fed79070ec182b2b3096
PyPI magicc==0.3.1 (fresh venv, py3.12.3)	plain	4	(default .fasta)	bb7825cea40ddbc1dca159172b451ef714d66edc9c1ba705e2ce1af104805ee5	25	downloaded at run time from github raw/main	b84346650ce21a66acd488e9f2eab1ca72333ba4dd50fed79070ec182b2b3096
GitHub tag v0.3.1 (fresh venv, py3.12.3)	gz	4	--extension auto	bb7825cea40ddbc1dca159172b451ef714d66edc9c1ba705e2ce1af104805ee5	25	models/magicc_v5.onnx from the tag (Git LFS)	b84346650ce21a66acd488e9f2eab1ca72333ba4dd50fed79070ec182b2b3096
GitHub tag v0.3.1 (fresh venv, py3.12.3)	gz	1	(default .fasta)	bb7825cea40ddbc1dca159172b451ef714d66edc9c1ba705e2ce1af104805ee5	25	models/magicc_v5.onnx from the tag (Git LFS)	b84346650ce21a66acd488e9f2eab1ca72333ba4dd50fed79070ec182b2b3096
