competitor	distance	arm	n_reference_pairs	mean_advantage_redundant	mean_advantage_arm	hl_diff_arm_minus_redundant	diff_ci_lo	diff_ci_hi	rank_biserial	p_wilcoxon_paired_by_reference	q_bh	verdict
checkm2	ALL	NON_REDUNDANT(replaced+single)	100	-0.8659	2.73	3.2043	2.0936	4.4415	0.6408	2.6485745381729024e-08	4.635005441802579e-08	MAGICC advantage LARGER on this non-redundant arm
checkm2	ALL	replaced	100	-0.8659	3.0064	3.545	2.3867	4.8804	0.6737	4.957557153988046e-09	1.0075035506491836e-08	MAGICC advantage LARGER on this non-redundant arm
checkm2	ALL	single	100	-0.8659	2.4537	2.8396	1.8103	3.9979	0.6095	1.2126284110596416e-07	2.010410260440985e-07	MAGICC advantage LARGER on this non-redundant arm
checkm2	species	NON_REDUNDANT(replaced+single)	100	-6.364	-0.0632	6.0226	4.8791	7.2469	0.8966	7.0062856931374904e-15	5.5174499833457734e-14	MAGICC advantage LARGER on this non-redundant arm
checkm2	species	replaced	100	-6.364	-0.2805	5.8946	4.5876	7.0805	0.8851	1.534086101076588e-14	9.664742436782505e-14	MAGICC advantage LARGER on this non-redundant arm
checkm2	species	single	100	-6.364	0.154	6.131	4.8148	7.3701	0.9057	3.7369878171040194e-15	3.363289035393617e-14	MAGICC advantage LARGER on this non-redundant arm
checkm2	genus	NON_REDUNDANT(replaced+single)	100	-5.4139	0.4295	5.545	4.2229	6.954	0.836	3.9197457473169017e-13	1.54339988800603e-12	MAGICC advantage LARGER on this non-redundant arm
checkm2	genus	replaced	100	-5.4139	0.2836	5.4685	4.0937	6.874	0.8131	1.6784884860821076e-12	4.806580664689671e-12	MAGICC advantage LARGER on this non-redundant arm
checkm2	genus	single	100	-5.4139	0.5755	5.6292	4.3876	6.9371	0.836	3.9197457473169017e-13	1.54339988800603e-12	MAGICC advantage LARGER on this non-redundant arm
checkm2	family	NON_REDUNDANT(replaced+single)	100	-2.423	1.9376	4.3282	3.0325	5.4464	0.7117	6.464396115495318e-10	1.4544891259864465e-09	MAGICC advantage LARGER on this non-redundant arm
checkm2	family	replaced	100	-2.423	2.2819	4.6492	3.3442	5.95	0.7259	2.929781311502822e-10	6.836156393506585e-10	MAGICC advantage LARGER on this non-redundant arm
checkm2	family	single	100	-2.423	1.5933	3.782	2.5453	5.0518	0.6729	5.166648052934121e-09	1.017183835421405e-08	MAGICC advantage LARGER on this non-redundant arm
checkm2	order	NON_REDUNDANT(replaced+single)	100	0.9375	3.9611	2.3813	1.1505	3.7541	0.4697	4.5453436621012654e-05	6.225144580703907e-05	MAGICC advantage LARGER on this non-redundant arm
checkm2	order	replaced	100	0.9375	4.479	2.9299	1.5626	4.285	0.5366	3.1785700721120267e-06	5.0062478635764425e-06	MAGICC advantage LARGER on this non-redundant arm
checkm2	order	single	100	0.9375	3.4432	1.8444	0.7603	3.0057	0.3945	0.000615769688999271	0.0008081977168115433	MAGICC advantage LARGER on this non-redundant arm
checkm2	class	NON_REDUNDANT(replaced+single)	100	2.7911	5.2096	1.9406	0.9457	3.2907	0.4071	0.0004083960555564732	0.00054742450000123	MAGICC advantage LARGER on this non-redundant arm
checkm2	class	replaced	100	2.7911	5.8581	2.3679	1.2124	3.8244	0.4907	2.0434964969944978e-05	2.9259154388784853e-05	MAGICC advantage LARGER on this non-redundant arm
checkm2	class	single	100	2.7911	4.561	1.4697	0.4185	2.642	0.3184	0.0057025281218700844	0.00653198675777846	MAGICC advantage LARGER on this non-redundant arm
checkm2	phylum	NON_REDUNDANT(replaced+single)	100	5.2769	4.9055	0.1869	-0.7524	1.3881	0.0451	0.695081095368113	0.717870639478543	uniform (no type specificity)
checkm2	phylum	replaced	100	5.2769	5.416	0.596	-0.4239	1.8911	0.1149	0.3187090789328131	0.35225740303100395	uniform (no type specificity)
checkm2	phylum	single	100	5.2769	4.3951	-0.0634	-1.0209	0.9543	-0.0162	0.8878926004885652	0.9022134488835422	uniform (no type specificity)
cocopye	ALL	NON_REDUNDANT(replaced+single)	100	0.4992	1.9223	1.2018	0.3557	2.0885	0.3354	0.0035882251228733166	0.004265248730962621	MAGICC advantage LARGER on this non-redundant arm
cocopye	ALL	replaced	100	0.4992	3.0159	2.1249	1.1152	3.3808	0.5061	1.11192093310351e-05	1.7085614337931983e-05	MAGICC advantage LARGER on this non-redundant arm
cocopye	ALL	single	100	0.4992	0.8287	0.2134	-0.4717	0.8813	0.065	0.5728322123507377	0.622214299622353	uniform (no type specificity)
cocopye	species	NON_REDUNDANT(replaced+single)	100	-4.8706	0.1306	4.6997	3.4878	5.8601	0.8186	1.1857744591583673e-12	4.1502106070542854e-12	MAGICC advantage LARGER on this non-redundant arm
cocopye	species	replaced	100	-4.8706	-0.3205	4.3512	3.1946	5.4993	0.7608	3.974582501006171e-11	1.0433279065141198e-10	MAGICC advantage LARGER on this non-redundant arm
cocopye	species	single	100	-4.8706	0.5817	5.0102	3.8178	6.3477	0.815	1.48297268301825e-12	4.44891804905475e-12	MAGICC advantage LARGER on this non-redundant arm
cocopye	genus	NON_REDUNDANT(replaced+single)	100	-3.3883	0.2508	3.3647	2.2218	4.5821	0.6756	4.4702031274545934e-09	9.387426567654646e-09	MAGICC advantage LARGER on this non-redundant arm
cocopye	genus	replaced	100	-3.3883	0.2785	3.4666	2.3392	4.6378	0.6543	1.3460606544893094e-08	2.494171212730191e-08	MAGICC advantage LARGER on this non-redundant arm
cocopye	genus	single	100	-3.3883	0.2231	3.2794	2.1817	4.478	0.6491	1.746378554002198e-08	3.1434813972039565e-08	MAGICC advantage LARGER on this non-redundant arm
cocopye	family	NON_REDUNDANT(replaced+single)	100	-0.2248	1.3517	1.3112	0.4888	2.3412	0.341	0.0030724215044493825	0.003795344211378649	MAGICC advantage LARGER on this non-redundant arm
cocopye	family	replaced	100	-0.2248	2.296	2.273	1.2532	3.5136	0.4828	2.7733863482427985e-05	3.882740887539918e-05	MAGICC advantage LARGER on this non-redundant arm
cocopye	family	single	100	-0.2248	0.4075	0.46	-0.3733	1.3357	0.1188	0.3023076019657809	0.3400960522115035	uniform (no type specificity)
