tool	contamination_type	distance	n	n_dropped	cont_bias	cont_mae
magicc_v5	redundant	species	100	0	-7.9906	8.6026
magicc_v5	redundant	genus	100	0	-7.2619	7.881
magicc_v5	redundant	family	100	0	-5.649	6.2675
magicc_v5	redundant	order	100	0	-3.3102	4.1321
magicc_v5	redundant	class	100	0	-1.8346	2.7932
magicc_v5	redundant	phylum	100	0	-0.6026	2.7316
magicc_v5	replaced	species	100	0	-8.9034	8.9635
magicc_v5	replaced	genus	100	0	-8.2568	8.3174
magicc_v5	replaced	family	100	0	-5.9374	6.1804
magicc_v5	replaced	order	100	0	-3.3128	4.0213
magicc_v5	replaced	class	100	0	-1.0386	2.4991
magicc_v5	replaced	phylum	100	0	-0.3033	2.529
magicc_v5	single	species	70	30	-6.7525	6.87
magicc_v5	single	genus	100	0	-7.68	7.7545
magicc_v5	single	family	100	0	-6.345	6.4802
magicc_v5	single	order	100	0	-4.1786	4.5631
magicc_v5	single	class	100	0	-2.8094	3.4636
magicc_v5	single	phylum	100	0	-1.7907	2.7742
checkm2	redundant	species	100	0	-0.0522	2.2386
checkm2	redundant	genus	100	0	1.3718	2.4671
checkm2	redundant	family	100	0	3.3875	3.8445
checkm2	redundant	order	100	0	4.7981	5.0696
checkm2	redundant	class	100	0	4.081	5.5843
checkm2	redundant	phylum	100	0	6.6013	8.0085
checkm2	replaced	species	100	0	-8.6002	8.683
checkm2	replaced	genus	100	0	-8.5368	8.601
checkm2	replaced	family	100	0	-8.3765	8.4623
checkm2	replaced	order	100	0	-8.3646	8.5004
checkm2	replaced	class	100	0	-8.2565	8.3573
checkm2	replaced	phylum	100	0	-7.6086	7.945
checkm2	single	species	70	30	-6.9039	7.0199
checkm2	single	genus	100	0	-8.2227	8.3299
checkm2	single	family	100	0	-7.957	8.0734
checkm2	single	order	100	0	-7.8867	8.0063
checkm2	single	class	100	0	-7.9207	8.0246
checkm2	single	phylum	100	0	-7.0215	7.1693
cocopye	redundant	species	100	0	1.4887	3.732
cocopye	redundant	genus	100	0	3.5751	4.4927
cocopye	redundant	family	100	0	5.9854	6.0427
cocopye	redundant	order	100	0	6.6169	6.6552
cocopye	redundant	class	100	0	6.6475	6.7124
cocopye	redundant	phylum	100	0	7.7271	7.7682
cocopye	replaced	species	100	0	-6.8994	8.643
cocopye	replaced	genus	100	0	-6.9181	8.5959
cocopye	replaced	family	100	0	-6.5981	8.4764
cocopye	replaced	order	100	0	-6.5757	8.4631
cocopye	replaced	class	100	0	-6.5725	8.3865
cocopye	replaced	phylum	100	0	-6.0049	8.0414
cocopye	single	species	70	30	-6.1454	6.8671
cocopye	single	genus	100	0	-6.2314	7.9776
cocopye	single	family	100	0	-5.1591	6.8877
cocopye	single	order	100	0	-3.7504	5.4426
cocopye	single	class	100	0	-3.0819	4.9307
cocopye	single	phylum	100	0	-2.1005	4.1876
deepcheck	redundant	species	100	0	-0.8657	2.3492
deepcheck	redundant	genus	100	0	0.5798	2.1694
deepcheck	redundant	family	100	0	2.2891	2.8153
deepcheck	redundant	order	100	0	2.6616	3.3864
deepcheck	redundant	class	100	0	2.265	4.1792
deepcheck	redundant	phylum	100	0	3.5788	5.3564
deepcheck	replaced	species	100	0	-8.7814	8.8315
deepcheck	replaced	genus	100	0	-8.7318	8.7965
deepcheck	replaced	family	100	0	-8.7367	8.7796
deepcheck	replaced	order	100	0	-8.6833	8.7684
deepcheck	replaced	class	100	0	-8.5374	8.5961
deepcheck	replaced	phylum	100	0	-8.2086	8.4046
deepcheck	single	species	70	30	-7.2521	7.2974
deepcheck	single	genus	100	0	-8.4688	8.4985
deepcheck	single	family	100	0	-8.2774	8.3146
deepcheck	single	order	100	0	-8.2764	8.3151
deepcheck	single	class	100	0	-8.4636	8.5059
deepcheck	single	phylum	100	0	-7.9476	7.9792
