tool	margin	level	n	n_clusters	detection_slope	detection_slope_ci_lo	detection_slope_ci_hi	cont_mae	cont_mae_ci_lo	cont_mae_ci_hi	cont_bias	cont_bias_ci_lo	cont_bias_ci_hi	comp_mae	comp_mae_ci_lo	comp_mae_ci_hi	comp_bias	comp_bias_ci_lo	comp_bias_ci_hi	cont_r2	comp_r2	true_cont_mean	true_comp_mean	mimag_n	mimag_n_true_HQ	mimag_n_pred_HQ	mimag_HQ_tp	mimag_HQ_fp	mimag_HQ_fn	mimag_HQ_tn	mimag_HQ_precision	mimag_HQ_recall	mimag_false_clean_rate_5pct	mimag_false_dirty_rate_5pct
magicc_v5	type	redundant	600	100	0.6236	0.5109	0.7504	5.4013	4.6878	6.1336	-4.4415	-5.1931	-3.6683	5.7517	4.9102	6.6382	4.606	3.6662	5.628	-0.3947	0.0725	9.35	85.135	600.0	42.0	233.0	39.0	194.0	3.0	364.0	0.1674	0.9286	0.5729	0.0239
magicc_v5	type	replaced	600	100	0.5511	0.4884	0.61	5.4185	4.6741	6.1594	-4.6254	-5.2928	-3.9445	5.7999	5.105	6.5445	4.5252	3.7762	5.332	-0.4509	0.1169	9.35	78.107	600.0	43.0	114.0	43.0	71.0	0.0	486.0	0.3772	1.0	0.5711	0.0146
magicc_v5	type	single	600	100	0.5413	0.4517	0.6322	5.2496	4.514	5.965	-4.8639	-5.5923	-4.0864	4.0992	3.4439	4.8251	3.0264	2.2809	3.8121	-0.3012	0.4928	9.046	85.135	600.0	44.0	189.0	42.0	147.0	2.0	409.0	0.2222	0.9545	0.6088	0.0093
magicc_v5	distance	species	300	100	0.0935	0.0085	0.2181	8.0094	6.8756	9.1136	-7.7579	-8.9081	-6.6174	7.5758	6.5025	8.6285	7.1637	6.0793	8.2881	-1.5827	-0.1585	8.743	82.689	300.0	23.0	126.0	22.0	104.0	1.0	173.0	0.1746	0.9565	0.9683	0.009
magicc_v5	distance	genus	300	100	0.2066	0.0769	0.3479	7.9843	6.9081	9.0158	-7.7329	-8.7839	-6.6483	7.4638	6.3732	8.5047	7.0786	5.9577	8.1572	-1.4089	-0.096	9.35	82.759	300.0	21.0	128.0	21.0	107.0	0.0	172.0	0.1641	1.0	0.9086	0.0
magicc_v5	distance	family	300	100	0.426	0.2763	0.5713	6.3094	5.3666	7.331	-5.9771	-7.0403	-4.9888	5.9816	5.0515	7.0176	5.4118	4.3627	6.5416	-0.6316	0.1951	9.35	82.83	300.0	21.0	106.0	21.0	85.0	0.0	194.0	0.1981	1.0	0.6872	0.0095
magicc_v5	distance	order	300	100	0.7349	0.5882	0.8865	4.2388	3.4556	5.0583	-3.6005	-4.527	-2.7142	4.1113	3.3419	4.9165	2.7691	1.7983	3.7611	0.1076	0.5541	9.35	82.9	300.0	22.0	73.0	22.0	51.0	0.0	227.0	0.3014	1.0	0.4467	0.0097
magicc_v5	distance	class	300	100	0.8828	0.7651	0.9847	2.9186	2.3777	3.5738	-1.8942	-2.6563	-1.2362	3.237	2.6491	3.9268	1.3658	0.5647	2.1817	0.5082	0.7047	9.35	82.796	300.0	21.0	55.0	19.0	36.0	2.0	243.0	0.3455	0.9048	0.2908	0.0288
magicc_v5	distance	phylum	300	100	1.0293	0.9229	1.12	2.6783	2.2576	3.15	-0.8989	-1.552	-0.2895	2.9322	2.4216	3.5268	0.5262	-0.23	1.3083	0.6689	0.7672	9.35	82.778	300.0	21.0	48.0	19.0	29.0	2.0	250.0	0.3958	0.9048	0.2183	0.0388
magicc_v5	true_contamination_band	[0,5]%	540	30	0.2082	-0.3105	0.6338	1.2818	1.0178	1.5668	-0.9346	-1.2804	-0.4953	2.7947	1.9467	3.8824	2.2724	1.2453	3.4652	-2.6747	0.7381	1.993	84.227	540.0	79.0	148.0	74.0	74.0	5.0	387.0	0.5	0.9367	0.0	0.013
magicc_v5	true_contamination_band	[5,10]%	360	20	0.567	0.2534	0.8819	4.2999	3.8105	4.7627	-3.9118	-4.3573	-3.4155	3.8725	2.5385	5.3795	2.9516	1.4563	4.6813	-12.6814	0.438	6.215	84.966	360.0	48.0	123.0	48.0	75.0	0.0	237.0	0.3902	1.0	0.8165	0.0366
magicc_v5	true_contamination_band	[10,15]%	360	20	0.6588	0.1095	1.2158	6.859	6.042	7.7308	-6.0177	-7.0587	-4.9655	5.8601	4.8297	7.0136	4.4695	3.1192	5.9548	-23.1551	0.113	11.121	81.845	360.0	1.0	108.0	1.0	107.0	0.0	252.0	0.0093	1.0	0.6067	0.0
magicc_v5	true_contamination_band	[15,20]%	540	30	1.0162	0.7154	1.3185	9.1338	8.3735	9.9519	-7.9244	-8.9143	-6.9964	8.1066	7.3247	8.9906	6.2887	4.9849	7.5307	-18.5034	0.0847	17.278	80.539	540.0	1.0	157.0	1.0	156.0	0.0	383.0	0.0064	1.0	0.4488	0.0
magicc_v5	type_x_band	redundant|[0,5]%	180	30	0.2032	-0.3699	0.6646	1.2993	1.0321	1.6029	-0.917	-1.3011	-0.4614	3.0063	1.9709	4.2774	2.5444	1.3773	3.9785	-2.8738	0.6336	2.0	84.882											
magicc_v5	type_x_band	redundant|[5,10]%	120	20	0.4888	0.0205	0.9804	4.2417	3.6525	4.8317	-3.8531	-4.4678	-3.1987	4.3968	2.4504	6.4694	3.6093	1.5502	5.8463	-13.6153	0.22	6.25	87.142											
magicc_v5	type_x_band	redundant|[10,20]%	300	50	0.9546	0.6065	1.3409	8.3265	7.6493	8.9979	-6.7916	-7.7939	-5.6712	7.941	6.9331	8.9988	6.2417	4.8	7.7369	-7.2615	-0.1974	15.0	84.483											
magicc_v5	type_x_band	replaced|[0,5]%	180	30	0.2243	-0.2104	0.5704	1.2574	1.0099	1.507	-0.9298	-1.2648	-0.5406	2.6603	1.9286	3.574	2.1383	1.2397	3.1469	-2.4543	0.8285	2.0	82.917											
magicc_v5	type_x_band	replaced|[5,10]%	120	20	0.7216	0.3217	1.0668	4.4204	3.8867	4.9476	-3.7824	-4.2758	-3.2921	4.5181	3.4279	5.8952	3.4613	2.0945	5.0971	-14.4541	0.0706	6.25	80.613											
magicc_v5	type_x_band	replaced|[10,20]%	300	50	0.6466	0.4524	0.8178	8.3143	7.5864	9.0386	-7.18	-7.923	-6.4604	8.1963	7.3758	9.0218	6.3829	5.2758	7.3966	-7.5997	-1.1348	15.0	74.219											
magicc_v5	type_x_band	single|[0,5]%	180	30	0.1961	-0.3376	0.6698	1.2887	1.016	1.5917	-0.957	-1.3395	-0.5142	2.7177	1.759	3.879	2.1345	1.0024	3.4334	-2.6974	0.6929	1.981	84.882											
magicc_v5	type_x_band	single|[5,10]%	120	20	0.4914	0.2258	0.7751	4.2378	3.7638	4.6753	-4.1001	-4.5404	-3.6099	2.7026	1.4868	4.3124	1.7844	0.3988	3.6076	-10.4934	0.6192	6.144	87.142											
magicc_v5	type_x_band	single|[10,20]%	300	50	0.7335	0.5321	0.9061	8.0308	7.2351	8.8723	-7.5136	-8.4127	-6.6293	5.4868	4.535	6.4921	4.0583	2.9176	5.2074	-4.5734	0.3728	14.447	84.483											
magicc_v5	pooled	ALL_contaminated	1800	100	0.5729	0.4872	0.6517	5.3565	4.6886	6.0486	-4.6436	-5.3346	-3.9995	5.2169	4.559	5.8725	4.0525	3.3621	4.7791	-0.3819	0.3273	9.249	82.792	1800.0	129.0	536.0	124.0	412.0	5.0	1259.0	0.2313	0.9612	0.5841	0.0159
