stratum	level	tool_a	tool_b	n_pairs	hl	hl_ci_lo	hl_ci_hi	cliffs_delta	cliffs_ci_lo	cliffs_ci_hi	p_wilcoxon	mae_a	mae_b	bias_a	bias_b	q_bh	winner
type	redundant	magicc_v5	checkm2	600	0.5861	0.0857	1.2615	0.059	-0.012	0.1341	0.00811701712666035	5.4013	4.5355	-4.4415	3.3646	0.010699704394234096	checkm2
type	redundant	magicc_v5	cocopye	600	-0.6409	-1.3209	-0.007	-0.1214	-0.2014	-0.0468	0.012559153878014111	5.4013	5.9005	-4.4415	5.3401	0.016308155035630264	magicc_v5
type	redundant	magicc_v5	deepcheck	600	1.7295	1.0538	2.403	0.2291	0.1549	0.3065	6.954395825478488e-17	5.4013	3.376	-4.4415	1.7514	3.184381246403308e-16	deepcheck
type	replaced	magicc_v5	checkm2	600	-1.5302	-2.5888	-0.9566	-0.2964	-0.3546	-0.2361	4.302267490287791e-33	5.4185	8.4248	-4.6254	-8.2905	5.347103880786254e-32	magicc_v5
type	replaced	magicc_v5	cocopye	600	-2.2701	-3.3292	-1.4003	-0.3399	-0.4163	-0.2689	1.6239006954876943e-34	5.4185	8.4344	-4.6254	-6.5948	2.3546560084571564e-33	magicc_v5
type	replaced	magicc_v5	deepcheck	600	-1.8256	-2.9293	-1.204	-0.3283	-0.386	-0.2766	1.0860330524471431e-49	5.4185	8.6961	-4.6254	-8.6132	3.149495852096715e-48	magicc_v5
type	single	magicc_v5	checkm2	600	-1.1362	-1.9493	-0.6722	-0.2427	-0.3117	-0.1808	3.397988074165517e-26	5.2496	7.7032	-4.8639	-7.5896	1.9708330830159999e-25	magicc_v5
type	single	magicc_v5	cocopye	600	-0.4058	-0.9059	-0.021	-0.1165	-0.194	-0.0372	0.000235056216292762	5.2496	6.0783	-4.8639	-4.2328	0.0003408315136245049	magicc_v5
type	single	magicc_v5	deepcheck	600	-1.3646	-2.293	-0.8495	-0.2714	-0.341	-0.2081	2.5562493456201267e-36	5.2496	8.0682	-4.8639	-8.0215	5.559842326723775e-35	magicc_v5
distance	species	magicc_v5	checkm2	300	0.7641	0.5037	1.1311	0.2105	0.1601	0.2564	2.06887068816346e-12	8.0094	5.8459	-7.7579	-5.0604	4.736624996584764e-12	checkm2
distance	species	magicc_v5	cocopye	300	0.8458	0.398	1.3197	0.1226	0.0419	0.2005	6.241475451098294e-06	8.0094	6.4729	-7.7579	-3.4947	1.0055710448991696e-05	cocopye
distance	species	magicc_v5	deepcheck	300	0.7569	0.522	1.0477	0.2035	0.163	0.2416	8.78808041341724e-11	8.0094	5.9923	-7.7579	-5.4474	1.7780534789937206e-10	deepcheck
distance	genus	magicc_v5	checkm2	300	0.5362	0.314	0.833	0.1658	0.1174	0.2132	5.610672383193283e-07	7.9843	6.466	-7.7329	-5.1293	9.571147006623834e-07	checkm2
distance	genus	magicc_v5	cocopye	300	0.717	0.1833	1.2139	0.0793	0.0019	0.1532	0.00046772858151151596	7.9843	7.022	-7.7329	-3.1915	0.0006670883047787194	cocopye
distance	genus	magicc_v5	deepcheck	300	0.5099	0.2429	0.7847	0.1664	0.1176	0.2128	2.779019919731468e-05	7.9843	6.4881	-7.7329	-5.5403	4.24166198274803e-05	deepcheck
distance	family	magicc_v5	checkm2	300	-0.1843	-0.5277	0.1126	-0.0433	-0.1168	0.0224	0.17448305479691695	6.3094	6.7934	-5.9771	-4.3153	0.20513548334232126	tie
distance	family	magicc_v5	cocopye	300	-0.3722	-1.1214	0.1894	-0.1028	-0.1956	-0.0149	0.08670310257459346	6.3094	7.1356	-5.9771	-1.9239	0.10624182991534692	tie
distance	family	magicc_v5	deepcheck	300	-0.1732	-0.4729	0.0964	0.0101	-0.0558	0.0702	0.22897905479952552	6.3094	6.6365	-5.9771	-4.9083	0.25539971496870156	tie
distance	order	magicc_v5	checkm2	300	-2.0532	-3.2451	-1.2158	-0.3229	-0.4057	-0.2331	1.806641437057704e-18	4.2388	7.1921	-3.6005	-3.8177	8.732100279112234e-18	magicc_v5
distance	order	magicc_v5	cocopye	300	-2.238	-3.2989	-1.3114	-0.3227	-0.4205	-0.2205	6.708275160783875e-15	4.2388	6.8536	-3.6005	-1.2364	2.1615553295859152e-14	magicc_v5
