tool	error_type	metric	max_rate_tested_pct	rate_pct_where_upperCI_delta_mae_exceeds_1pp	rate_pct_where_delta_mae_exceeds_1pp	rate_pct_where_upperCI_delta_mae_exceeds_2pp	rate_pct_where_delta_mae_exceeds_2pp	rate_pct_where_upperCI_delta_mae_exceeds_5pp	rate_pct_where_delta_mae_exceeds_5pp	first_significant_rate_pct	delta_mae_at_max_rate	delta_mae_at_max_rate_ci
magicc_v5	substitution	completeness	5.0	0.9642	1.1943	1.306	1.6801	2.5119	3.0817	2.0	7.7867	[6.293, 9.396]
magicc_v5	substitution	contamination	5.0	0.9395	1.2191	1.4964	2.0248	3.4772	4.7806	2.0	5.1567	[3.831, 6.523]
magicc_v5	substitution_titv	completeness	5.0	0.9037	1.1611	1.3352	1.7608	2.6212	3.2578	1.0	7.3654	[5.786, 9.196]
magicc_v5	substitution_titv	contamination	5.0	1.0103	1.2899	1.6032	2.1201	3.3567	4.3878	0.5	5.5387	[4.162, 6.940]
magicc_v5	indel	completeness	5.0	0.8645	1.1698	1.2822	1.6871	2.5572	3.164	1.0	7.5293	[5.934, 9.163]
magicc_v5	indel	contamination	5.0	1.4163	2.1026	2.4303	3.1819			1.0	3.0909	[2.102, 4.136]
magicc_v5	chimera	completeness	40.0								0.0001	[-0.003, 0.003]
magicc_v5	chimera	contamination	40.0								-0.0009	[-0.004, 0.002]
magicc_v5	uneven_coverage	completeness	40.0	2.8716	5.0373	5.3202	6.8115	10.5258	13.051	5.0	11.5877	[8.788, 14.100]
magicc_v5	uneven_coverage	contamination	40.0	5.7145	7.4171	8.4838	10.8782	14.1187	19.2807	10.0	16.6085	[12.540, 20.660]
checkm2	substitution	completeness	5.0	0.165	0.3052	0.3687	0.5995	0.9915	1.1781	0.5	25.9593	[22.450, 29.218]
checkm2	substitution	contamination	5.0	3.5032							0.6148	[0.002, 1.208]
checkm2	substitution_titv	completeness	5.0	0.3005	0.6412	0.6613	1.0024	1.2795	1.6118	1.0	18.7891	[15.327, 22.334]
checkm2	substitution_titv	contamination	5.0								0.4129	[-0.184, 0.991]
checkm2	indel	completeness	5.0	0.0079	0.0099	0.0158	0.0197	0.0394	0.0493	0.1	49.5235	[43.201, 55.265]
checkm2	indel	contamination	5.0	0.1224	0.2233	0.2846	1.0344			0.5	2.8973	[1.823, 4.045]
checkm2	chimera	completeness	40.0							40.0	0.0704	[0.005, 0.143]
checkm2	chimera	contamination	40.0								-0.0074	[-0.032, 0.019]
checkm2	uneven_coverage	completeness	40.0	29.9533							0.4122	[-0.437, 1.252]
checkm2	uneven_coverage	contamination	40.0	3.454	5.7722	5.8281	8.2701	11.312	13.9382	10.0	18.4979	[15.682, 21.362]
cocopye	substitution	completeness	5.0	2.0462	2.832	3.4143				5.0	1.8772	[1.002, 2.745]
cocopye	substitution	contamination	5.0	0.1139	0.1351	0.1787	0.2292	0.5641	0.6648	0.1	15.5213	[13.669, 17.242]
cocopye	substitution_titv	completeness	5.0	2.2079	3.2551	3.8429				0.5	1.5908	[0.753, 2.475]
cocopye	substitution_titv	contamination	5.0	0.1313	0.1677	0.2449	0.3591	0.7951	0.9975	0.1	14.1762	[12.320, 15.975]
cocopye	indel	completeness	5.0	0.1187	0.255	0.3308	0.791	1.7664	2.6538	0.5	7.0709	[5.228, 8.917]
cocopye	indel	contamination	5.0	0.0063	0.0071	0.0127	0.0141	0.0317	0.0353	0.1	17.4943	[15.502, 19.402]
cocopye	chimera	completeness	40.0								0.0006	[-0.002, 0.003]
cocopye	chimera	contamination	40.0								0.0042	[-0.003, 0.012]
cocopye	uneven_coverage	completeness	40.0	16.78						20.0	0.6568	[-0.048, 1.370]
cocopye	uneven_coverage	contamination	40.0	1.6859	2.1923	3.3718	4.3846	7.2007	8.7852	5.0	16.4146	[14.656, 18.180]
deepcheck	substitution	completeness	5.0	0.2287	0.5135	0.5276	0.676	0.9743	1.1966	1.0	27.378	[23.899, 30.793]
deepcheck	substitution	contamination	5.0								0.2089	[-0.272, 0.742]
deepcheck	substitution_titv	completeness	5.0	0.523	0.6917	0.7045	1.0098	1.2873	1.6261	1.0	19.7619	[16.298, 22.976]
deepcheck	substitution_titv	contamination	5.0								-0.1957	[-0.742, 0.372]
deepcheck	indel	completeness	5.0	0.0068	0.0083	0.0137	0.0165	0.0342	0.0413	0.1	30.5145	[25.982, 34.981]
deepcheck	indel	contamination	5.0	0.1984	0.4728	0.6936	2.0984	2.7039	3.9953	0.5	6.045	[3.501, 8.486]
deepcheck	chimera	completeness	40.0								-0.0194	[-0.059, 0.017]
deepcheck	chimera	contamination	40.0								0.0145	[0.003, 0.029]
deepcheck	uneven_coverage	completeness	40.0								0.1996	[-0.233, 0.623]
deepcheck	uneven_coverage	contamination	40.0	5.6334	8.926	8.0377	11.1176	13.2022	16.7441	20.0	21.983	[18.099, 25.902]
