error_type	error_rate_pct	n	Total_Coding_Sequences_ratio_vs_control	Total_Coding_Sequences_mean	Coding_Density_ratio_vs_control	Coding_Density_mean	Average_Gene_Length_ratio_vs_control	Average_Gene_Length_mean	GC_Content_ratio_vs_control	GC_Content_mean	Genome_Size_ratio_vs_control	Genome_Size_mean	Contig_N50_ratio_vs_control	Contig_N50_mean
chimera	5.0	80	0.9997	2469.1125	0.9999	0.8883	1.0002	315.5548	1.0	0.4875	1.0	2690664.025	1.0252	555973.1625
chimera	10.0	80	0.9995	2468.55	0.9999	0.8883	1.0004	315.6197	1.0	0.4875	1.0	2690664.025	1.0615	555127.4375
chimera	20.0	80	0.9993	2468.1625	0.9999	0.8883	1.0006	315.6686	1.0	0.4875	1.0	2690664.025	1.1146	573477.5
chimera	40.0	80	0.9984	2466.3875	0.9997	0.8881	1.0014	315.9138	1.0	0.4875	1.0	2690664.025	1.2301	591984.4
indel	0.1	80	1.4314	3521.575	0.9525	0.8461	0.6778	213.3964	0.9998	0.4874	1.0	2690658.0	1.0	547620.1125
indel	0.5	80	2.1012	5086.775	0.852	0.7568	0.4485	142.1853	1.0002	0.4875	1.0	2690667.85	1.0	547644.725
indel	1.0	80	2.0836	5116.9125	0.7633	0.6787	0.4207	133.0838	1.001	0.4878	1.0	2690727.75	1.0001	547626.275
indel	2.0	80	1.5952	3959.2	0.6152	0.5483	0.4249	135.4349	1.001	0.4875	1.0	2690703.15	0.9996	547601.1625
indel	5.0	80	1.153	2917.0875	0.4325	0.386	0.3647	116.2317	1.0032	0.4879	1.0	2690675.5125	0.9994	547608.3875
substitution	0.1	80	1.0243	2529.9625	0.9968	0.8856	0.9732	306.9687	0.9998	0.4874	1.0	2690664.025	1.0	547622.2625
substitution	0.5	80	1.116	2759.2375	0.9841	0.8743	0.8825	278.2264	1.0013	0.4879	1.0	2690664.025	1.0	547622.2625
substitution	1.0	80	1.224	3024.3125	0.969	0.8609	0.7935	250.0678	1.001	0.4875	1.0	2690664.025	1.0	547622.2625
substitution	2.0	80	1.4145	3494.9625	0.941	0.836	0.6683	210.4883	1.0019	0.4875	1.0	2690664.025	1.0	547622.2625
substitution	5.0	80	1.8087	4486.075	0.8726	0.7753	0.488	153.3315	1.0069	0.4888	1.0	2690664.025	1.0	547622.2625
substitution_titv	0.1	80	1.0183	2516.6625	0.9976	0.8863	0.9797	309.0213	0.9998	0.4874	1.0	2690664.025	1.0	547622.2625
substitution_titv	0.5	80	1.087	2691.0125	0.988	0.8778	0.9094	286.6399	1.0018	0.488	1.0	2690664.025	1.0	547622.2625
substitution_titv	1.0	80	1.1727	2906.3	0.9766	0.8677	0.8338	262.6632	1.0014	0.4876	1.0	2690664.025	1.0	547622.2625
substitution_titv	2.0	80	1.3289	3300.55	0.9552	0.8487	0.7207	226.78	1.0028	0.4877	1.0	2690664.025	1.0	547622.2625
substitution_titv	5.0	80	1.6877	4204.6875	0.898	0.7979	0.5355	168.2977	1.0073	0.4885	1.0	2690664.025	1.0	547622.2625
uneven_coverage	5.0	80	1.05	2593.8625	1.0	0.8884	1.0001	315.5255	0.9999	0.4874	1.05	2825197.2875	0.9876	542628.4875
uneven_coverage	10.0	80	1.1014	2718.925	1.0001	0.8885	0.9989	315.1752	1.0004	0.4876	1.1	2959730.4375	0.9865	536575.4
uneven_coverage	20.0	80	1.2036	2973.35	0.9999	0.8883	0.9971	314.5351	0.9997	0.4871	1.2	3228796.8	0.9871	534799.6625
uneven_coverage	40.0	80	1.4031	3471.1875	1.0006	0.8889	0.9985	314.9086	1.0008	0.488	1.4	3766929.6625	0.9819	520396.7625
