tool	error_type	error_rate	error_rate_pct	metric	n_pairs	delta_mae	delta_mae_ci_lo	delta_mae_ci_hi	delta_mae_hl	delta_mae_hl_ci_lo	delta_mae_hl_ci_hi	delta_signed_bias	delta_signed_bias_ci_lo	delta_signed_bias_ci_hi	p_wilcoxon	q_bh
magicc_v5	substitution	0.001	0.1	completeness	80	-0.0308	-0.1599	0.0978	0.0072	-0.0899	0.0952	-0.2226	-0.3426	-0.1052	0.7919372745033505	0.8326654771920942
magicc_v5	substitution	0.001	0.1	contamination	80	0.0418	-0.053	0.1394	0.0165	-0.0475	0.0861	0.2198	0.1459	0.3027	0.5746846503394725	0.6692530105219173
magicc_v5	substitution	0.005	0.5	completeness	80	0.0743	-0.2295	0.4174	0.0672	-0.1895	0.2893	-0.9792	-1.2821	-0.6995	0.5204171690684798	0.6155363770636266
magicc_v5	substitution	0.005	0.5	contamination	80	0.2001	-0.0383	0.4453	0.1074	-0.0671	0.3633	0.6051	0.4013	0.8326	0.24576331143070496	0.35328476018163835
magicc_v5	substitution	0.01	1.0	completeness	80	0.4799	-0.062	1.0323	0.5699	0.0521	1.0617	-2.1926	-2.6159	-1.7904	0.03165528072350319	0.06400628190246799
magicc_v5	substitution	0.01	1.0	contamination	80	0.617	0.1756	1.0549	0.3755	0.0384	0.8005	1.3205	0.9276	1.7086	0.03203766458703381	0.06407532917406762
magicc_v5	substitution	0.02	2.0	completeness	80	2.5107	1.4935	3.5448	2.494	1.6158	3.4266	-4.8433	-5.6341	-4.0828	3.2809612423915908e-06	1.160955516538563e-05
magicc_v5	substitution	0.02	2.0	contamination	80	1.957	1.2696	2.6803	1.7223	1.0122	2.4779	3.0284	2.4655	3.644	2.9198331175481457e-06	1.0534299875075663e-05
magicc_v5	substitution	0.05	5.0	completeness	80	7.7867	6.2931	9.3955	7.2664	5.6727	9.0338	-10.2767	-11.7511	-8.8903	1.5523843539995396e-12	1.0986104659073665e-11
magicc_v5	substitution	0.05	5.0	contamination	80	5.1567	3.8306	6.5233	4.3299	2.8171	6.0623	6.6671	5.4124	7.9243	3.8618388540105854e-11	2.1532677246604477e-10
magicc_v5	substitution_titv	0.001	0.1	completeness	80	-0.0338	-0.1433	0.0746	-0.0171	-0.1088	0.0561	-0.2807	-0.3807	-0.1964	0.6590259230701663	0.7050044758425035
magicc_v5	substitution_titv	0.001	0.1	contamination	80	0.0433	-0.0364	0.119	0.0492	-0.0071	0.1104	0.1393	0.0652	0.2144	0.08000710891812017	0.13630840778642697
magicc_v5	substitution_titv	0.005	0.5	completeness	80	0.0571	-0.2436	0.3513	0.0809	-0.1778	0.3099	-0.9254	-1.1991	-0.6655	0.47779684636432396	0.5983126869804799
magicc_v5	substitution_titv	0.005	0.5	contamination	80	0.4074	0.1559	0.7002	0.2724	0.0545	0.4785	0.7299	0.5183	0.9855	0.01280046131962838	0.02907759114582249
magicc_v5	substitution_titv	0.01	1.0	completeness	80	0.6412	0.1744	1.111	0.7027	0.292	1.1301	-1.9509	-2.3396	-1.5916	0.002213139137769751	0.00565580001874492
magicc_v5	substitution_titv	0.01	1.0	contamination	80	0.5592	0.1481	0.9777	0.4814	0.1214	0.8718	1.1801	0.8463	1.5346	0.008579630620782562	0.01998293714207584
magicc_v5	substitution_titv	0.02	2.0	completeness	80	2.306	1.3113	3.2426	2.133	1.2468	3.0868	-4.5233	-5.3499	-3.7153	1.2457831717894525e-05	4.02147550191683e-05
magicc_v5	substitution_titv	0.02	2.0	contamination	80	1.7594	1.0662	2.4789	1.5311	0.847	2.3134	2.8452	2.2772	3.4725	1.5166855696095654e-05	4.730002454375594e-05
magicc_v5	substitution_titv	0.05	5.0	completeness	80	7.3654	5.7859	9.1959	6.7451	4.9569	8.7202	-9.795	-11.3783	-8.3109	7.684974195704613e-12	5.0501259000344595e-11
magicc_v5	substitution_titv	0.05	5.0	contamination	80	5.5387	4.1618	6.9402	4.8687	3.41	6.2869	6.7612	5.4212	8.1526	2.7900481045118465e-11	1.6042776600943118e-10
magicc_v5	indel	0.001	0.1	completeness	80	-0.0131	-0.1104	0.0825	-0.0012	-0.0913	0.0743	-0.2318	-0.3151	-0.1492	0.9693924426663516	0.9746896691290093
magicc_v5	indel	0.001	0.1	contamination	80	0.0467	-0.0383	0.1424	0.0055	-0.0397	0.0565	0.0949	0.0107	0.1944	0.8141947062629618	0.8485018574697667
magicc_v5	indel	0.005	0.5	completeness	80	0.0572	-0.225	0.3387	0.0731	-0.1881	0.3913	-1.0469	-1.2412	-0.8582	0.5173091896977361	0.6155363770636266
magicc_v5	indel	0.005	0.5	contamination	80	0.0877	-0.0337	0.2082	0.0691	-0.0372	0.194	0.3084	0.1975	0.42	0.2054343939251848	0.304838132921242
magicc_v5	indel	0.01	1.0	completeness	80	0.5718	-0.0266	1.1758	0.6848	0.162	1.2199	-2.4438	-2.9328	-1.989	0.013507985444475299	0.030310601485164086
magicc_v5	indel	0.01	1.0	contamination	80	0.3053	0.0271	0.5734	0.2716	0.0439	0.5206	0.638	0.4067	0.8975	0.014829599754413175	0.03210172182131793
magicc_v5	indel	0.02	2.0	completeness	80	2.4647	1.5268	3.4744	2.4432	1.6249	3.2689	-4.8543	-5.6628	-4.0913	2.536697471735228e-06	9.33504669598564e-06
magicc_v5	indel	0.02	2.0	contamination	80	0.8792	0.3409	1.423	0.746	0.3242	1.2794	1.6962	1.2197	2.1969	0.002213139137769751	0.00565580001874492
magicc_v5	indel	0.05	5.0	completeness	80	7.5293	5.9336	9.1626	6.9974	5.3782	8.7677	-10.0771	-11.5393	-8.6043	8.217151431220514e-12	5.2136409080847394e-11
magicc_v5	indel	0.05	5.0	contamination	80	3.0909	2.1016	4.1361	2.5558	1.5283	3.7619	4.1674	3.0093	5.2933	7.99950499066361e-07	3.066476913087717e-06
magicc_v5	chimera	0.05	5.0	completeness	80	-0.0	-0.0009	0.0007	0.0	0.0	0.0	0.0005	-0.0002	0.0014	0.3365521878439186	0.45533531296530166
magicc_v5	chimera	0.05	5.0	contamination	80	-0.0001	-0.0007	0.0006	0.0	0.0	0.0	0.0004	-0.0002	0.0011	0.40041798467382594	0.5225312707800283
magicc_v5	chimera	0.1	10.0	completeness	80	-0.0004	-0.0022	0.0015	0.0	0.0	0.0	-0.0007	-0.0028	0.001	0.9777339360258261	0.9777339360258261
magicc_v5	chimera	0.1	10.0	contamination	80	0.0019	0.0	0.0044	0.0	0.0	0.0003	0.002	0.0	0.0046	0.1803494674763232	0.27425042988135095
magicc_v5	chimera	0.2	20.0	completeness	80	-0.0013	-0.0032	0.0005	-0.0001	-0.0014	0.0	-0.0004	-0.0023	0.0015	0.06467938205422212	0.1150876142020031
magicc_v5	chimera	0.2	20.0	contamination	80	0.0007	-0.0007	0.0022	0.0	0.0	0.0004	0.0012	-0.0	0.0027	0.4115911524074698	0.5295998044963248
magicc_v5	chimera	0.4	40.0	completeness	80	0.0001	-0.0026	0.0029	0.0	-0.001	0.0006	-0.0001	-0.0028	0.0027	0.9665842031005345	0.9746896691290093
magicc_v5	chimera	0.4	40.0	contamination	80	-0.0009	-0.004	0.0019	0.0	-0.0009	0.0005	0.0031	0.0007	0.0061	0.840631987808855	0.8641133282504431
magicc_v5	uneven_coverage	0.05	5.0	completeness	80	0.9754	0.2115	1.7412	0.8804	0.1549	1.6452	3.02	2.4981	3.5946	0.012459154341069905	0.028656054984460784
magicc_v5	uneven_coverage	0.05	5.0	contamination	80	0.2625	-0.1065	0.662	0.046	-0.1076	0.2838	0.5247	0.1434	0.9396	0.6078095168001881	0.67779970358324
magicc_v5	uneven_coverage	0.1	10.0	completeness	80	3.2725	1.9225	4.6313	3.4886	1.8517	4.6964	5.7897	4.6304	6.872	1.1159201038181988e-05	3.6665946268312245e-05
magicc_v5	uneven_coverage	0.1	10.0	contamination	80	1.5588	0.795	2.4161	0.4786	0.0653	1.4399	1.6862	0.8297	2.5776	0.014829599754413175	0.03210172182131793
magicc_v5	uneven_coverage	0.2	20.0	completeness	80	7.7693	5.8258	9.6184	8.1569	6.4356	10.2535	9.0453	6.8377	11.0491	1.1892072798874606e-09	5.758266828928757e-09
magicc_v5	uneven_coverage	0.2	20.0	contamination	80	5.192	3.1563	7.6087	1.687	0.4902	4.1365	5.6403	3.5154	8.116	8.224860946721734e-05	0.0002402181609836189
magicc_v5	uneven_coverage	0.4	40.0	completeness	80	11.5877	8.7882	14.1	12.3705	9.427	14.8641	11.8765	8.6026	15.079	2.756054758148015e-10	1.4086502097200966e-09
magicc_v5	uneven_coverage	0.4	40.0	contamination	80	16.6085	12.5402	20.6596	16.3767	9.0924	20.7749	17.4714	13.3431	21.6108	4.255572532332139e-11	2.303015723379746e-10
checkm2	substitution	0.001	0.1	completeness	80	0.0443	-0.2895	0.3766	0.05	-0.225	0.345	-0.895	-1.1663	-0.631	0.5992156095744063	0.6744236235170089
checkm2	substitution	0.001	0.1	contamination	80	-0.0205	-0.1436	0.1053	-0.06	-0.14	0.015	0.2931	0.171	0.4406	0.13154447352870188	0.20865675111449267
checkm2	substitution	0.005	0.5	completeness	80	1.4227	0.4474	2.379	1.525	0.5199	2.5801	-3.8565	-4.5835	-3.1588	0.005208603213305983	0.012778439883310677
checkm2	substitution	0.005	0.5	contamination	80	-0.2431	-0.5269	0.0475	-0.235	-0.53	0.0654	0.9146	0.6866	1.1463	0.11784992020383804	0.19189721519916988
checkm2	substitution	0.01	1.0	completeness	80	3.6272	2.1503	5.0326	3.6426	2.0945	5.3102	-7.3346	-8.4352	-6.2812	1.3645332485780506e-05	4.328864098937264e-05
checkm2	substitution	0.01	1.0	contamination	80	0.0529	-0.4299	0.5335	0.125	-0.3326	0.6201	1.2465	0.8087	1.649	0.582884897389724	0.6744236235170089
checkm2	substitution	0.02	2.0	completeness	80	9.4329	6.9446	11.9132	9.8402	7.0146	12.3273	-15.8339	-17.3936	-14.2654	1.2823771408805734e-08	5.618033188619655e-08
checkm2	substitution	0.02	2.0	contamination	80	0.1458	-0.4276	0.6715	0.1377	-0.47	0.7201	1.3914	0.828	1.9214	0.6520969440692355	0.704494945423498
checkm2	substitution	0.05	5.0	completeness	80	25.9593	22.45	29.2175	26.6885	23.605	30.1337	-33.7279	-35.8749	-31.5401	5.453447411901581e-14	5.281233283104689e-13
checkm2	substitution	0.05	5.0	contamination	80	0.6148	0.0018	1.2085	0.43	-0.025	0.9176	-0.3559	-1.1966	0.3956	0.07208034958424984	0.1251206068254903
checkm2	substitution_titv	0.001	0.1	completeness	80	0.2233	-0.0602	0.536	0.11	-0.07	0.385	-0.4969	-0.7478	-0.208	0.2757820065438812	0.3873579328555278
checkm2	substitution_titv	0.001	0.1	contamination	80	-0.1161	-0.2491	0.0049	-0.055	-0.1226	-0.0	0.2274	0.1072	0.3571	0.045097236154589077	0.08467236175963663
checkm2	substitution_titv	0.005	0.5	completeness	80	0.4487	-0.3366	1.2148	0.489	-0.37	1.2701	-2.868	-3.4419	-2.2844	0.23425114192063823	0.3393874812078538
checkm2	substitution_titv	0.005	0.5	contamination	80	-0.1401	-0.3775	0.1115	-0.125	-0.315	0.075	0.62	0.3389	0.8655	0.17164168481315	0.2676446610645729
checkm2	substitution_titv	0.01	1.0	completeness	80	1.9849	0.7552	3.1611	1.9544	0.7736	3.2899	-5.9021	-6.7603	-5.0387	0.004185621507956277	0.010407491317080473
checkm2	substitution_titv	0.01	1.0	contamination	80	-0.0813	-0.4323	0.2967	-0.185	-0.56	0.235	1.1964	0.859	1.534	0.3596192445663675	0.4829922700745374
checkm2	substitution_titv	0.02	2.0	completeness	80	6.3632	4.4158	8.3333	6.8188	4.6228	8.8951	-11.8362	-13.1431	-10.4393	2.5880781379304554e-07	1.0352312551721821e-06
checkm2	substitution_titv	0.02	2.0	contamination	80	0.3199	-0.1857	0.851	0.135	-0.3902	0.6951	1.3087	0.8111	1.7753	0.5994476697541633	0.6744236235170089
checkm2	substitution_titv	0.05	5.0	completeness	80	18.7891	15.3274	22.3339	19.9951	16.8081	23.0492	-26.4401	-28.5058	-24.413	1.353827933338707e-11	8.30347799114407e-11
checkm2	substitution_titv	0.05	5.0	contamination	80	0.4129	-0.1844	0.9909	0.285	-0.1702	0.775	-0.0411	-0.7932	0.6306	0.22495307987410784	0.32850291029234796
checkm2	indel	0.001	0.1	completeness	80	10.1404	7.5053	12.6892	11.307	8.5554	13.56	-17.3496	-18.685	-16.0081	1.7933282634615113e-08	7.673776755277165e-08
checkm2	indel	0.001	0.1	contamination	80	0.2052	-0.3499	0.7609	0.21	-0.2225	0.6926	1.1056	0.4647	1.6767	0.36340273256525135	0.48453697675366847
checkm2	indel	0.005	0.5	completeness	80	39.1235	35.7402	42.7058	39.4738	36.1366	43.2893	-46.8921	-49.374	-44.5196	8.792926151362765e-15	2.4306125144086476e-13
checkm2	indel	0.005	0.5	contamination	80	1.7977	0.9928	2.6676	1.225	0.58	1.965	-0.1035	-1.2539	1.0693	0.0003558299576214108	0.0009772046597364117
checkm2	indel	0.01	1.0	completeness	80	41.4676	37.2256	45.4498	42.2514	37.7225	46.3871	-49.2362	-52.3899	-46.0501	1.0619072426644935e-14	2.4306125144086476e-13
checkm2	indel	0.01	1.0	contamination	80	1.9575	0.9256	3.1309	1.4525	0.61	2.48	1.3281	-0.0227	2.6786	0.0005727725271222852	0.0015273934056594272
checkm2	indel	0.02	2.0	completeness	80	44.7678	39.8279	49.959	46.094	41.2915	51.045	-52.2784	-56.2665	-48.1457	2.0085732876088696e-14	2.8429037301540924e-13
