tool	error_type	error_rate_pct	stratify_by	stratum	n	mean_realised_dose	mean_chimera_events	delta_comp_mae	delta_cont_mae
magicc_v5	substitution	0.1	quality_tier	high	20	0.001	0.0	-0.0234	0.0536
magicc_v5	substitution	0.1	quality_tier	highly_fragmented	20	0.00101	0.0	-0.0809	0.0156
magicc_v5	substitution	0.1	quality_tier	low	20	0.00101	0.0	0.0404	0.103
magicc_v5	substitution	0.1	quality_tier	medium	20	0.00101	0.0	-0.0594	-0.0049
magicc_v5	substitution	0.1	contig_stratum	base_contigs<20	42	0.00101	0.0	-0.0194	0.0452
magicc_v5	substitution	0.1	contig_stratum	base_contigs>=20	38	0.001	0.0	-0.0435	0.0381
magicc_v5	substitution	0.5	quality_tier	high	20	0.00501	0.0	0.0074	0.1003
magicc_v5	substitution	0.5	quality_tier	highly_fragmented	20	0.00501	0.0	0.0742	0.1588
magicc_v5	substitution	0.5	quality_tier	low	20	0.00502	0.0	0.3832	0.1333
magicc_v5	substitution	0.5	quality_tier	medium	20	0.00501	0.0	-0.1675	0.4079
magicc_v5	substitution	0.5	contig_stratum	base_contigs<20	42	0.00501	0.0	0.009	0.2696
magicc_v5	substitution	0.5	contig_stratum	base_contigs>=20	38	0.00501	0.0	0.1465	0.1232
magicc_v5	substitution	1.0	quality_tier	high	20	0.01001	0.0	1.0989	0.7605
magicc_v5	substitution	1.0	quality_tier	highly_fragmented	20	0.00996	0.0	0.0905	0.83
magicc_v5	substitution	1.0	quality_tier	low	20	0.00997	0.0	0.7921	0.328
magicc_v5	substitution	1.0	quality_tier	medium	20	0.01	0.0	-0.0618	0.5494
magicc_v5	substitution	1.0	contig_stratum	base_contigs<20	42	0.00999	0.0	0.6329	0.7251
magicc_v5	substitution	1.0	contig_stratum	base_contigs>=20	38	0.00997	0.0	0.3108	0.4975
magicc_v5	substitution	2.0	quality_tier	high	20	0.02	0.0	3.8545	2.428
magicc_v5	substitution	2.0	quality_tier	highly_fragmented	20	0.01999	0.0	1.772	1.4444
magicc_v5	substitution	2.0	quality_tier	low	20	0.01998	0.0	1.8144	1.4601
magicc_v5	substitution	2.0	quality_tier	medium	20	0.02001	0.0	2.6019	2.4955
magicc_v5	substitution	2.0	contig_stratum	base_contigs<20	42	0.02	0.0	3.3443	2.5878
magicc_v5	substitution	2.0	contig_stratum	base_contigs>=20	38	0.01999	0.0	1.5894	1.2598
magicc_v5	substitution	5.0	quality_tier	high	20	0.05001	0.0	11.4163	6.5631
magicc_v5	substitution	5.0	quality_tier	highly_fragmented	20	0.05008	0.0	5.5931	4.4126
magicc_v5	substitution	5.0	quality_tier	low	20	0.05002	0.0	6.1916	4.0383
magicc_v5	substitution	5.0	quality_tier	medium	20	0.05	0.0	7.9459	5.6128
magicc_v5	substitution	5.0	contig_stratum	base_contigs<20	42	0.05003	0.0	9.8114	6.1948
magicc_v5	substitution	5.0	contig_stratum	base_contigs>=20	38	0.05003	0.0	5.5489	4.0093
magicc_v5	substitution_titv	0.1	quality_tier	high	20	0.00099	0.0	0.0358	-0.0086
magicc_v5	substitution_titv	0.1	quality_tier	highly_fragmented	20	0.001	0.0	-0.0211	-0.0416
magicc_v5	substitution_titv	0.1	quality_tier	low	20	0.00099	0.0	0.0572	0.1206
magicc_v5	substitution_titv	0.1	quality_tier	medium	20	0.00099	0.0	-0.207	0.1026
magicc_v5	substitution_titv	0.1	contig_stratum	base_contigs<20	42	0.00099	0.0	-0.0451	0.0309
magicc_v5	substitution_titv	0.1	contig_stratum	base_contigs>=20	38	0.001	0.0	-0.0213	0.0569
magicc_v5	substitution_titv	0.5	quality_tier	high	20	0.005	0.0	0.1129	0.4618
magicc_v5	substitution_titv	0.5	quality_tier	highly_fragmented	20	0.00502	0.0	-0.1122	0.4484
magicc_v5	substitution_titv	0.5	quality_tier	low	20	0.00498	0.0	0.1917	0.3348
magicc_v5	substitution_titv	0.5	quality_tier	medium	20	0.00499	0.0	0.0361	0.3847
magicc_v5	substitution_titv	0.5	contig_stratum	base_contigs<20	42	0.005	0.0	0.053	0.3649
magicc_v5	substitution_titv	0.5	contig_stratum	base_contigs>=20	38	0.005	0.0	0.0616	0.4544
magicc_v5	substitution_titv	1.0	quality_tier	high	20	0.00999	0.0	0.7866	0.6692
magicc_v5	substitution_titv	1.0	quality_tier	highly_fragmented	20	0.01	0.0	0.6653	0.598
magicc_v5	substitution_titv	1.0	quality_tier	low	20	0.01	0.0	0.9265	0.5921
magicc_v5	substitution_titv	1.0	quality_tier	medium	20	0.01002	0.0	0.1865	0.3775
magicc_v5	substitution_titv	1.0	contig_stratum	base_contigs<20	42	0.01001	0.0	0.6622	0.6512
magicc_v5	substitution_titv	1.0	contig_stratum	base_contigs>=20	38	0.01	0.0	0.618	0.4575
