cell	tool	input_set	cache	threads	repeat	t_start_utc	wall_clock_s	pct_cpu	user_s	sys_s	disk_read_gb	disk_read_frac_of_input	major_faults	page_cache_state	loadavg_1min_before	sum_pcpu_all_processes_before	feature_extraction_s	normalization_s	onnx_inference_s	internal_total_s	peak_rss_gb
checkm2_vectors__t32__set_E_100__warm__r1	checkm2_vectors	set_E_100	warm	32	1	2026-07-29T19:37:41Z	547.44	2239.0	12051.74	205.61	0.0	0.0	0	resident	0.83	104.0					10.5575
magicc__t32__set_E_100__warm__r1	magicc	set_E_100	warm	32	1	2026-07-31T00:23:30Z	13.25	642.0	39.98	45.22	0.9637	1.989	1226	cold_first_touch	0.29	39.2	8.7	0.02	0.139	10.7	0.3566
magicc__t1__set_E_100__warm__r1	magicc	set_E_100	warm	1	1	2026-07-31T00:24:58Z	5.9	99.0	5.27	0.6	0.0	0.0	1	resident	0.89	39.3	4.9	0.009	0.138	5.6	0.3852
magicc__t32__set_E_full__warm__r1	magicc	set_E_full	warm	32	1	2026-07-31T00:25:04Z	39.06	341.0	112.86	20.57	4.388	0.901	5	cold_first_touch	0.83	138.3	36.7	0.301	1.358	38.9	0.4968
deepcheck__t32__set_E_full__warm__r1	deepcheck	set_E_full	warm	32	1	2026-07-31T00:28:29Z	39.84	1958.0	767.3	13.13	1.025	0.21	1055	cold_first_touch	0.84	22.1					1.2117
magicc__t1__set_E_full__warm__r1	magicc	set_E_full	warm	1	1	2026-07-31T00:31:24Z	48.61	99.0	46.14	2.44	0.0	0.0	0	resident	0.87	115.9	46.3	0.217	1.33	48.3	0.6471
magicc__t16__set_E_full__warm__r1	magicc	set_E_full	warm	16	1	2026-07-31T00:32:12Z	6.94	973.0	59.12	8.41	0.0	0.0	1	resident	0.94	15.0	4.5	0.31	1.354	6.7	0.4977
deepcheck__t16__set_E_100__warm__r1	deepcheck	set_E_100	warm	16	1	2026-07-31T00:33:04Z	6.53	1052.0	67.62	1.12	0.0172	0.036	0	resident	0.97	114.0					0.7053
magicc__t16__set_E_100__warm__r1	magicc	set_E_100	warm	16	1	2026-07-31T00:34:11Z	2.08	856.0	11.96	5.85	0.0	0.0	0	resident	0.8	12.7	1.2	0.039	0.152	1.9	0.3598
deepcheck__t1__set_E_100__warm__r1	deepcheck	set_E_100	warm	1	1	2026-07-31T00:34:13Z	55.6	100.0	54.81	0.81	0.0	0.0	0	resident	0.8	12.7					0.6687
deepcheck__t32__set_E_100__warm__r1	deepcheck	set_E_100	warm	32	1	2026-07-31T00:35:09Z	4.98	1714.0	83.7	1.67	0.0	0.0	0	resident	0.93	11.9					0.6672
deepcheck__t16__set_E_full__warm__r1	deepcheck	set_E_full	warm	16	1	2026-07-31T00:35:14Z	43.81	1457.0	630.27	8.24	0.0	0.0	0	resident	0.93	11.8					1.2492
magicc__t8__set_E_full__warm__r1	magicc	set_E_full	warm	8	1	2026-07-31T00:38:13Z	10.27	563.0	53.29	4.6	0.0	0.0	2	resident	0.81	110.0	7.8	0.325	1.349	10.1	0.4981
