tool	input_set	threads	n_warm_resident	wall_median_s_warm	wall_min_s_warm	wall_max_s_warm	n_cold_verified	wall_median_s_cold_verified	cold_verified_disk_read_GB	n_first_touch	wall_s_first_touch	first_touch_disk_read_GB	cold_verified_minus_warm_s	cold_verified_over_warm	first_touch_minus_warm_s	first_touch_over_warm
checkm2	set_E_100	1	3	7907.0	7900.0	7915.0	0			0						
checkm2	set_E_100	8	2	1201.95	1195.24	1208.65	0			1	1233.47	4.26			31.52	1.026
checkm2	set_E_100	16	3	687.94	679.71	723.83	0			0						
checkm2	set_E_100	32	4	556.35	543.97	563.61	0			0						
checkm2_vectors	set_E_100	32	1	547.44	547.44	547.44	0			0						
cocopye	set_E_100	1	3	1439.1	1417.3	1592.51	0			0						
cocopye	set_E_100	8	3	299.09	296.98	325.1	0			0						
cocopye	set_E_100	16	3	216.09	213.4	216.41	0			0						
cocopye	set_E_100	32	3	353.9	339.44	357.59	0			1	495.09	17.091			141.19	1.399
deepcheck	set_E_100	1	6	55.52	55.26	55.66	0			0						
deepcheck	set_E_100	8	3	9.78	9.71	9.82	0			0						
deepcheck	set_E_100	16	3	6.39	6.37	6.53	0			0						
deepcheck	set_E_100	32	3	4.98	4.95	4.98	0			0						
magicc	set_E_100	1	3	5.9	5.88	5.95	0			0						
magicc	set_E_100	8	3	2.21	2.14	2.24	0			0						
magicc	set_E_100	16	3	2.11	2.08	2.13	0			0						
magicc	set_E_100	32	2	2.19	2.15	2.23	0			1	13.25	0.964			11.06	6.05
checkm2	set_E_full	32	1	4208.0	4208.0	4208.0	0			0						
cocopye	set_E_full	32	1	3177.54	3177.54	3177.54	0			0						
deepcheck	set_E_full	1	3	534.59	534.43	537.28	0			0						
deepcheck	set_E_full	8	3	78.11	78.02	78.67	0			0						
deepcheck	set_E_full	16	3	43.54	42.71	43.81	0			0						
deepcheck	set_E_full	32	2	29.36	29.24	29.48	0			1	39.84	1.025			10.48	1.357
magicc	set_E_full	1	9	49.03	48.61	50.03	0			0						
magicc	set_E_full	8	3	10.27	10.27	10.27	0			0						
magicc	set_E_full	16	3	6.94	6.94	7.28	0			0						
magicc	set_E_full	32	5	5.86	5.81	6.09	0			1	39.06	4.388			33.2	6.666
magicc_condarun	set_E_full	1	3	50.83	50.09	50.84	0			0						
