tool	threads	wall_100_s	wall_1000_s	fixed_startup_s	marginal_s_per_genome	fixed_share_of_100genome_run_pct	fixed_share_of_1000genome_run_pct
checkm2	32	559.66	4208.0	154.29	4.0537	27.6	3.7
cocopye	32	353.9	3177.54	40.16	3.1374	11.3	1.3
deepcheck	1	55.54	534.59	2.31	0.5323	4.2	0.4
deepcheck	8	9.78	78.11	2.19	0.0759	22.4	2.8
deepcheck	16	6.39	43.54	2.26	0.0413	35.4	5.2
deepcheck	32	4.98	29.48	2.26	0.0272	45.3	7.7
magicc	1	5.9	49.02	1.11	0.0479	18.8	2.3
magicc	8	2.21	10.27	1.31	0.009	59.5	12.8
magicc	16	2.11	6.94	1.57	0.0054	74.6	22.7
magicc	32	2.23	6.04	1.81	0.0042	81.0	29.9
