tool	threads	repeat	input_set	cache	n_genomes	wall_clock_s	peak_rss_gb	feature_extraction_s	normalization_s	onnx_inference_s	internal_total_s	compute_phase_s	overhead_outside_internal_timer_s	overhead_outside_compute_phase_s	pct_wall_not_seen_by_1451_timer
magicc	1	1	set_E_100	warm	100	5.9	0.385	4.9	0.009	0.138	5.6	5.038	0.3	0.862	14.61
magicc	1	2	set_E_100	warm	100	5.95	0.385	5.0	0.009	0.137	5.7	5.137	0.25	0.813	13.664
magicc	1	3	set_E_100	warm	100	5.88	0.385	5.0	0.008	0.139	5.6	5.139	0.28	0.741	12.602
magicc	8	1	set_E_100	warm	100	2.21	0.36	1.3	0.039	0.17	2.0	1.47	0.21	0.74	33.484
magicc	8	2	set_E_100	warm	100	2.24	0.361	1.3	0.039	0.146	2.0	1.446	0.24	0.794	35.446
magicc	8	3	set_E_100	warm	100	2.14	0.36	1.3	0.038	0.154	2.0	1.454	0.14	0.686	32.056
magicc	16	1	set_E_100	warm	100	2.08	0.36	1.2	0.039	0.152	1.9	1.352	0.18	0.728	35.0
magicc	16	2	set_E_100	warm	100	2.11	0.36	1.2	0.038	0.153	1.9	1.353	0.21	0.757	35.877
magicc	16	3	set_E_100	warm	100	2.13	0.358	1.2	0.039	0.171	1.9	1.371	0.23	0.759	35.634
magicc	32	1	set_E_100	warm	100	13.25	0.357	8.7	0.02	0.139	10.7	8.839	2.55	4.411	33.291
magicc	32	2	set_E_100	warm	100	2.23	0.358	1.3	0.02	0.169	2.0	1.469	0.23	0.761	34.126
magicc	32	3	set_E_100	warm	100	2.15	0.359	1.3	0.02	0.139	2.0	1.439	0.15	0.711	33.07
magicc	1	1	set_E_full	cold	1000	49.0	0.646	46.6	0.232	1.333	48.7	47.933	0.3	1.067	2.178
magicc	1	2	set_E_full	cold	1000	49.07	0.648	46.7	0.226	1.331	48.8	48.031	0.27	1.039	2.117
magicc	1	3	set_E_full	cold	1000	50.03	0.648	47.4	0.242	1.546	49.7	48.946	0.33	1.084	2.167
magicc	32	1	set_E_full	cold	1000	5.81	0.498	3.5	0.239	1.339	5.6	4.839	0.21	0.971	16.713
magicc	32	2	set_E_full	cold	1000	5.86	0.498	3.5	0.239	1.35	5.7	4.85	0.16	1.01	17.235
magicc	32	3	set_E_full	cold	1000	6.09	0.497	3.5	0.249	1.595	5.9	5.095	0.19	0.995	16.338
magicc	1	1	set_E_full	warm	1000	48.61	0.647	46.3	0.217	1.33	48.3	47.63	0.31	0.98	2.016
magicc	1	2	set_E_full	warm	1000	48.83	0.647	46.4	0.225	1.34	48.5	47.74	0.33	1.09	2.232
magicc	1	3	set_E_full	warm	1000	49.23	0.647	46.8	0.225	1.341	48.9	48.141	0.33	1.089	2.212
magicc	1	4	set_E_full	warm	1000	49.03	0.648	46.6	0.227	1.353	48.7	47.953	0.33	1.077	2.197
magicc	1	5	set_E_full	warm	1000	49.31	0.647	46.9	0.226	1.34	49.0	48.24	0.31	1.07	2.17
magicc	1	6	set_E_full	warm	1000	49.0	0.648	46.6	0.226	1.338	48.7	47.938	0.3	1.062	2.167
magicc	8	1	set_E_full	warm	1000	10.27	0.498	7.8	0.325	1.349	10.1	9.149	0.17	1.121	10.915
magicc	8	2	set_E_full	warm	1000	10.27	0.498	7.9	0.326	1.33	10.1	9.23	0.17	1.04	10.127
magicc	8	3	set_E_full	warm	1000	10.27	0.498	7.8	0.334	1.369	10.1	9.169	0.17	1.101	10.721
magicc	16	1	set_E_full	warm	1000	6.94	0.498	4.5	0.31	1.354	6.7	5.854	0.24	1.086	15.648
magicc	16	2	set_E_full	warm	1000	6.94	0.497	4.5	0.329	1.353	6.8	5.853	0.14	1.087	15.663
magicc	16	3	set_E_full	warm	1000	7.28	0.498	4.6	0.305	1.656	7.1	6.256	0.18	1.024	14.066
magicc	32	1	set_E_full	warm	1000	39.06	0.497	36.7	0.301	1.358	38.9	38.058	0.16	1.002	2.565
magicc	32	2	set_E_full	warm	1000	6.04	0.498	3.5	0.247	1.592	5.8	5.092	0.24	0.948	15.695
magicc	32	3	set_E_full	warm	1000	5.83	0.498	3.5	0.238	1.366	5.6	4.866	0.23	0.964	16.535
magicc_condarun	1	4	set_E_full	warm	1000	50.84	0.647	47.2	0.227	1.333	49.3	48.533	1.54	2.307	4.538
magicc_condarun	1	5	set_E_full	warm	1000	50.83	0.647	47.2	0.229	1.337	49.3	48.537	1.53	2.293	4.511
magicc_condarun	1	6	set_E_full	warm	1000	50.09	0.648	46.4	0.232	1.34	48.5	47.74	1.59	2.35	4.692
