tool	tool_label	input_set	n_genomes	threads	wall_median_s	n_repeats	speedup_vs_1_thread	parallel_efficiency_pct	genomes_per_min	genomes_per_min_per_thread
checkm2	CheckM2 1.0.1	set_E_100	100	1	7907.0	3	1.0	100.0	0.8	0.8
checkm2	CheckM2 1.0.1	set_E_100	100	8	1208.65	3	6.54	81.8	5.0	0.6
checkm2	CheckM2 1.0.1	set_E_100	100	16	687.94	3	11.49	71.8	8.7	0.5
checkm2	CheckM2 1.0.1	set_E_100	100	32	559.66	3	14.13	44.2	10.7	0.3
cocopye	CoCoPyE 0.5.0	set_E_100	100	1	1439.1	3	1.0	100.0	4.2	4.2
cocopye	CoCoPyE 0.5.0	set_E_100	100	8	299.09	3	4.81	60.1	20.1	2.5
cocopye	CoCoPyE 0.5.0	set_E_100	100	16	216.09	3	6.66	41.6	27.8	1.7
cocopye	CoCoPyE 0.5.0	set_E_100	100	32	353.9	3	4.07	12.7	17.0	0.5
deepcheck	DeepCheck (inference only)	set_E_100	100	1	55.54	3	1.0	100.0	108.0	108.0
deepcheck	DeepCheck (inference only)	set_E_100	100	8	9.78	3	5.68	71.0	613.5	76.7
deepcheck	DeepCheck (inference only)	set_E_100	100	16	6.39	3	8.69	54.3	939.0	58.7
deepcheck	DeepCheck (inference only)	set_E_100	100	32	4.98	3	11.15	34.9	1204.8	37.7
magicc	MAGICC v0.3.0 (V5)	set_E_100	100	1	5.9	3	1.0	100.0	1016.9	1016.9
magicc	MAGICC v0.3.0 (V5)	set_E_100	100	8	2.21	3	2.67	33.4	2714.9	339.4
magicc	MAGICC v0.3.0 (V5)	set_E_100	100	16	2.11	3	2.8	17.5	2843.6	177.7
magicc	MAGICC v0.3.0 (V5)	set_E_100	100	32	2.23	3	2.65	8.3	2690.6	84.1
deepcheck	DeepCheck (inference only)	set_E_full	1000	1	534.59	3	1.0	100.0	112.2	112.2
deepcheck	DeepCheck (inference only)	set_E_full	1000	8	78.11	3	6.84	85.6	768.1	96.0
deepcheck	DeepCheck (inference only)	set_E_full	1000	16	43.54	3	12.28	76.7	1378.0	86.1
deepcheck	DeepCheck (inference only)	set_E_full	1000	32	29.48	3	18.13	56.7	2035.3	63.6
magicc	MAGICC v0.3.0 (V5)	set_E_full	1000	1	49.02	6	1.0	100.0	1224.1	1224.1
magicc	MAGICC v0.3.0 (V5)	set_E_full	1000	8	10.27	3	4.77	59.7	5842.3	730.3
magicc	MAGICC v0.3.0 (V5)	set_E_full	1000	16	6.94	3	7.06	44.1	8645.5	540.3
magicc	MAGICC v0.3.0 (V5)	set_E_full	1000	32	6.04	3	8.12	25.4	9933.8	310.4
magicc_condarun	magicc_condarun	set_E_full	1000	1	50.83	3	1.0	100.0	1180.4	1180.4
