tool	tool_label	input_set	cache	threads	n_repeats	wall_median_s	wall_min_s	wall_max_s	peak_rss_gb_median	peak_rss_gb_max	pct_cpu_median	loadavg_before_max	n_genomes	n_output_rows	rc_max	wall_range_pct	genomes_per_min	genomes_per_min_per_thread
magicc	MAGICC v0.3.0 (V5)	set_E_100	warm	1	3	5.9	5.88	5.95	0.3852	0.3852	99.0	0.98	100	100	0	1.1864	1016.9492	1016.9492
magicc	MAGICC v0.3.0 (V5)	set_E_100	warm	8	3	2.21	2.14	2.24	0.3605	0.361	470.0	0.98	100	100	0	4.5249	2714.9321	339.3665
magicc	MAGICC v0.3.0 (V5)	set_E_100	warm	16	3	2.11	2.08	2.13	0.3598	0.3602	856.0	0.96	100	100	0	2.3697	2843.6019	177.7251
magicc	MAGICC v0.3.0 (V5)	set_E_100	warm	32	3	2.23	2.15	13.25	0.3583	0.3589	1662.0	0.98	100	100	0	497.7578	2690.583	84.0807
checkm2	CheckM2 1.0.1	set_E_100	warm	1	3	7907.0	7900.0	7915.0	10.6074	10.6077	100.0	0.9	100	100	0	0.1897	0.7588	0.7588
checkm2	CheckM2 1.0.1	set_E_100	warm	8	3	1208.65	1195.24	1233.47	10.4767	10.5424	738.0	0.97	100	100	0	3.163	4.9642	0.6205
checkm2	CheckM2 1.0.1	set_E_100	warm	16	3	687.94	679.71	723.83	10.5331	10.5348	1358.0	0.98	100	100	0	6.4134	8.7217	0.5451
checkm2	CheckM2 1.0.1	set_E_100	warm	32	3	559.66	553.03	563.61	10.6102	10.6593	2198.0	0.88	100	100	0	1.8904	10.7208	0.335
cocopye	CoCoPyE 0.5.0	set_E_100	warm	1	3	1439.1	1417.3	1592.51	15.841	15.841	103.0	0.99	100	100	0	12.175	4.1693	4.1693
cocopye	CoCoPyE 0.5.0	set_E_100	warm	8	3	299.09	296.98	325.1	15.8577	15.8577	1094.0	0.94	100	100	0	9.4019	20.0609	2.5076
cocopye	CoCoPyE 0.5.0	set_E_100	warm	16	3	216.09	213.4	216.41	15.869	15.8694	2130.0	0.95	100	100	0	1.3929	27.7662	1.7354
cocopye	CoCoPyE 0.5.0	set_E_100	warm	32	3	353.9	339.44	495.09	15.888	15.8891	2004.0	0.93	100	100	0	43.9814	16.9539	0.5298
deepcheck	DeepCheck (inference only)	set_E_100	warm	1	3	55.54	55.26	55.6	0.6687	0.6687	100.0	0.98	100	100	0	0.6122	108.0302	108.0302
deepcheck	DeepCheck (inference only)	set_E_100	warm	8	3	9.78	9.71	9.82	0.6672	0.6673	640.0	0.88	100	100	0	1.1247	613.4969	76.6871
deepcheck	DeepCheck (inference only)	set_E_100	warm	16	3	6.39	6.37	6.53	0.6675	0.7053	1080.0	0.99	100	100	0	2.5039	938.9671	58.6854
deepcheck	DeepCheck (inference only)	set_E_100	warm	32	3	4.98	4.95	4.98	0.6672	0.6673	1714.0	0.98	100	100	0	0.6024	1204.8193	37.6506
checkm2_vectors	CheckM2 1.0.1 (+feature dump)	set_E_100	warm	32	1	547.44	547.44	547.44	10.5575	10.5575	2239.0	0.83	100	100	0	0.0	10.9601	0.3425
magicc	MAGICC v0.3.0 (V5)	set_E_full	warm	1	6	49.015	48.61	49.31	0.6472	0.6483	99.0	0.99	1000	1000	0	1.4281	1224.1151	1224.1151
magicc	MAGICC v0.3.0 (V5)	set_E_full	warm	8	3	10.27	10.27	10.27	0.4978	0.4981	563.0	0.95	1000	1000	0	0.0	5842.259	730.2824
magicc	MAGICC v0.3.0 (V5)	set_E_full	warm	16	3	6.94	6.94	7.28	0.4977	0.4979	965.0	0.94	1000	1000	0	4.8991	8645.5331	540.3458
magicc	MAGICC v0.3.0 (V5)	set_E_full	warm	32	3	6.04	5.83	39.06	0.4975	0.4983	1683.0	0.86	1000	1000	0	550.1656	9933.7748	310.4305
checkm2	CheckM2 1.0.1	set_E_full	warm	32	1	4208.0	4208.0	4208.0	18.8767	18.8767	2627.0	0.89	1000	1000	0	0.0	14.2586	0.4456
cocopye	CoCoPyE 0.5.0	set_E_full	warm	32	1	3177.54	3177.54	3177.54	15.9	15.9	2213.0	0.98	1000	1000	0	0.0	18.8825	0.5901
deepcheck	DeepCheck (inference only)	set_E_full	warm	1	3	534.59	534.43	537.28	1.2778	1.2872	99.0	0.97	1000	1000	0	0.5331	112.2355	112.2355
deepcheck	DeepCheck (inference only)	set_E_full	warm	8	3	78.11	78.02	78.67	1.2759	1.2771	759.0	0.97	1000	1000	0	0.8322	768.1475	96.0184
deepcheck	DeepCheck (inference only)	set_E_full	warm	16	3	43.54	42.71	43.81	1.2492	1.2756	1459.0	0.93	1000	1000	0	2.5264	1378.0432	86.1277
deepcheck	DeepCheck (inference only)	set_E_full	warm	32	3	29.48	29.24	39.84	1.2739	1.2834	2601.0	0.94	1000	1000	0	35.9566	2035.2782	63.6024
magicc_condarun	magicc_condarun	set_E_full	warm	1	3	50.83	50.09	50.84	0.6474	0.6479	99.0	0.99	1000	1000	0	1.4755	1180.4053	1180.4053
