utc	cell	gate	threshold	load1_at_decision	waited_s	decision	busy_pct_all_procs
2026-08-28T15:28:56Z	magicc_v033__t1__set_E_full__warm__r1	load1	1.5	1.40	30	PROCEED	103.4
2026-08-28T15:29:49Z	magicc_v033_xmodel__t1__set_E_full__warm__r1	load1	1.5	1.47	0	PROCEED	3.4
2026-08-28T15:30:40Z	magicc_v033__t8__set_E_full__warm__r1	load1	4.0	1.52	0	PROCEED	3.4
2026-08-28T15:30:53Z	magicc_v033_xmodel__t8__set_E_full__warm__r1	load1	4.0	2.31	0	PROCEED	3.4
2026-08-28T15:31:06Z	magicc_v033__t16__set_E_full__warm__r1	load1	4.0	2.63	0	PROCEED	203.4
2026-08-28T15:31:15Z	magicc_v033_xmodel__t16__set_E_full__warm__r1	load1	4.0	2.89	0	PROCEED	3.4
2026-08-28T15:31:24Z	magicc_v033__t32__set_E_full__warm__r1	load1	4.0	3.79	0	PROCEED	3.4
2026-08-28T15:32:03Z	magicc_v033_xmodel__t32__set_E_full__warm__r1	load1	4.0	3.66	30	PROCEED	3.4
2026-08-28T15:33:11Z	magicc_v033__t1__set_E_100__warm__r1	load1	1.5	1.17	60	PROCEED	3.4
2026-08-28T15:33:19Z	magicc_v033_xmodel__t1__set_E_100__warm__r1	load1	1.5	1.21	0	PROCEED	3.4
2026-08-28T15:33:28Z	magicc_v033__t8__set_E_100__warm__r1	load1	4.0	1.20	0	PROCEED	3.4
2026-08-28T15:33:33Z	magicc_v033_xmodel__t8__set_E_100__warm__r1	load1	4.0	1.10	0	PROCEED	103.4
2026-08-28T15:33:37Z	magicc_v033__t16__set_E_100__warm__r1	load1	4.0	1.01	0	PROCEED	103.4
2026-08-28T15:33:42Z	magicc_v033_xmodel__t16__set_E_100__warm__r1	load1	4.0	0.93	0	PROCEED	3.4
2026-08-28T15:33:46Z	magicc_v033__t32__set_E_100__warm__r1	load1	4.0	0.94	0	PROCEED	3.4
2026-08-28T15:33:50Z	magicc_v033_xmodel__t32__set_E_100__warm__r1	load1	4.0	1.02	0	PROCEED	3.4
2026-08-28T15:34:55Z	magicc_v033__t1__set_E_full__warm__r2	load1	1.5	1.43	60	PROCEED	103.4
2026-08-28T15:35:47Z	magicc_v033_xmodel__t1__set_E_full__warm__r2	load1	1.5	1.18	0	PROCEED	3.4
2026-08-28T15:36:38Z	magicc_v033__t8__set_E_full__warm__r2	load1	4.0	1.12	0	PROCEED	3.4
2026-08-28T15:36:51Z	magicc_v033_xmodel__t8__set_E_full__warm__r2	load1	4.0	1.54	0	PROCEED	3.4
2026-08-28T15:37:03Z	magicc_v033__t16__set_E_full__warm__r2	load1	4.0	2.33	0	PROCEED	3.4
2026-08-28T15:37:13Z	magicc_v033_xmodel__t16__set_E_full__warm__r2	load1	4.0	3.42	0	PROCEED	3.4
2026-08-28T15:37:52Z	magicc_v033__t32__set_E_full__warm__r2	load1	4.0	2.48	30	PROCEED	3.4
2026-08-28T15:38:00Z	magicc_v033_xmodel__t32__set_E_full__warm__r2	load1	4.0	2.25	0	PROCEED	3.4
2026-08-28T15:39:38Z	magicc_v033__t1__set_E_100__warm__r2	load1	1.5	1.11	90	PROCEED	103.4
2026-08-28T15:39:47Z	magicc_v033_xmodel__t1__set_E_100__warm__r2	load1	1.5	1.11	0	PROCEED	103.4
2026-08-28T15:39:55Z	magicc_v033__t8__set_E_100__warm__r2	load1	4.0	1.16	0	PROCEED	3.4
2026-08-28T15:40:00Z	magicc_v033_xmodel__t8__set_E_100__warm__r2	load1	4.0	1.71	0	PROCEED	103.4
2026-08-28T15:40:05Z	magicc_v033__t16__set_E_100__warm__r2	load1	4.0	1.65	0	PROCEED	3.4
2026-08-28T15:40:09Z	magicc_v033_xmodel__t16__set_E_100__warm__r2	load1	4.0	1.68	0	PROCEED	103.4
2026-08-28T15:40:13Z	magicc_v033__t32__set_E_100__warm__r2	load1	4.0	1.55	0	PROCEED	3.4
2026-08-28T15:40:18Z	magicc_v033_xmodel__t32__set_E_100__warm__r2	load1	4.0	1.55	0	PROCEED	103.4
2026-08-28T15:40:52Z	magicc_v033__t1__set_E_full__warm__r3	load1	1.5	1.07	30	PROCEED	3.4
2026-08-28T15:41:44Z	magicc_v033_xmodel__t1__set_E_full__warm__r3	load1	1.5	1.12	0	PROCEED	3.4
2026-08-28T15:42:36Z	magicc_v033__t8__set_E_full__warm__r3	load1	4.0	1.09	0	PROCEED	3.4
2026-08-28T15:42:49Z	magicc_v033_xmodel__t8__set_E_full__warm__r3	load1	4.0	1.98	0	PROCEED	3.4
2026-08-28T15:43:01Z	magicc_v033__t16__set_E_full__warm__r3	load1	4.0	2.35	0	PROCEED	103.4
2026-08-28T15:43:10Z	magicc_v033_xmodel__t16__set_E_full__warm__r3	load1	4.0	2.14	0	PROCEED	3.4
2026-08-28T15:43:19Z	magicc_v033__t32__set_E_full__warm__r3	load1	4.0	3.07	0	PROCEED	3.4
2026-08-28T15:43:58Z	magicc_v033_xmodel__t32__set_E_full__warm__r3	load1	4.0	3.26	30	PROCEED	3.4
2026-08-28T15:45:06Z	magicc_v033__t1__set_E_100__warm__r3	load1	1.5	1.07	60	PROCEED	103.4
2026-08-28T15:45:15Z	magicc_v033_xmodel__t1__set_E_100__warm__r3	load1	1.5	1.14	0	PROCEED	203.4
2026-08-28T15:45:23Z	magicc_v033__t8__set_E_100__warm__r3	load1	4.0	1.13	0	PROCEED	3.4
2026-08-28T15:45:28Z	magicc_v033_xmodel__t8__set_E_100__warm__r3	load1	4.0	1.04	0	PROCEED	3.4
2026-08-28T15:45:32Z	magicc_v033__t16__set_E_100__warm__r3	load1	4.0	0.96	0	PROCEED	3.4
2026-08-28T15:45:37Z	magicc_v033_xmodel__t16__set_E_100__warm__r3	load1	4.0	0.88	0	PROCEED	103.4
2026-08-28T15:45:41Z	magicc_v033__t32__set_E_100__warm__r3	load1	4.0	0.89	0	PROCEED	103.4
2026-08-28T15:45:46Z	magicc_v033_xmodel__t32__set_E_100__warm__r3	load1	4.0	0.90	0	PROCEED	3.4
