tier	order	tool	threads	repeat	input_set	cache	note
1	1	magicc_v033	1	1	set_E_full	warm	released default path, SHA256 verified
1	2	magicc_v033_xmodel	1	1	set_E_full	warm	explicit --model, verification bypassed (= WS11.T invocation)
1	3	magicc_v033	8	1	set_E_full	warm	released default path, SHA256 verified
1	4	magicc_v033_xmodel	8	1	set_E_full	warm	explicit --model, verification bypassed (= WS11.T invocation)
1	5	magicc_v033	16	1	set_E_full	warm	released default path, SHA256 verified
1	6	magicc_v033_xmodel	16	1	set_E_full	warm	explicit --model, verification bypassed (= WS11.T invocation)
1	7	magicc_v033	32	1	set_E_full	warm	released default path, SHA256 verified
1	8	magicc_v033_xmodel	32	1	set_E_full	warm	explicit --model, verification bypassed (= WS11.T invocation)
1	9	magicc_v033	1	1	set_E_100	warm	released default path, SHA256 verified
1	10	magicc_v033_xmodel	1	1	set_E_100	warm	explicit --model, verification bypassed (= WS11.T invocation)
1	11	magicc_v033	8	1	set_E_100	warm	released default path, SHA256 verified
1	12	magicc_v033_xmodel	8	1	set_E_100	warm	explicit --model, verification bypassed (= WS11.T invocation)
1	13	magicc_v033	16	1	set_E_100	warm	released default path, SHA256 verified
1	14	magicc_v033_xmodel	16	1	set_E_100	warm	explicit --model, verification bypassed (= WS11.T invocation)
1	15	magicc_v033	32	1	set_E_100	warm	released default path, SHA256 verified
1	16	magicc_v033_xmodel	32	1	set_E_100	warm	explicit --model, verification bypassed (= WS11.T invocation)
1	17	magicc_v033	1	2	set_E_full	warm	released default path, SHA256 verified
1	18	magicc_v033_xmodel	1	2	set_E_full	warm	explicit --model, verification bypassed (= WS11.T invocation)
1	19	magicc_v033	8	2	set_E_full	warm	released default path, SHA256 verified
1	20	magicc_v033_xmodel	8	2	set_E_full	warm	explicit --model, verification bypassed (= WS11.T invocation)
1	21	magicc_v033	16	2	set_E_full	warm	released default path, SHA256 verified
1	22	magicc_v033_xmodel	16	2	set_E_full	warm	explicit --model, verification bypassed (= WS11.T invocation)
1	23	magicc_v033	32	2	set_E_full	warm	released default path, SHA256 verified
1	24	magicc_v033_xmodel	32	2	set_E_full	warm	explicit --model, verification bypassed (= WS11.T invocation)
1	25	magicc_v033	1	2	set_E_100	warm	released default path, SHA256 verified
1	26	magicc_v033_xmodel	1	2	set_E_100	warm	explicit --model, verification bypassed (= WS11.T invocation)
1	27	magicc_v033	8	2	set_E_100	warm	released default path, SHA256 verified
1	28	magicc_v033_xmodel	8	2	set_E_100	warm	explicit --model, verification bypassed (= WS11.T invocation)
1	29	magicc_v033	16	2	set_E_100	warm	released default path, SHA256 verified
1	30	magicc_v033_xmodel	16	2	set_E_100	warm	explicit --model, verification bypassed (= WS11.T invocation)
1	31	magicc_v033	32	2	set_E_100	warm	released default path, SHA256 verified
1	32	magicc_v033_xmodel	32	2	set_E_100	warm	explicit --model, verification bypassed (= WS11.T invocation)
1	33	magicc_v033	1	3	set_E_full	warm	released default path, SHA256 verified
1	34	magicc_v033_xmodel	1	3	set_E_full	warm	explicit --model, verification bypassed (= WS11.T invocation)
1	35	magicc_v033	8	3	set_E_full	warm	released default path, SHA256 verified
1	36	magicc_v033_xmodel	8	3	set_E_full	warm	explicit --model, verification bypassed (= WS11.T invocation)
1	37	magicc_v033	16	3	set_E_full	warm	released default path, SHA256 verified
1	38	magicc_v033_xmodel	16	3	set_E_full	warm	explicit --model, verification bypassed (= WS11.T invocation)
1	39	magicc_v033	32	3	set_E_full	warm	released default path, SHA256 verified
1	40	magicc_v033_xmodel	32	3	set_E_full	warm	explicit --model, verification bypassed (= WS11.T invocation)
1	41	magicc_v033	1	3	set_E_100	warm	released default path, SHA256 verified
1	42	magicc_v033_xmodel	1	3	set_E_100	warm	explicit --model, verification bypassed (= WS11.T invocation)
1	43	magicc_v033	8	3	set_E_100	warm	released default path, SHA256 verified
1	44	magicc_v033_xmodel	8	3	set_E_100	warm	explicit --model, verification bypassed (= WS11.T invocation)
1	45	magicc_v033	16	3	set_E_100	warm	released default path, SHA256 verified
1	46	magicc_v033_xmodel	16	3	set_E_100	warm	explicit --model, verification bypassed (= WS11.T invocation)
1	47	magicc_v033	32	3	set_E_100	warm	released default path, SHA256 verified
1	48	magicc_v033_xmodel	32	3	set_E_100	warm	explicit --model, verification bypassed (= WS11.T invocation)
