tool	tool_label	input_set	n_genomes	threads	wall_median_s	n_repeats	speedup_vs_1_thread	parallel_efficiency_pct	genomes_per_min	genomes_per_min_per_thread
magicc_v033	MAGICC v0.3.3 (released path, model SHA256 verified each run)	set_E_100	100	1	6.64	3	1.0	100.0	903.6	903.6
magicc_v033	MAGICC v0.3.3 (released path, model SHA256 verified each run)	set_E_100	100	8	2.73	3	2.43	30.4	2197.8	274.7
magicc_v033	MAGICC v0.3.3 (released path, model SHA256 verified each run)	set_E_100	100	16	2.47	3	2.69	16.8	2429.1	151.8
magicc_v033	MAGICC v0.3.3 (released path, model SHA256 verified each run)	set_E_100	100	32	2.5	3	2.66	8.3	2400.0	75.0
magicc_v033	MAGICC v0.3.3 (released path, model SHA256 verified each run)	set_E_full	1000	1	49.91	3	1.0	100.0	1202.2	1202.2
magicc_v033	MAGICC v0.3.3 (released path, model SHA256 verified each run)	set_E_full	1000	8	10.69	3	4.67	58.4	5612.7	701.6
magicc_v033	MAGICC v0.3.3 (released path, model SHA256 verified each run)	set_E_full	1000	16	7.29	3	6.85	42.8	8230.5	514.4
magicc_v033	MAGICC v0.3.3 (released path, model SHA256 verified each run)	set_E_full	1000	32	6.26	3	7.97	24.9	9584.7	299.5
magicc_v033_xmodel	MAGICC v0.3.3 (explicit --model, verification bypassed)	set_E_100	100	1	6.19	3	1.0	100.0	969.3	969.3
magicc_v033_xmodel	MAGICC v0.3.3 (explicit --model, verification bypassed)	set_E_100	100	8	2.29	3	2.7	33.8	2620.1	327.5
magicc_v033_xmodel	MAGICC v0.3.3 (explicit --model, verification bypassed)	set_E_100	100	16	2.06	3	3.0	18.8	2912.6	182.0
magicc_v033_xmodel	MAGICC v0.3.3 (explicit --model, verification bypassed)	set_E_100	100	32	2.09	3	2.96	9.3	2870.8	89.7
magicc_v033_xmodel	MAGICC v0.3.3 (explicit --model, verification bypassed)	set_E_full	1000	1	49.3	3	1.0	100.0	1217.0	1217.0
magicc_v033_xmodel	MAGICC v0.3.3 (explicit --model, verification bypassed)	set_E_full	1000	8	10.28	3	4.8	59.9	5836.6	729.6
magicc_v033_xmodel	MAGICC v0.3.3 (explicit --model, verification bypassed)	set_E_full	1000	16	6.9	3	7.14	44.7	8695.7	543.5
magicc_v033_xmodel	MAGICC v0.3.3 (explicit --model, verification bypassed)	set_E_full	1000	32	5.74	3	8.59	26.8	10453.0	326.7
