campaign	tool	tool_label	threads	repeat	input_set	input_set_canon	cache	n_genomes	n_output_rows	wall_clock_s	peak_rss_gb	max_rss_kb	pct_cpu	user_s	sys_s	fs_inputs	fs_outputs	major_faults	minor_faults	loadavg_1min_before	loadavg_5min_before	loadavg_15min_before	loadavg_1min_after	sum_pcpu_all_processes_before	nproc	mem_available_kb_before	mem_available_kb_after	vmstat_before	vmstat_after	code_root	model	t_start_utc	t_end_utc	return_code	cell_median_s	dev_from_cell_median_pct	flag_load	flag_deviation	flagged	cell_file
WS11.T	checkm2	CheckM2 1.0.1	32	4	set_E_100	set_E_100	warm	100	100	597.56	10.6313	11147700	2154.0	12677.52	199.29	21200	23103448	0	49200521	39.96	22.56	9.66	27.01	108.1	48.0	909958620.0	907999312.0	0 0 0 726213876 1322676 187872672 0 0 0 828 953 1279 0 0 100 0 0 0	3 0 0 723809932 1336648 187912060 0 0 0 8 2518 785 4 1 96 0 0 0		/path/to/magicc/models/magicc_v5.onnx	2026-08-26T16:47:20Z	2026-08-26T16:57:18Z	0	559.66	6.772	True	False	True	/path/to/magicc/results/revision/speed_v3/runs/checkm2__t32__set_E_100__warm__r4.json
WS11.T	checkm2	CheckM2 1.0.1	32	5	set_E_100	set_E_100	warm	100	100	539.44	10.558	11070848	2260.0	11962.0	233.28	0	23103432	0	57738343	0.98	1.19	2.69	27.05	11.3	48.0	911241460.0	910816292.0	0 0 0 716947556 1349668 198339780 0 0 0 0 653 924 0 0 100 0 0 0	0 0 0 716524056 1351040 198345252 0 0 0 0 462 584 0 0 100 0 0 0		/path/to/magicc/models/magicc_v5.onnx	2026-08-26T17:40:35Z	2026-08-26T17:49:34Z	0	559.66	3.6129	False	False	False	/path/to/magicc/results/revision/speed_v3/runs/checkm2__t32__set_E_100__warm__r5.json
WS11.T	cocopye	CoCoPyE 0.5.0	32	4	set_E_100	set_E_100	warm	100	100	324.44	15.8865	16658212	1982.0	6330.13	101.59	6448	144	0	8852997	3.08	0.73	0.25	39.96	7.5	48.0	910006324.0	909905792.0	0 0 0 728275524 1318756 185895184 0 0 0 0 988 1130 0 0 100 0 0 0	0 0 0 726145988 1322664 187872664 0 0 0 0 512 718 0 0 100 0 0 0		/path/to/magicc/models/magicc_v5.onnx	2026-08-26T16:41:54Z	2026-08-26T16:47:18Z	0	346.67	6.4124	False	False	False	/path/to/magicc/results/revision/speed_v3/runs/cocopye__t32__set_E_100__warm__r4.json
WS11.T	deepcheck	DeepCheck (inference only)	32	4	set_E_100	set_E_100	warm	100	100	5.0	0.6673	699700	1682.0	83.04	1.15	3696	24	0	261326	0.56	0.21	0.08	3.08	107.5	48.0	909298792.0	909934840.0	1 0 0 727403072 1316888 185895148 0 0 0 0 1649 1016 2 0 98 0 0 0	0 0 0 728150136 1318756 185895180 0 0 0 860 858 1189 0 0 99 0 0 0		/path/to/magicc/models/magicc_v5.onnx	2026-08-26T16:41:47Z	2026-08-26T16:41:52Z	0	4.98	0.4016	False	False	False	/path/to/magicc/results/revision/speed_v3/runs/deepcheck__t32__set_E_100__warm__r4.json
WS11.T	magicc	MAGICC v0.3.0 (V5)	32	4	set_E_100	set_E_100	warm	100	100	2.19	0.3584	375788	1573.0	22.68	11.87	0	16	2	900036	0.44	0.18	0.07	0.56	7.4	48.0	910671336.0	909192592.0	0 0 0 728871380 1316872 185895096 0 0 0 0 714 1066 0 0 100 0 0 0	1 0 0 727438828 1316884 185895144 0 0 0 0 1485 1446 1 0 98 0 0 0		/path/to/magicc/models/magicc_v5.onnx	2026-08-26T16:41:42Z	2026-08-26T16:41:44Z	0	2.21	0.905	False	False	False	/path/to/magicc/results/revision/speed_v3/runs/magicc__t32__set_E_100__warm__r4.json
WS11.T	magicc	MAGICC v0.3.0 (V5)	1	11	set_E_full	set_E_full	warm	1000	1000	49.86	0.6484	679848	99.0	47.23	2.61	0	72	0	841220	1.19	10.0	12.44	1.86	209.2	48.0	909062560.0	909086168.0	2 0 0 724701600 1337164 187916384 0 0 0 24 2888 1458 4 1 96 0 0 0	1 0 0 724737916 1337264 187916528 0 0 0 44 1763 1157 2 1 98 0 0 0		/path/to/magicc/models/magicc_v5.onnx	2026-08-26T17:02:26Z	2026-08-26T17:03:16Z	0	49.18	1.3827	False	False	False	/path/to/magicc/results/revision/speed_v3/runs/magicc__t1__set_E_full__warm__r11.json
WS11.T	magicc	MAGICC v0.3.0 (V5)	1	12	set_E_full	set_E_full	warm	1000	1000	50.62	0.6473	678744	99.0	48.13	2.47	0	72	0	790114	1.31	2.41	6.93	2.13	9.7	48.0	911198780.0	910578576.0	0 0 0 727306668 1339780 187947516 0 0 0 0 1068 1464 0 0 100 0 0 0	3 0 0 726639080 1340208 187956920 0 0 0 136 3225 1308 4 0 95 0 0 0		/path/to/magicc/models/magicc_v5.onnx	2026-08-26T17:13:11Z	2026-08-26T17:14:02Z	0	49.18	2.928	False	False	False	/path/to/magicc/results/revision/speed_v3/runs/magicc__t1__set_E_full__warm__r12.json
WS11.T	magicc	MAGICC v0.3.0 (V5)	1	13	set_E_full	set_E_full	warm	1000	1000	49.18	0.6477	679112	99.0	46.75	2.4	0	72	0	803720	0.89	1.53	3.31	0.95	11.8	48.0	911248720.0	911249540.0	0 0 0 716955228 1349212 198339544 0 0 0 188 804 1171 0 0 100 0 0 0	0 0 0 716957500 1349288 198339580 0 0 0 0 583 746 0 0 100 0 0 0		/path/to/magicc/models/magicc_v5.onnx	2026-08-26T17:35:55Z	2026-08-26T17:36:44Z	0	49.18	0.0	False	False	False	/path/to/magicc/results/revision/speed_v3/runs/magicc__t1__set_E_full__warm__r13.json
WS11.T	magicc_dir	MAGICC v0.3.0 (V5), directory input	1	11	set_E_full_dir	set_E_full	warm	1000	1000	49.93	0.6482	679712	99.0	47.31	2.61	0	72	0	789814	1.31	7.39	11.22	1.96	209.2	48.0	909219196.0	908540292.0	2 0 0 725356980 1337368 187916644 0 0 0 4 1813 1195 2 0 98 0 0 0	2 0 0 724191176 1337516 187916748 0 0 0 0 1584 1198 2 1 98 0 0 0		/path/to/magicc/models/magicc_v5.onnx	2026-08-26T17:04:18Z	2026-08-26T17:05:08Z	0	49.93	0.0	False	False	False	/path/to/magicc/results/revision/speed_v3/runs/magicc_dir__t1__set_E_full_dir__warm__r11.json
WS11.T	magicc_dir	MAGICC v0.3.0 (V5), directory input	1	12	set_E_full_dir	set_E_full	warm	1000	1000	50.84	0.6479	679376	99.0	48.35	2.48	0	72	0	807728	1.39	2.61	5.1	2.03	111.0	48.0	905152328.0	909501088.0	1 0 0 710845900 1346508 197993288 0 0 0 3404 1875 1512 2 1 97 0 0 0	3 0 0 714914700 1346664 197993100 0 0 0 140 6447 3245 5 1 95 0 0 0		/path/to/magicc/models/magicc_v5.onnx	2026-08-26T17:25:04Z	2026-08-26T17:25:55Z	0	49.93	1.8226	False	False	False	/path/to/magicc/results/revision/speed_v3/runs/magicc_dir__t1__set_E_full_dir__warm__r12.json
