tool	threads	repeat	input_set	cache	n_genomes	n_output_rows	wall_clock_s	peak_rss_gb	pct_cpu	user_s	sys_s	fs_inputs	return_code	model	code_root	t_start_utc	loadavg_1min_before	feature_extraction_s	normalization_s	onnx_inference_s	internal_total_s	process_overhead_s
magicc	1	1	set_E_100	warm	100	100	5.9	0.3852	99.0	5.27	0.6	8	0			2026-07-31T00:24:58Z	0.89	4.9	0.009	0.138	5.6	0.3
magicc	1	1	set_E_full	cold	1000	1000	49.0	0.6459	99.0	46.42	2.55	0	0			2026-07-31T07:46:32Z	0.94	46.6	0.232	1.333	48.7	0.3
magicc	1	1	set_E_full	warm	1000	1000	48.61	0.6471	99.0	46.14	2.44	0	0			2026-07-31T00:31:24Z	0.87	46.3	0.217	1.33	48.3	0.31
magicc	1	2	set_E_100	warm	100	100	5.95	0.3851	99.0	5.32	0.62	0	0			2026-07-31T01:10:13Z	0.8	5.0	0.009	0.137	5.7	0.25
magicc	1	2	set_E_full	cold	1000	1000	49.07	0.6478	99.0	46.45	2.59	0	0			2026-07-31T08:03:48Z	0.98	46.7	0.226	1.331	48.8	0.27
magicc	1	2	set_E_full	warm	1000	1000	48.83	0.6471	99.0	46.25	2.56	0	0			2026-07-31T01:00:09Z	0.88	46.4	0.225	1.34	48.5	0.33
magicc	1	3	set_E_100	warm	100	100	5.88	0.3852	99.0	5.27	0.61	0	0			2026-07-31T01:39:11Z	0.98	5.0	0.008	0.139	5.6	0.28
magicc	1	3	set_E_full	cold	1000	1000	50.03	0.6482	99.0	47.18	2.82	0	0			2026-07-31T08:06:55Z	0.98	47.4	0.242	1.546	49.7	0.33
magicc	1	3	set_E_full	warm	1000	1000	49.23	0.6473	99.0	46.61	2.59	0	0			2026-07-31T01:26:05Z	0.99	46.8	0.225	1.341	48.9	0.33
magicc	1	4	set_E_full	warm	1000	1000	49.03	0.6483	99.0	46.51	2.49	0	0			2026-07-31T08:08:51Z	0.83	46.6	0.227	1.353	48.7	0.33
magicc	1	5	set_E_full	warm	1000	1000	49.31	0.6469	99.0	46.76	2.51	0	0			2026-07-31T08:09:40Z	0.93	46.9	0.226	1.34	49.0	0.31
magicc	1	6	set_E_full	warm	1000	1000	49.0	0.6477	99.0	46.48	2.5	0	0			2026-07-31T08:12:26Z	0.77	46.6	0.226	1.338	48.7	0.3
magicc	1	11	set_E_full	warm	1000	1000	49.86	0.6484	99.0	47.23	2.61	0	0	/path/to/magicc/models/magicc_v5.onnx		2026-08-26T17:02:26Z	1.19	47.5	0.131	1.36	49.6	0.26
