quantity	cohort	tool	tool_label	estimate	ci_lo	ci_hi	ci_width	numerator	denominator_n	denominator_statement	n_cohort_genomes	n_cohort_clusters	n_set_genomes	n_set_clusters	bootstrap_iterations	seed	cluster_definition
false_fail_rate	set_C_clean, MIMAG-inspired 5% contamination boundary	magicc_v5	MAGICC v5 (released, v0.3.0)	0.4423076923076923	0.2726887519260401	0.6166666666666667	0.3439779147406266	23.0	52	the 52 Set C-clean genomes whose TRUE contamination is < 5% (NOT the 1,000 genomes of the set)	52	40	1000	100	2000	20329249	dominant reference genome
false_pass_rate	set_C_clean, MIMAG-inspired 5% contamination boundary	magicc_v5	MAGICC v5 (released, v0.3.0)	0.020042194092827006	0.012605042016806723	0.028391914328407767	0.015786872311601044	19.0	948	the 948 Set C-clean genomes whose TRUE contamination is >= 5%	948	100	1000	100	2000	20329249	dominant reference genome
balanced_accuracy	set_C_clean, MIMAG-inspired 5% contamination boundary	magicc_v5	MAGICC v5 (released, v0.3.0)	0.7688250567997403	0.6824309238848413	0.8535913849743637	0.17116046108952243		1000	mean of sensitivity (948 truly contaminated) and specificity (52 truly clean)	1000	100	1000	100	2000	20329249	dominant reference genome
false_fail_rate	set_C_clean, MIMAG-inspired 5% contamination boundary	checkm2	CheckM2 1.0.1	0.0	0.0	0.0	0.0	0.0	52	the 52 Set C-clean genomes whose TRUE contamination is < 5% (NOT the 1,000 genomes of the set)	52	40	1000	100	2000	20329249	dominant reference genome
false_pass_rate	set_C_clean, MIMAG-inspired 5% contamination boundary	checkm2	CheckM2 1.0.1	0.520042194092827	0.4852000618124485	0.5569620253164557	0.07176196350400715	493.0	948	the 948 Set C-clean genomes whose TRUE contamination is >= 5%	948	100	1000	100	2000	20329249	dominant reference genome
balanced_accuracy	set_C_clean, MIMAG-inspired 5% contamination boundary	checkm2	CheckM2 1.0.1	0.7399789029535865	0.7215189873417721	0.7573999690937757	0.035880981752003605		1000	mean of sensitivity (948 truly contaminated) and specificity (52 truly clean)	1000	100	1000	100	2000	20329249	dominant reference genome
false_fail_rate	set_C_clean, MIMAG-inspired 5% contamination boundary	cocopye	CoCoPyE 0.5.0	0.7115384615384616	0.58	0.8297872340425532	0.2497872340425532	37.0	52	the 52 Set C-clean genomes whose TRUE contamination is < 5% (NOT the 1,000 genomes of the set)	52	40	1000	100	2000	20329249	dominant reference genome
false_pass_rate	set_C_clean, MIMAG-inspired 5% contamination boundary	cocopye	CoCoPyE 0.5.0	0.04430379746835443	0.02950319058525273	0.0609513637232665	0.03144817313801376	42.0	948	the 948 Set C-clean genomes whose TRUE contamination is >= 5%	948	100	1000	100	2000	20329249	dominant reference genome
balanced_accuracy	set_C_clean, MIMAG-inspired 5% contamination boundary	cocopye	CoCoPyE 0.5.0	0.622078870496592	0.5648391526461117	0.6862763497892016	0.12143719714308987		1000	mean of sensitivity (948 truly contaminated) and specificity (52 truly clean)	1000	100	1000	100	2000	20329249	dominant reference genome
false_fail_rate	set_C_clean, MIMAG-inspired 5% contamination boundary	deepcheck	DeepCheck	0.0	0.0	0.0	0.0	0.0	52	the 52 Set C-clean genomes whose TRUE contamination is < 5% (NOT the 1,000 genomes of the set)	52	40	1000	100	2000	20329249	dominant reference genome
false_pass_rate	set_C_clean, MIMAG-inspired 5% contamination boundary	deepcheck	DeepCheck	0.6993670886075949	0.663856468475774	0.7350808079687638	0.0712243394929899	663.0	948	the 948 Set C-clean genomes whose TRUE contamination is >= 5%	948	100	1000	100	2000	20329249	dominant reference genome
balanced_accuracy	set_C_clean, MIMAG-inspired 5% contamination boundary	deepcheck	DeepCheck	0.6503164556962026	0.6324595960156181	0.668071765762113	0.03561216974649495		1000	mean of sensitivity (948 truly contaminated) and specificity (52 truly clean)	1000	100	1000	100	2000	20329249	dominant reference genome
signed_bias_completeness	set_C_clean ground-truthed reduced-genome anchor: genomes whose TRUE MIMAG-inspired class is high (completeness >= 90% AND contamination < 5%)	magicc_v5	MAGICC v5 (released, v0.3.0)	-8.676579333333333	-14.169095013563046	-3.7448895956257986	10.424205417937248		30	30 of the 1,000 Set C-clean genomes (25 reference clusters) are truly high-quality; signed error = predicted - true, pp	30	25	1000	100	2000	20338249	dominant reference genome
signed_bias_contamination	set_C_clean ground-truthed reduced-genome anchor: genomes whose TRUE MIMAG-inspired class is high (completeness >= 90% AND contamination < 5%)	magicc_v5	MAGICC v5 (released, v0.3.0)	5.090823204666666	1.7996654323571433	8.686565808854837	6.886900376497694		30	30 of the 1,000 Set C-clean genomes (25 reference clusters) are truly high-quality; signed error = predicted - true, pp	30	25	1000	100	2000	20338249	dominant reference genome
signed_bias_completeness	set_C_clean ground-truthed reduced-genome anchor: genomes whose TRUE MIMAG-inspired class is high (completeness >= 90% AND contamination < 5%)	checkm2	CheckM2 1.0.1	-0.7005658333333339	-1.436185778201971	0.03535815407753789	1.4715439322795087		30	30 of the 1,000 Set C-clean genomes (25 reference clusters) are truly high-quality; signed error = predicted - true, pp	30	25	1000	100	2000	20338249	dominant reference genome
signed_bias_contamination	set_C_clean ground-truthed reduced-genome anchor: genomes whose TRUE MIMAG-inspired class is high (completeness >= 90% AND contamination < 5%)	checkm2	CheckM2 1.0.1	-1.1623687666666667	-1.7544614674712646	-0.6067775552270019	1.1476839122442626		30	30 of the 1,000 Set C-clean genomes (25 reference clusters) are truly high-quality; signed error = predicted - true, pp	30	25	1000	100	2000	20338249	dominant reference genome
signed_bias_completeness	set_C_clean ground-truthed reduced-genome anchor: genomes whose TRUE MIMAG-inspired class is high (completeness >= 90% AND contamination < 5%)	cocopye	CoCoPyE 0.5.0	-21.35835113946023	-23.286091395693433	-19.28775665088736	3.9983347448060726		30	30 of the 1,000 Set C-clean genomes (25 reference clusters) are truly high-quality; signed error = predicted - true, pp	30	25	1000	100	2000	20338249	dominant reference genome
signed_bias_contamination	set_C_clean ground-truthed reduced-genome anchor: genomes whose TRUE MIMAG-inspired class is high (completeness >= 90% AND contamination < 5%)	cocopye	CoCoPyE 0.5.0	5.896131418606793	4.630575016642398	7.1370177679464115	2.5064427513040135		30	30 of the 1,000 Set C-clean genomes (25 reference clusters) are truly high-quality; signed error = predicted - true, pp	30	25	1000	100	2000	20338249	dominant reference genome
signed_bias_completeness	set_C_clean ground-truthed reduced-genome anchor: genomes whose TRUE MIMAG-inspired class is high (completeness >= 90% AND contamination < 5%)	deepcheck	DeepCheck	-12.167958848876953	-14.308800799667653	-10.09566745182598	4.213133347841673		30	30 of the 1,000 Set C-clean genomes (25 reference clusters) are truly high-quality; signed error = predicted - true, pp	30	25	1000	100	2000	20338249	dominant reference genome
