dominant_accession	canonical_assembly_key	sets	n_benchmark_genomes	gtdb_taxonomy	novelty_class	novelty_depth	deepest_represented_rank	novelty_class_suffix_stripped_sensitivity	novelty_class_vs_train_plus_val_sensitivity	phylum	phylum_in_train	phylum_n_train_genomes	class	class_in_train	class_n_train_genomes	order	order_in_train	order_n_train_genomes	family	family_in_train	family_n_train_genomes	genus	genus_in_train	genus_n_train_genomes	species	species_in_train	species_n_train_genomes
GB_GCA_000017485.1	000017485	set_B_v2	1	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter_D;s__Campylobacter_D jejuni	lineage_represented	0	species	lineage_represented	lineage_represented	Campylobacterota	True	4973	Campylobacteria	True	4968	Campylobacterales	True	4958	Campylobacteraceae	True	2947	Campylobacter_D	True	2555	Campylobacter_D jejuni	True	1499
GB_GCA_000063505.1	000063505	set_A_v2;set_E	3	d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__PCC-6307;f__Cyanobiaceae;g__Synechococcus_C;s__Synechococcus_C sp000063505	lineage_represented	0	species	lineage_represented	lineage_represented	Cyanobacteriota	True	1317	Cyanobacteriia	True	813	PCC-6307	True	304	Cyanobiaceae	True	304	Synechococcus_C	True	28	Synechococcus_C sp000063505	True	1
GB_GCA_000184085.1	000184085	set_A_v2;set_B_v2;set_E	4	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter_D;s__Campylobacter_D jejuni	lineage_represented	0	species	lineage_represented	lineage_represented	Campylobacterota	True	4973	Campylobacteria	True	4968	Campylobacterales	True	4958	Campylobacteraceae	True	2947	Campylobacter_D	True	2555	Campylobacter_D jejuni	True	1499
GB_GCA_000283975.1	000283975	set_E	1	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Melissococcus;s__Melissococcus plutonius	lineage_represented	0	species	lineage_represented	lineage_represented	Bacillota	True	20301	Bacilli	True	16480	Lactobacillales	True	8717	Enterococcaceae	True	1371	Melissococcus	True	6	Melissococcus plutonius	True	6
GB_GCA_000298535.2	000298535	set_A_v2	1	d__Bacteria;p__Chlamydiota;c__Chlamydiia;o__Chlamydiales;f__Chlamydiaceae;g__Chlamydophila;s__Chlamydophila psittaci	lineage_represented	0	species	lineage_represented	lineage_represented	Chlamydiota	True	443	Chlamydiia	True	443	Chlamydiales	True	443	Chlamydiaceae	True	403	Chlamydophila	True	169	Chlamydophila psittaci	True	72
GB_GCA_000495675.1	000495675	set_D_clean	10	d__Archaea;p__Thermoproteota;c__Thermoprotei_A;o__Sulfolobales;f__Acidilobaceae;g__Acidilobus;s__Acidilobus sp000495735	lineage_represented	0	species	lineage_represented	lineage_represented	Thermoproteota	True	474	Thermoprotei_A	True	266	Sulfolobales	True	266	Acidilobaceae	True	18	Acidilobus	True	4	Acidilobus sp000495735	True	1
GB_GCA_000953475.1	000953475	set_B_v2;set_E	3	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiia;o__Methylacidiphilales;f__Methylacidiphilaceae;g__Methylacidiphilum;s__Methylacidiphilum fumarolicum	lineage_represented	0	species	lineage_represented	lineage_represented	Verrucomicrobiota	True	1242	Verrucomicrobiia	True	1210	Methylacidiphilales	True	13	Methylacidiphilaceae	True	12	Methylacidiphilum	True	8	Methylacidiphilum fumarolicum	True	4
GB_GCA_001022195.1	001022195	set_A_v2;set_B_v2	2	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella;s__Klebsiella michiganensis	lineage_represented	0	species	lineage_represented	lineage_represented	Pseudomonadota	True	25960	Gammaproteobacteria	True	22452	Enterobacterales	True	14187	Enterobacteriaceae	True	12006	Klebsiella	True	3104	Klebsiella michiganensis	True	81
GB_GCA_001029695.1	001029695	set_C_clean;set_E	11	d__Bacteria;p__Patescibacteriota;c__Saccharimonadia;o__Saccharimonadales;f__2011-GWC2-44-17;g__2011-GWC2-44-17;s__2011-GWC2-44-17 sp001029695	lineage_represented	0	species	lineage_represented	lineage_represented	Patescibacteriota	True	1286	Saccharimonadia	True	317	Saccharimonadales	True	307	2011-GWC2-44-17	True	5	2011-GWC2-44-17	True	5	2011-GWC2-44-17 sp001029695	True	2
GB_GCA_001274575.1	001274575	set_A_v2;set_B_v2	3	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Anoxybacillaceae;g__Geobacillus;s__Geobacillus thermoleovorans	lineage_represented	0	species	lineage_represented	lineage_represented	Bacillota	True	20301	Bacilli	True	16480	Bacillales	True	1746	Anoxybacillaceae	True	36	Geobacillus	True	17	Geobacillus thermoleovorans	True	1
