scope	novelty_class	novelty_depth	tool	tool_label	n_genomes	n_clusters_set_x_ref	n_distinct_reference_accessions	seed	bootstrap_iterations	cluster_definition	completeness_mae	completeness_mae_ci_lo	completeness_mae_ci_hi	completeness_bias	completeness_bias_ci_lo	completeness_bias_ci_hi	contamination_mae	contamination_mae_ci_lo	contamination_mae_ci_hi	contamination_bias	contamination_bias_ci_lo	contamination_bias_ci_hi	completeness_r2_cod	completeness_r2_cod_ci_lo	completeness_r2_cod_ci_hi	contamination_r2_cod	contamination_r2_cod_ci_lo	contamination_r2_cod_ci_hi	false_fail_rate_cont5	false_fail_rate_cont5_ci_lo	false_fail_rate_cont5_ci_hi	false_pass_rate_cont5	false_pass_rate_cont5_ci_lo	false_pass_rate_cont5_ci_hi	balanced_accuracy_cont5	balanced_accuracy_cont5_ci_lo	balanced_accuracy_cont5_ci_hi	completeness_r2_omitted_reason	contamination_r2_omitted_reason	cont5_n_true_pass_DENOM_false_fail	cont5_n_true_fail_DENOM_false_pass	cont5_n_false_fail	cont5_n_false_pass	false_fail_denominator_statement	false_pass_denominator_statement	true_completeness_variance	true_contamination_variance	supports_claim
pooled_five_sets	lineage_represented	0.0	magicc_v5	MAGICC v5 (released, v0.3.0)	3341	1995	1250	20340408	2000	set x dominant_accession	3.171565906937652	2.9813775030912177	3.3491080244495612	0.3034860010957256	0.07080648859401074	0.5477213655054067	4.016710477877937	3.7805244687950257	4.250618670015684	-2.045391595763909	-2.349745419582668	-1.7431212032419117	0.8858405177281329	0.8710295260017646	0.8996386275268791	0.948471432162516	0.942631198171329	0.9539560705983711	0.005775577557755775	0.001680461482251764	0.010178766162953727	0.012682010333489901	0.008136973379303932	0.017375695540291055	0.9907712060543772	0.9876737744232638	0.9937449645867359			1212	2129	7	27	7/1212 genomes whose TRUE contamination is < 5%	27/2129 genomes whose TRUE contamination is >= 5%	289.6001169527163	932.9268123614263	True
pooled_five_sets	lineage_represented	0.0	checkm2	CheckM2 1.0.1	3341	1995	1250	20340408	2000	set x dominant_accession	5.411768073457021	5.054227151886351	5.777524907437613	3.3781656320445435	2.919021024870167	3.8490239469038774	19.00227306664547	17.739358881880403	20.209216990146672	-17.77020252793586	-19.054724742512693	-16.41788857938781	0.673946083564736	0.6402034172479059	0.705171408345983	0.10693761810630786	0.03050489043098331	0.18539376651208483	0.0016501650165016502	0.0	0.0042158516020236085	0.2062000939408173	0.178738695606325	0.2302765746610492	0.8960748705213406	0.8838009599127024	0.9099215433803666			1212	2129	2	439	2/1212 genomes whose TRUE contamination is < 5%	439/2129 genomes whose TRUE contamination is >= 5%	289.6001169527163	932.9268123614263	True
pooled_five_sets	lineage_represented	0.0	cocopye	CoCoPyE 0.5.0	3341	1995	1250	20340408	2000	set x dominant_accession	5.090621442182313	4.673536449386918	5.528241558265137	-1.024342568171297	-1.5136814497116156	-0.5196049450626962	16.86358136602677	15.993302610567126	17.745572624965682	-15.98434370752615	-16.90092995527117	-15.09430542112762	0.7585659487202518	0.7209421797075894	0.7941543195317271	0.2699892415588373	0.23027416780092885	0.3091410305252335	0.040429042904290426	0.028753656026941847	0.052061480480180944	0.01972757162987318	0.012551864197386978	0.027840585824051772	0.9699216927329182	0.9625149889558597	0.9770241935085913			1212	2129	49	42	49/1212 genomes whose TRUE contamination is < 5%	42/2129 genomes whose TRUE contamination is >= 5%	289.6001169527163	932.9268123614263	True
pooled_five_sets	lineage_represented	0.0	deepcheck	DeepCheck	3341	1995	1250	20340408	2000	set x dominant_accession	8.52817571496036	8.077978248022548	8.986266941664896	3.231512590655948	2.4658468446389357	4.013321932582754	23.457074837183423	22.170686536733477	24.70743699757244	-20.66567601706727	-22.079116573652016	-19.18661581534514	0.4294440670518901	0.3755556031472793	0.4805749551311825	-0.26843726470176543	-0.36780144251555735	-0.17504155118153228	0.0008250825082508251	0.0	0.002533890965838935	0.33959605448567404	0.3078329110451898	0.36955870520165474	0.8297894315030376	0.8147838694911426	0.8456457261543041			1212	2129	1	723	1/1212 genomes whose TRUE contamination is < 5%	723/2129 genomes whose TRUE contamination is >= 5%	289.6001169527163	932.9268123614263	True
pooled_five_sets	species_novel	1.0	magicc_v5	MAGICC v5 (released, v0.3.0)	1141	469	310	20331629	2000	set x dominant_accession	6.3267210374411915	5.710575913374171	6.930492493868063	-1.8833914278263582	-2.941290183486748	-0.8923947254983285	6.996496698618885	6.312778431794597	7.6937773669414256	-1.796911733655904	-2.910132991699995	-0.6726465876213251	0.6888943669514873	0.6248388170943863	0.7440029622144981	0.8700354616937662	0.8450226268246629	0.8916731173163583	0.12982456140350876	0.08928571428571429	0.1754419445560466	0.009345794392523364	0.0036808688199206066	0.015817059022574555	0.9304148221019839	0.9076192471514519	0.9503151132757094			285	856	37	8	37/285 genomes whose TRUE contamination is < 5%	8/856 genomes whose TRUE contamination is >= 5%	273.17044956552246	886.9912536718052	True
pooled_five_sets	species_novel	1.0	checkm2	CheckM2 1.0.1	1141	469	310	20331629	2000	set x dominant_accession	6.2369498294256385	5.644727263892461	6.791972866061173	1.8960860226556748	0.9492718219011633	2.883986061767344	25.948529734289124	23.63374827804828	27.95839398112923	-24.816097876705506	-26.950003852992428	-22.35395576826676	0.6552675639664871	0.601654968594996	0.7062170736976776	-0.4119125788290041	-0.5843622024338769	-0.22772717371680223	0.010526315789473684	0.0	0.024232114138115834	0.2932242990654206	0.25435371171100196	0.331525152938606	0.8481246925725529	0.8290060994468518	0.8687551855119273			285	856	3	251	3/285 genomes whose TRUE contamination is < 5%	251/856 genomes whose TRUE contamination is >= 5%	273.17044956552246	886.9912536718052	True
pooled_five_sets	species_novel	1.0	cocopye	CoCoPyE 0.5.0	1141	469	310	20331629	2000	set x dominant_accession	8.18465471579799	7.21925133491832	9.120581213315164	-4.634002858043654	-5.7764886895550465	-3.3729294174854934	21.66499869309667	19.9527748977818	23.19950564183967	-20.671288771205088	-22.223236925299812	-18.895650949743036	0.48250822440426167	0.37371353343528585	0.5855370503946501	-0.02990511769197579	-0.13314649341336307	0.07567516937057736	0.09824561403508772	0.06060336460692333	0.14007379188791214	0.018691588785046728	0.009153243295792764	0.030184167415314694	0.9415313985899327	0.919684354855292	0.9613337094827692			285	856	28	16	28/285 genomes whose TRUE contamination is < 5%	16/856 genomes whose TRUE contamination is >= 5%	273.17044956552246	886.9912536718052	True
pooled_five_sets	species_novel	1.0	deepcheck	DeepCheck	1141	469	310	20331629	2000	set x dominant_accession	10.921227847994034	9.881792700265576	11.902999902852324	-1.0476558261286288	-2.8026302618501253	0.825516479461019	30.47809783854366	28.20891011105464	32.446820577337064	-27.00416140168579	-29.435779657636793	-24.260659186709105	0.19966196320879248	0.06705254292039059	0.3248396822116963	-0.8808951169561032	-1.0846024854047773	-0.6743395426087047	0.0035087719298245615	0.0	0.011364716557207047	0.4602803738317757	0.41235068786555734	0.5054414860126504	0.7681054271191998	0.7453204377541924	0.7918313512562648			285	856	1	394	1/285 genomes whose TRUE contamination is < 5%	394/856 genomes whose TRUE contamination is >= 5%	273.17044956552246	886.9912536718052	True
pooled_five_sets	genus_novel	2.0	magicc_v5	MAGICC v5 (released, v0.3.0)	339	93	63	20334546	2000	set x dominant_accession	10.272667987421215	8.325451730484351	12.298108664129838	-6.142239692214083	-8.916131375732366	-3.190041245460772	9.858293650565038	7.984868153892956	11.781709519448945	-2.641907972397954	-5.182310282874254	0.042735376452611246	0.28534856563746147	-0.005050290697094618	0.5188503372453654	0.7563407815046683	0.6351723395402065	0.8455530466974326	0.27450980392156865	0.13333333333333333	0.43636363636363634	0.017361111111111112	0.0038602642050917925	0.03184776816301672	0.8540645424836601	0.772482757667864	0.9248506922617676			51	288	14	5	14/51 genomes whose TRUE contamination is < 5%	5/288 genomes whose TRUE contamination is >= 5%	280.029732159441	808.6485879075234	True
pooled_five_sets	genus_novel	2.0	checkm2	CheckM2 1.0.1	339	93	63	20334546	2000	set x dominant_accession	7.471414431495241	6.477650995781772	8.401108265336545	-0.8981754031285375	-2.835936282781692	1.449073471185823	34.25867989452392	30.43495564406439	37.51143434372253	-33.89172326329943	-37.21970633020599	-29.934194741306992	0.6180596121658278	0.5165881518531911	0.7107871724881615	-1.2276490865384773	-1.6291434073226867	-0.8291589818746462	0.0	0.0	0.0	0.4340277777777778	0.34709509071153405	0.5033129362806515	0.7829861111111112	0.7483435318596743	0.826452454644233			51	288	0	125	0/51 genomes whose TRUE contamination is < 5%	125/288 genomes whose TRUE contamination is >= 5%	280.029732159441	808.6485879075234	True
pooled_five_sets	genus_novel	2.0	cocopye	CoCoPyE 0.5.0	339	93	63	20334546	2000	set x dominant_accession	12.54634153467763	10.835315222429607	14.173059968598503	-9.401014471540813	-11.531526361340743	-6.913741549122042	27.68762461696097	24.656897935216122	30.515481715435484	-26.199425044133736	-29.338381055128114	-22.765417737213763	0.07086988005836636	-0.16322919357594917	0.2914655151886665	-0.539886611762485	-0.8207260269181083	-0.2732568127531237	0.3137254901960784	0.1665909090909092	0.47058823529411764	0.04513888888888889	0.020831531141868514	0.07194244604316546	0.8205678104575164	0.7417521645021645	0.8962935989404007			51	288	16	13	16/51 genomes whose TRUE contamination is < 5%	13/288 genomes whose TRUE contamination is >= 5%	280.029732159441	808.6485879075234	True
